motif,degree,betweenness,clustering,mean_knn_distance,nn1_distance,isolation,is_bridge,is_hub,is_isolated,chemical_class
acylglycerol.m00,9,0.141156462585034,0.1440048637070731,0.03380471487413512,0.024354656245428815,0.3197025276114176,False,True,False,acylglycerol
acylglycerol.m01,5,0.0017006802721088435,0.31599067135639386,0.03406909752296441,0.01454627294973511,0.3222028830027301,False,False,False,acylglycerol
acylglycerol.m02,7,0.0008503401360544217,0.22703194116485706,0.033570676044962076,0.02733117375347451,0.3174891439007599,False,False,False,acylglycerol
carboxylic_acid_metabolite.m00,5,0.006802721088435374,0.13709107724216416,0.050012492869132764,0.0406877459508269,0.47298492065210235,False,False,True,carboxylic_acid_metabolite
carboxylic_acid_metabolite.m01,6,0.0,0.15815028267706355,0.042005890466106664,0.03802843678253946,0.39726379608833295,False,False,False,carboxylic_acid_metabolite
chromophore_pigment.m00,5,0.07227891156462585,0.08920865424159748,0.05731568574461504,0.049569407060523096,0.5420536653706634,False,False,True,chromophore_pigment
chromophore_pigment.m01,5,0.0,0.27600378695261607,0.04119564624831089,0.02393139026721818,0.389601044742069,False,False,False,chromophore_pigment
fatty_acid.m00,5,0.0,0.23096466500888874,0.04246335087438789,0.025676435415879596,0.4015901526144624,False,False,False,fatty_acid
fatty_acid.m01,5,0.004251700680272108,0.23196494634373388,0.03734121519009229,0.01454627294973511,0.3531483973405292,False,False,False,fatty_acid
fatty_acid.m02,6,0.01870748299319728,0.22161502479629785,0.032053844142420025,0.011232972921408242,0.30314395581058123,False,False,False,fatty_acid
fatty_acid.m03,7,0.00935374149659864,0.21739432013082596,0.030538963555721155,0.024354656245428815,0.2888172219688574,False,False,False,fatty_acid
fatty_acid.m04,6,0.008503401360544217,0.24905051178033674,0.029307470793860264,0.011232972921408242,0.2771705818428278,False,False,False,fatty_acid
free_amino_acid.m00,8,0.16751700680272108,0.14547486427245654,0.036573713069210013,0.030681427604755628,0.3458898723416709,True,False,False,free_amino_acid
free_amino_acid.m01,6,0.14285714285714285,0.078890524227823,0.03843283729777932,0.03554714770104742,0.3634722337735077,False,False,False,free_amino_acid
free_amino_acid.m02,5,0.0,0.09682043795281728,0.06653141245534347,0.04950805570621868,0.6292098840864798,False,False,True,free_amino_acid
free_amino_acid.m03,6,0.004251700680272108,0.148828123539038,0.035659483520897074,0.03200644593149275,0.33724369684511835,False,False,False,free_amino_acid
free_amino_acid.m04,5,0.0,0.15352467169893522,0.03841461410578478,0.029910396265314398,0.3632998909342472,False,False,False,free_amino_acid
free_amino_acid.m05,7,0.09863945578231292,0.11535526658287616,0.03693506730238419,0.032294424478167306,0.3493073205331142,False,False,False,free_amino_acid
free_amino_acid.m06,6,0.15051020408163265,0.1314087368514065,0.03795833012995477,0.036487503542477005,0.35898466032441717,True,False,False,free_amino_acid
mono_oligosaccharide.m00,8,0.04931972789115646,0.16970280929521397,0.028453285261969573,0.024863615579545303,0.26909226275002274,False,False,False,mono_oligosaccharide
mono_oligosaccharide.m01,6,0.025510204081632654,0.14541120285745218,0.039266502912273814,0.025391302992263602,0.3713564891245428,False,False,False,mono_oligosaccharide
mono_oligosaccharide.m02,5,0.0008503401360544217,0.2998481168565772,0.03251096226932842,0.025921525066525026,0.30746707526695705,False,False,False,mono_oligosaccharide
mono_oligosaccharide.m03,7,0.022959183673469385,0.17809250442769609,0.02820318375559123,0.0139029005910577,0.2667269689131634,False,False,False,mono_oligosaccharide
mono_oligosaccharide.m04,8,0.016156462585034014,0.12018071907359217,0.03430791813619686,0.025391302992263602,0.3244614896491817,False,False,False,mono_oligosaccharide
mono_oligosaccharide.m05,6,0.002551020408163265,0.15706836558198212,0.03927296050072579,0.025921525066525026,0.37141756070458887,False,False,False,mono_oligosaccharide
nucleic_acid_polymer.m00,8,0.14625850340136054,0.1285193492039354,0.04131940127622321,0.03848244878162355,0.39077143755193305,False,False,False,nucleic_acid_polymer
peptide_protein.m00,5,0.0,0.3035137938002492,0.03586161103602827,0.01811688870170048,0.3391552845549352,False,False,False,peptide_protein
peptide_protein.m01,6,0.00935374149659864,0.1183027045302923,0.04684686782807053,0.039686632994019526,0.4430465427996109,False,False,False,peptide_protein
peptide_protein.m02,5,0.0017006802721088435,0.12609725538922706,0.059107149071445944,0.04359481088482449,0.5589961349594015,False,False,True,peptide_protein
peptide_protein.m03,5,0.0,0.3303699334424888,0.02898041972515144,0.0203991116858449,0.27407755018397395,False,False,False,peptide_protein
peptide_protein.m04,7,0.007653061224489796,0.20424455788115817,0.03511184545609529,0.026444574191845985,0.33206449997316617,False,False,False,peptide_protein
peptide_protein.m05,6,0.19727891156462585,0.1443796319262843,0.04102831877304005,0.028572213500074266,0.3880185726821182,True,False,False,peptide_protein
