metric,probeable,median_observed_distance,amplitude_invariance,peak_shift_tolerance,width_sensitivity,background_separation,knn_chemical_coherence,bootstrap_stability,null_separation
spectral_cosine,True,0.6787209429414971,0.9999999999994404,0.9107336559787259,0.8177231692673854,0.008318882528632682,0.15200000000000002,0.821021164021164,10.329473201750337
pearson,True,0.9566332655094483,1.0,0.9331104627243553,0.5916698142506113,0.04295906751819326,0.15200000000000002,0.7838624338624339,9.445252196553415
spearman,True,0.8977825549721372,0.9999999999999999,0.9985269254226716,0.17217402547769925,0.047183370668425935,0.14800000000000002,0.7431111111111111,11.93912019995953
euclidean_l2,True,1.1650930803503183,0.999999999999837,0.701225262077566,0.9042804704671178,0.09120790825630118,0.15200000000000002,0.821021164021164,12.742090029310763
jensen_shannon,True,0.662602305113766,1.0,0.6844002777990745,1.1932571441313669,0.06999957804720901,0.15200000000000002,0.8302222222222223,16.67370276778717
wasserstein,True,0.10573802818006917,0.9999999999999993,0.9579673980975353,0.30211570005498145,0.06397911360254596,0.24,0.6379470899470899,9.078179981001055
peak_set,True,0.9641552442009903,0.9999999999996061,0.9371605998603798,0.5756394977348391,0.005856110650243062,0.124,,5.489827889275437
band_overlap,True,0.4494244837709377,0.9999999999991549,0.8651899498694443,1.2349256895250598,0.012563178015310065,0.196,,5.479850628952869
activation_profile,False,,,,,,0.18799999999999997,,
phase02_composite,False,,,,,,0.016,,
