proposal,rank,motif,chemical_class,diffusion_coord_1,n_bands,bands_cm1
proposal00,0,acylglycerol.m02,acylglycerol,-0.27976545524071017,8,892;1062;1130;1180;1248;1298;1442;1742
proposal00,1,fatty_acid.m03,fatty_acid,-0.27919762795942776,6,906;1096;1120;1302;1440;1668
proposal00,2,phospholipid_sphingolipid.m00,phospholipid_sphingolipid,-0.2789615740537784,8,720;880;1062;1128;1296;1438;1658;1742
proposal00,3,acylglycerol.m00,acylglycerol,-0.25864366479309064,7,848;1068;1118;1304;1440;1676;1744
proposal00,4,fatty_acid.m04,fatty_acid,-0.24645006688747073,8,818;904;1062;1102;1136;1298;1412;1446
proposal00,5,fatty_acid.m00,fatty_acid,-0.21053969398124645,8,892;1064;1128;1176;1296;1422;1438;1464
proposal00,6,sterol_steroid.m00,sterol_steroid,-0.09378708330104696,8,702;882;926;1030;1134;1304;1442;1672
proposal00,7,free_amino_acid.m06,free_amino_acid,0.594530972606758,8,552;924;982;1066;1176;1272;1318;1440
proposal03,0,mono_oligosaccharide.m02,mono_oligosaccharide,-0.2943012084131965,8,542;840;914;1074;1120;1150;1344;1460
proposal03,1,peptide_protein.m03,peptide_protein,-0.20645871937992574,8,482;582;864;942;1130;1260;1336;1464
proposal03,2,mono_oligosaccharide.m03,mono_oligosaccharide,-0.13403642423042872,8,524;576;852;972;1038;1132;1258;1380
proposal03,3,polysaccharide.m00,polysaccharide,-0.11790293883151501,8,480;862;940;1082;1130;1252;1338;1462
proposal03,4,phosphate_metabolite.m00,phosphate_metabolite,-0.051780263559733655,8,558;784;936;972;1066;1132;1378;1702
proposal03,5,carboxylic_acid_metabolite.m01,carboxylic_acid_metabolite,0.20894345964023006,8,476;628;876;1088;1130;1260;1324;1668
proposal03,6,free_amino_acid.m00,free_amino_acid,0.4042771804144972,8,542;756;870;946;1078;1122;1338;1424
proposal16,0,sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor,-0.2189707378689983,8,526;724;806;886;1036;1334;1410;1510
proposal16,1,purine.m00,purine,-0.19624518621370746,8,534;624;722;1038;1248;1334;1488;1650
proposal16,2,nucleic_acid_polymer.m00,nucleic_acid_polymer,0.3619080585497613,8,784;1096;1252;1336;1374;1486;1574;1670
