n_neighbors,min_dist,knn_jaccard_vs_highdim,knn_jaccard_across_seeds,trustworthiness
5,0.05,0.5969047619047618,0.7734920634920635,0.9539047619047619
5,0.3,0.6237301587301587,0.7386507936507936,0.9602857142857143
5,0.7,0.6498677248677249,0.7813492063492063,0.9543809523809523
8,0.05,0.6196031746031746,0.7266666666666667,0.9739047619047619
8,0.3,0.6442857142857142,0.7464285714285714,0.9772380952380952
8,0.7,0.6287566137566137,0.7270634920634922,0.9751428571428571
12,0.05,0.6236507936507936,0.7304761904761904,0.9757142857142858
12,0.3,0.5994179894179894,0.6991269841269842,0.9734285714285714
12,0.7,0.6120105820105819,0.6735978835978835,0.9732380952380952
20,0.05,0.6250264550264552,0.6935714285714285,0.9751428571428571
20,0.3,0.6289682539682541,0.6657936507936507,0.9746666666666667
20,0.7,0.596031746031746,0.6389153439153438,0.975047619047619
