axis,start_cm,end_cm,width_cm,peak_cm_median,n_peak_rows,n_sources,n_molecules,top_molecules,share_high_plus_medium_conf,anchor_hint_match,ambiguity_score,classification,contrast_support_note,notes
aromatic_amino_acid,991.0,1025.0,34.0,1003.0,8,6,7,aromatic ring breathing; phenylalanine-like aromatic marker used cautiously; phenylalanine,1.0,matched 1000–1010: phenylalanine ring breathing,0.111,anchor,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,1590.0,1605.0,15.0,1595.0,4,3,3,aromatic ring vibration; C=C stretching vibrations in aromatic amino acids like tryptophan and tyrosine 1; phenyl/tyrosine-like aromatic region,1.0,matched 1520–1600: tryptophan / ring C=C,0.214,anchor,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,1148.0,1165.0,17.0,1155.0,3,2,3,tyrosine; tyrosine and phenylalanine; tyrosine/phenyl-like contribution used cautiously,1.0,,0.25,secondary,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,1548.0,1565.0,17.0,1553.0,3,2,3,tryptophan; tryptophan has exhibited a significantly decreased intensity ( p *<0; tryptophan/tyrosine-like aromatic region,1.0,matched 1520–1600: tryptophan / ring C=C,0.4,secondary,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,1512.0,1522.0,10.0,1517.0,1,1,1,tyrosine,1.0,matched 1520–1600: tryptophan / ring C=C,0.0,secondary,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,819.0,856.0,37.0,835.0,5,4,5,tyrosine Fermi resonance; the ring breathing mode of tyrosine; aromatic amino acid signal,1.0,matched 820–860: tyrosine Fermi doublet,0.545,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,628.0,642.0,14.0,635.0,5,2,2,tyrosine; phenylalanine,1.0,matched 620–660: phenylalanine / Phe-adjacent ring,0.571,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,1192.0,1208.0,16.0,1200.0,2,2,2,Tryptophan; tryptophan/phenylalanine,1.0,,0.5,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,745.0,758.0,13.0,751.5,2,1,1,tryptophan-like aromatic contribution,0.5,,0.8,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,780.0,790.0,10.0,785.0,1,1,1,aromatic ring deformation,1.0,,0.75,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,898.0,908.0,10.0,903.0,1,1,1,aromatic amino acid signal,1.0,,0.333,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,1070.0,1080.0,10.0,1075.0,2,1,2,aromatic ring vibrations; the ring breathing of 4-MBA),1.0,,0.25,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,1299.0,1309.0,10.0,1304.0,1,1,1,aromatic ring breathing,1.0,,0.833,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
aromatic_amino_acid,1480.0,1490.0,10.0,1485.0,1,1,1,aromatic amino-acid-associated region,0.0,,0.0,ambiguous,"↑ in HCC, liver_cancer_unspecified; ↓ in hepatitis",
glycan_carbohydrate,1100.0,1110.0,10.0,1105.0,1,1,1,polysaccharide-associated C-O region,1.0,matched 1080–1140: sugar C-O-C (overlaps PO2⁻),0.0,secondary,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
glycan_carbohydrate,935.0,985.0,50.0,960.0,4,2,3,polysaccharide structure; polysaccharide-associated region; monosaccharide-associated region,1.0,,0.429,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
glycan_carbohydrate,580.0,595.0,15.0,587.5,2,1,1,monosaccharide-associated low-wavenumber feature,0.0,,0.0,ambiguous,"↓ in HCC, NAFLD_NASH, hepatitis, liver_cancer_unspecified",
