dataset_id,subset_id,subset_alias,sample_type,target_family,default_inference_lane,allowed_inference_lanes,default_representation_mode,allowed_representation_modes,allowed_grounding_families,baseline_policy,notes
small2023_ev,fig3_norm_archive,small2023_cellline,extracellular vesicles,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding,none,Five-way cell-line target. Canonical preprocessing is fixed. Differential BSV is allowed later only for explicit class-vs-class contrasts over absolute BSV outputs.
small2023_ev,normedprobe1,small2023_mixture_probe1,extracellular vesicles,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding,none,Probe1 mixture target. Keep probe-local structure separate from Probe2. PCA may organize local neighborhoods but does not define chemistry.
small2023_ev,normedprobe2,small2023_mixture_probe2,extracellular vesicles,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding,none,Probe2 mixture target. Raw intensities are not directly comparable to Probe1. Differential lane remains delta-BSV over absolute outputs.
shine_ev_sers,all,shine_ev_stress,extracellular vesicles,interpretation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding,mean_background,EV stress/time-course target. Differential mode means group-or-condition delta-BSV over canonical absolute BSV outputs.
diabetes_plasma_ev_sers,all,diabetes_ev_state,extracellular vesicles,interpretation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding,mean_background,Two-group EV state target. Differential lane is class-level delta-BSV rather than residualized spectra.
cca_hcc_lm_serum_sers,all,cca_hcc_lm_serum,serum,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,none,Primary serum cohort target. Differential mode should be explicit and comparator-defined at the group-BSV level and not assumed globally.
covid_serum_raman,all,covid_serum_cohort,serum,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,none,Serum Raman cohort target with modality caution. PCA is for local inspection only.
cspp_serum,figure7_metabolite_spiking,cspp_metabolite_spike_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,mean_background,Primary controlled perturbation validation panel for delta-BSV behavior. Differential lane compares class-level absolute BSV summaries such as Erg-vs-Bkg and Hyp-vs-Bkg.
serum_ag_colloids,uricase_serum_experiment,serum_ag_uricase_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,nearest_background,Validation target for enzyme-linked purine perturbation. PCA may assist group definition or matched-background selection but differential output remains delta-BSV over absolute BSV summaries rather than residual spectra.
ergothioneine_serum,ergothioneine_calibration_archive,serum_erg_calibration_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,lowest_concentration_reference,Ordered concentration validation panel for sulfur-containing metabolite behavior. Differential lane means concentration-vs-reference delta-BSV.
serum_protocol_comparison,protocol_comparison_archive,serum_protocol_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,domain_specific_caveat_support_grounding,protocol_reference_p1,Protocol nuisance validation panel. Interpret caveat behavior over fixed canonical preprocessing only.
cspp_serum,figure2_processing_comparison,cspp_processing_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,domain_specific_caveat_support_grounding,processing_reference_standard,Processing nuisance validation panel. This is a validation family for caveat behavior and not a preprocessing search invitation.
cspp_serum,figure5_strip_variability,cspp_strip_variability_validation,serum,validation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,domain_specific_caveat_support_grounding,none,Primary use is stability and nuisance inspection rather than biochemical discovery.
cspp_serum,figure6_shelf_life,cspp_shelf_life_validation,serum,validation_target,differential_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,domain_specific_caveat_support_grounding,time_zero_reference,Shelf-life drift validation panel. Delta-BSV is defined against a fixed class reference and not residual spectra.
serum_ag_colloids,donors_serum_sers,serum_ag_donor_validation,serum,validation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,domain_specific_caveat_support_grounding,none,Healthy donor validation panel for reproducibility and local consistency checks under fixed canonical preprocessing.
mycoplasma_na_sers,pathogen_panel,mycoplasma_na_panel,pathogen,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding,none,Primary pathogen-core addition for Global v2. Background and media-control columns are excluded from the canonical ingest.
ovarian_plasma_raman_sers,raman,ovarian_plasma_raman,plasma,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,none,Plasma spontaneous-Raman subset of the ovarian case-control cohort. Keep modality-scoped summaries separate from SERS.
ovarian_plasma_raman_sers,sers,ovarian_plasma_sers,plasma,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding; domain_specific_biochemical_grounding; domain_specific_caveat_support_grounding,none,Plasma SERS subset of the ovarian case-control cohort. Do not merge blindly with the Raman subset at interpretation time.
single_vesicle_ev_raman,all,single_vesicle_ev,extracellular vesicles,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding,none,Single-vesicle EV Raman/SERS archive with filename-derived condition labels. Core Global v2 EV heterogeneity addition.
ucla_saliva_sev_gc,all,ucla_saliva_sev_gc,extracellular vesicles,interpretation_target,absolute_bsv,absolute_bsv; differential_bsv,raw_direct_bsv_input,raw_direct_bsv_input; local_structural_embedding; umap_visualization_optional,universal_biochemical_grounding; domain_specific_biochemical_grounding,none,Reconstructed saliva small-EV gastric-cancer cohort from shard records. Shard manifest is required provenance for all rows.
