window_id,start_cm1,end_cm1,central_cm1,source_count,condition_count,direction_distribution,matrix_distribution,substrate_distribution,candidate_axes,primary_axis,ambiguity_score,locality_score,classification,supporting_source_ids,priority_tags,notes
aromatic_amino_acid:0814-0866,814.0,866.0,840.0,10,1,—,biofluid=14; serum=1,Raman=4,aromatic_amino_acid; pyrimidine_nucleotide; glycan_carbohydrate,aromatic_amino_acid,0.2,0.733,anchor,src_001; src_002; src_003; src_005; src_paper_0003_phaseB; src_paper_0055_phaseB; src_paper_0270_phaseB2; src_paper_0328_phaseB; src_paper_0370_phaseB; src_paper_0394_phaseB2,aromatic_aa,
aromatic_amino_acid:0991-1025,991.0,1025.0,1008.0,8,1,up=1,biofluid=11; serum=2; extracellular_vesicles=1,Raman=2,aromatic_amino_acid; nucleic_acid_backbone; redox_metabolite,aromatic_amino_acid,0.0,0.643,anchor,src_001; src_003; src_004; src_paper_0003_phaseB2; src_paper_0254_phaseB; src_paper_0270_phaseB; src_paper_0328_phaseB; src_paper_0370_phaseB,aromatic_aa; glycan,
aromatic_amino_acid:1480-1522,1480.0,1522.0,1501.0,3,1,—,biofluid=3; extracellular_vesicles=4,Raman=2,aromatic_amino_acid; protein_backbone; redox_metabolite,aromatic_amino_acid,0.4,0.429,anchor,src_001; src_005; src_paper_0370_phaseB,aromatic_aa; lipid; protein,
aromatic_amino_acid:1548-1605,1548.0,1605.0,1576.5,8,1,down=1,biofluid=10; extracellular_vesicles=3; serum=1,Raman=3,aromatic_amino_acid,aromatic_amino_acid,0.207,0.714,anchor,src_001; src_003; src_005; src_paper_0055_phaseB; src_paper_0187_phaseB; src_paper_0328_phaseB; src_paper_0394_phaseB2; src_paper_0432_phaseB2,aromatic_aa; protein; lipid,
glycan_carbohydrate:0880-0902,880.0,902.0,891.0,4,1,—,serum=4; biofluid=3,Raman=2,glycan_carbohydrate,glycan_carbohydrate,0.333,0.286,anchor,src_002; src_003; src_004; src_005,glycan; aromatic_aa,
glycan_carbohydrate:1100-1110,1100.0,1110.0,1105.0,3,1,—,serum=3; biofluid=1; extracellular_vesicles=1,Raman=1,glycan_carbohydrate; nucleic_acid_backbone,glycan_carbohydrate,0.0,0.2,anchor,src_001; src_003; src_004,glycan; aromatic_aa,
membrane_lipid:1109-1151,1109.0,1151.0,1130.0,7,1,—,biofluid=10; extracellular_vesicles=2; serum=2,Raman=1,membrane_lipid; nucleic_acid_backbone; glycan_carbohydrate,membrane_lipid,0.0,0.786,anchor,src_001; src_002; src_004; src_paper_0254_phaseB; src_paper_0270_phaseB; src_paper_0328_phaseB; src_paper_0370_phaseB,lipid; glycan; aromatic_aa,
membrane_lipid:1355-1405,1355.0,1405.0,1380.0,5,2,—,extracellular_vesicles=6; biofluid=3,Raman=2,membrane_lipid; purine_nucleotide,membrane_lipid,0.0,0.444,anchor,src_001; src_002; src_005; src_paper_0003_phaseB2; src_paper_0187_phaseB,lipid; aromatic_aa,
membrane_lipid:1435-1455,1435.0,1455.0,1445.0,6,1,—,biofluid=8; extracellular_vesicles=5,Raman=1,membrane_lipid; protein_backbone,membrane_lipid,0.062,0.615,anchor,src_001; src_002; src_005; src_paper_0076_phaseB; src_paper_0328_phaseB; src_paper_0370_phaseB,lipid; aromatic_aa,
nucleic_acid_backbone:1045-1055,1045.0,1055.0,1050.0,3,1,—,biofluid=3; serum=2; extracellular_vesicles=1,Raman=1,nucleic_acid_backbone,nucleic_acid_backbone,0.0,0.167,anchor,src_001; src_003; src_004,aromatic_aa; nucleic_bb; glycan,
purine_nucleotide:0715-0734,715.0,734.0,724.5,4,1,—,biofluid=10; serum=1,Raman=2,purine_nucleotide,purine_nucleotide,0.1,0.727,anchor,src_002; src_003; src_005; src_paper_0076_phaseB,purine; aromatic_aa,
purine_nucleotide:1323-1333,1323.0,1333.0,1328.0,3,1,—,biofluid=2; extracellular_vesicles=4,—,purine_nucleotide,purine_nucleotide,0.286,0.333,anchor,src_001; src_005; src_paper_0254_phaseB,purine; lipid; aromatic_aa,
redox_metabolite:0479-0489,479.0,489.0,484.0,2,0,—,biofluid=5,—,redox_metabolite,redox_metabolite,0.333,0.8,anchor,src_005; src_paper_0076_phaseB,redox_sulfur,
aromatic_amino_acid:0691-0710,691.0,710.0,700.5,2,0,—,serum=3; biofluid=1,SERS=2,aromatic_amino_acid; purine_nucleotide,aromatic_amino_acid,0.0,0.5,secondary,src_002; src_005,aromatic_aa; lipid,
aromatic_amino_acid:0745-0790,745.0,790.0,767.5,5,1,—,biofluid=8; serum=1,Raman=4,aromatic_amino_acid; pyrimidine_nucleotide,aromatic_amino_acid,0.2,0.556,secondary,src_001; src_002; src_003; src_005; src_paper_0003_phaseB2,aromatic_aa,
aromatic_amino_acid:0898-0908,898.0,908.0,903.0,5,1,—,biofluid=4; serum=2,—,aromatic_amino_acid; glycan_carbohydrate,aromatic_amino_acid,0.333,0.167,secondary,src_002; src_003; src_004; src_005; src_paper_0370_phaseB,aromatic_aa; glycan,
aromatic_amino_acid:1070-1080,1070.0,1080.0,1075.0,4,1,—,biofluid=3; serum=2; extracellular_vesicles=1,—,aromatic_amino_acid; nucleic_acid_backbone; glycan_carbohydrate,aromatic_amino_acid,0.0,0.167,secondary,src_001; src_003; src_004; src_paper_0187_phaseB,aromatic_aa; glycan,
