canonical_analyte_name,chemical_class,biochemical_family,reference_dataset,reference_modality,substrate,excitation_nm,number_of_measured_spectra,is_pure_analyte,is_literature_only,is_digitized_spectrum,dominant_legacy_axis,mapped_gaira_axes,mapping_confidence,evidence_tier,source_path,notes
12-methyltetradecanoic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
13-methylmyristicacid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
14-methylhexadecanoic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
14-methylpentadecanoic acid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,nucleic_acid_backbone,G04_nucleic_acid_phosphate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
15-methylpalmiticacid,Lipids/FattyAcids,Lipids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,protein_backbone,G06_protein_peptide_backbone,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
acetoacetate,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,membrane_lipid,G08_lipid_acyl_membrane;G09_sterol_neutral_lipid,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
acetyl coenzyme a,PrimaryMetabolites,PrimaryMetabolites,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
adenine,NucleicAcids,NucleicAcids,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,purine_nucleotide,G01_purine_nucleotide;G02_purine_metabolite,derived_split(ambiguous),1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
amylopectin,Saccharides/Polysaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
amylose,Saccharides/Polysaccharides,Saccharides,RamanBioLib(grounding_molecule_bsv),Raman,CaF2 slide,785.0,NA(1 collapsed BSV row; raw not in this table),True,False,unknown,glycan_carbohydrate,G05_glycan_carbohydrate,resolved,1,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_bsv.csv,one row per analyte; BSV is precomputed 8-axis; raw spectrum not co-located
