condition_id,analyte_or_intervention,serum_background,enzyme,spike_concentration,control_type,n_spectra,n_independent_samples,n_replicates,source_file,role_in_gaira,validation_status
uricase_serum_hypox_spike,hypoxanthine,commercial(Sigma),none,spike,spiked test,5,1.0,5.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/dataset uricase/*Serumspiked_Prot1.txt,calibration(perturbation),supportive
uricase_serum_hypox_spike_enzyme,hypoxanthine+uricase,commercial(Sigma),uricase,spike,enzyme-treated,5,1.0,5.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/dataset uricase/*Serumspiked+Enzyme_Prot1.txt,calibration(depletion),partially_supportive
uricase_serum_neat,uric_acid(endogenous),commercial(Sigma),none,none,untreated control,5,1.0,5.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/dataset uricase/*SerumSigma_Prot1.txt,calibration(control),supportive
uricase_serum_neat_enzyme,uric_acid(uricase-removed),commercial(Sigma),uricase,none,enzyme control,5,1.0,5.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/dataset uricase/*SerumSigma+Enzyme_Prot1.txt,calibration(depletion),inconsistent(historical SAEL)
isotopic_UA_vs_15N,uric_acid vs 15N-uric_acid,aqueous,none,280uM,isotope control,15,2.0,5.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/isotopic/,calibration(isotope),supportive(binding study)
isotopic_UA_HSA_filter,UA-albumin binding + ultrafiltration,+HSA 50mg/mL,none,280uM,binding/filtration,58,,,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/isotopic/,mechanistic,context
sers_metabolites_pure,"53 pure metabolites (incl adenine,hypoxanthine,uric_acid,ergothioneine,glucose,urea,AAs)",aqueous,none,physiological,pure standard,265,53.0,5.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/SERS metabolites/,grounding+calibration,supportive
sers_spiked_serum_53,53 metabolites spiked into serum + SerumSigma_na control,Merck serum,none,physiological,spiked,270,54.0,5.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/SERS spiked serum Merck/,calibration(spike),supportive
raman_metabolites_powder,51 metabolite powders,none(powder),none,none,pure Raman standard,153,51.0,,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/Raman metabolites/,grounding(Raman),reference
serum_fitting_refs,hypoxanthine / UA-free / UA-bound fit references,aqueous/+HSA,none,none,fit reference,30,3.0,10.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/SERS metabolites for fitting/,mechanistic,context
serum_merck_baseline,commercial serum baseline,Merck serum,none,none,matrix control,15,3.0,5.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/SERS serum Merck/,calibration(control),supportive
donors_serum_81,81 healthy-donor serum,donor serum,none,none,donor cohort,81,81.0,1.0,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/donors serum SERS/,biological(reference cohort),context
digitized_literature,De Gelder2007/Kim1987/Stewart1999 digitized,n/a,none,none,literature-digitized,0,,,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids/digitized literature spectra/,supporting_literature,not measured
cspp_fig7_background,serum background,pooled serum(SS),none,0uM,background,50,,,/Volumes/SSD_Rad/GAIRA_DATA/raw/cspp_serum/Figure-7_all-spectra-and-metadata.csv,calibration(control),supportive
cspp_fig7_ergothioneine,ergothioneine,pooled serum(SS),none,25uM,spike,50,,,/Volumes/SSD_Rad/GAIRA_DATA/raw/cspp_serum/Figure-7_all-spectra-and-metadata.csv,calibration(spike),supportive
cspp_fig7_hypoxanthine,hypoxanthine,pooled serum(SS),none,50uM,spike,50,,,/Volumes/SSD_Rad/GAIRA_DATA/raw/cspp_serum/Figure-7_all-spectra-and-metadata.csv,calibration(spike),supportive
