Classification,Classification,Metabolite,Molecular formula,Structure
Glycerophospholipids,Phosphatidylcholine (PC),PC(12:0/12:0),C28H56NO8P,
Glycerophospholipids,Phosphatidylcholine (PC),PC(18:1(9Z)/18:1(9Z)),C44H84NO8P,
Glycerophospholipids,Phosphatidylcholine (PC),PC(O-16:0/0:0),C24H52NO6P,
Glycerophospholipids,Phosphatidylcholine (PC),PC(18:0/18:1(9Z)),C44H86NO8P,
Glycerophospholipids,Phosphatidylcholine (PC),"PC(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))",C44H80NO7P,
Glycerophospholipids,Lysophosphati- -dylcholine (LPC),LPC(16:0/0:0),C24H50NO7P,
Glycerophospholipids,Lysophosphati- -dylcholine (LPC),LPC(0:0/14:0),C22H46NO7P,
Glycerophospholipids,Lysophosphati- -dylcholine (LPC),LPC(17:0/0:0),C25H52NO7P,
Glycerophospholipids,Lysophosphati- -dylcholine (LPC),LPC(O-18:0/0:0),C26H56NO6P,
Glycerophospholipids,Lysophosphati- -dylcholine (LPC),LPC(20:0/0:0),C28H58NO7P,
Sphingolipids,Sphingomyelin (SM),Sphinganine,C18H39NO2,
Sphingolipids,Sphingomyelin (SM),SM(d18:1/16:0),C39H79N2O6P,
Sphingolipids,Sphingomyelin (SM),SM(d18:1/18:0),C41H83N2O6P,
Sphingolipids,Sphingomyelin (SM),SM(d18:1/24:1(15Z)),C47H93N2O6P,
Sphingolipids,Ceramide (Cer),Cer(d18:1/24:1(15Z)),C42H81NO3,
Amino acids and their metabolites,Amino acid derivative,2-(Methylamino)isobutyric acid,C5H11NO2,
Amino acids and their metabolites,Amino acid derivative,L-Aspartyl-L-phenylalanine,C13H16N2O5,
Amino acids and their metabolites,Amino acid derivative,Phenylacetylglutamine,C13H16N2O4,
Amino acids and their metabolites,Small peptide,Gamma-Glu-leu,C11H20N2O5,
Amino acids and their metabolites,Small peptide,Leu-Leu,C12H24N2O3,
Amino acids and their metabolites,Small peptide,L-leucyl-L-isoleucine,C12H24N2O3,
Organic acids and their derivatives,Organic acids and their derivatives,1-Hydroxy-2-naphthoic acid,C11H8O3,
Organic acids and their derivatives,Organic acids and their derivatives,Taurine,C2H7NO3S,
Organic acids and their derivatives,Organic acids and their derivatives,Hypaphorine,C14H18N2O2,
