metabolite,peak_cm1,intensity_code,exclusive_characteristic
PC(12:0/12:0),708,vs,yes
PC(12:0/12:0),758,s,
PC(12:0/12:0),832,s,
PC(12:0/12:0),865,s,
PC(12:0/12:0),883,s,
PC(12:0/12:0),916,w,
PC(12:0/12:0),955,w,
PC(12:0/12:0),1061,s,
PC(12:0/12:0),1116,s,
PC(12:0/12:0),1173,w,
PC(12:0/12:0),1301,s,
PC(12:0/12:0),1335,w,yes
PC(12:0/12:0),1441,vs,yes
PC(12:0/12:0),1523,s,
PC(12:0/12:0),1594,s,yes
PC(18:1(9Z)/18:1(9Z)),586,vw,
PC(18:1(9Z)/18:1(9Z)),606,vw,
PC(18:1(9Z)/18:1(9Z)),646,vw,
PC(18:1(9Z)/18:1(9Z)),687,s,
PC(18:1(9Z)/18:1(9Z)),707,s,yes
PC(18:1(9Z)/18:1(9Z)),745,s,
PC(18:1(9Z)/18:1(9Z)),777,w,
PC(18:1(9Z)/18:1(9Z)),816,w,
PC(18:1(9Z)/18:1(9Z)),857,w,
PC(18:1(9Z)/18:1(9Z)),889,vw,
PC(18:1(9Z)/18:1(9Z)),908,s,
PC(18:1(9Z)/18:1(9Z)),928,s,
PC(18:1(9Z)/18:1(9Z)),997,s,
PC(18:1(9Z)/18:1(9Z)),1019,vw,
PC(18:1(9Z)/18:1(9Z)),1060,w,
PC(18:1(9Z)/18:1(9Z)),1089,vs,
PC(18:1(9Z)/18:1(9Z)),1121,s,
PC(18:1(9Z)/18:1(9Z)),1153,vs,
PC(18:1(9Z)/18:1(9Z)),1184,vs,
PC(18:1(9Z)/18:1(9Z)),1255,vs,
PC(18:1(9Z)/18:1(9Z)),1319,vs,
PC(18:1(9Z)/18:1(9Z)),1442,vs,yes
PC(18:1(9Z)/18:1(9Z)),1488,s,
PC(18:1(9Z)/18:1(9Z)),1527,s,
PC(18:1(9Z)/18:1(9Z)),1566,s,
PC(18:1(9Z)/18:1(9Z)),1617,s,
PC(O-16:0/0:0),611,s,
PC(O-16:0/0:0),712,vs,yes
PC(O-16:0/0:0),753,s,
PC(O-16:0/0:0),771,w,
PC(O-16:0/0:0),808,s,
PC(O-16:0/0:0),869,s,
PC(O-16:0/0:0),887,s,
PC(O-16:0/0:0),946,vw,
PC(O-16:0/0:0),998,s,
PC(O-16:0/0:0),1024,w,
PC(O-16:0/0:0),1070,s,
PC(O-16:0/0:0),1100,w,
PC(O-16:0/0:0),1128,vs,
PC(O-16:0/0:0),1304,s,
PC(O-16:0/0:0),1336,vw,yes
PC(O-16:0/0:0),1372,s,
PC(O-16:0/0:0),1445,vs,yes
PC(O-16:0/0:0),1504,s,
