analyte,source,modality,substrate,excitation,evidence_type,pure_or_matrix
12-methyltetradecanoic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
13-methylmyristicacid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
14-methylhexadecanoic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
14-methylpentadecanoic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
15-methylpalmiticacid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
acetoacetate,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
acetyl coenzyme a,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
adenine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
amylopectin,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
amylose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
ascorbic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
cellulose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
chitin,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
citric acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
coenzyme a,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
cytosine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-(+)-dextrose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-(+)-fucose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-(+)-galactosamine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-(+)-mannose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-(+)-trehalose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-(+)-xylose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-(-)-arabinose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-(-)-fructose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
d-fructose-6-phosphate,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
fumarate,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
glutathione,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
glycerol,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
glycine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
guanine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-alanine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-arginine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-glutamate,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-histidine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-phenylalanine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-proline,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-serine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-tryptophan,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-tyrosine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
l-valine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
lactose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
lauric acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
malic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
myristic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
n-acetyl- d-glucosamine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
oleic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
palmitic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
phosphoenolpyruvate,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
pyruvate,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
riboﬂavin,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
stearic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
succinic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
thymine,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
trilinolein,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
trilinolenin,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
triolein,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
uracil,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
vaccenic acid,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
β-carotene,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
β-d-glucose,RamanBioLib,Raman,CaF2 slide,785.0,full_spectrum,pure
arachidonic acid,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
α-linolenic acid,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
arachidic acid,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
cholesterol,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
cholesteryl linoleate,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
cholesteryl oleate,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
cholesteryl palmitate,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
cholesteryl stearate,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
elaidic acid,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
linoleic acid,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
l-α-phosphatidylcholine,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
l-α-phosphatidylethanolamine,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
palmitoleic acid,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
sphingomyelin,RamanBioLib,Raman, CaF2 slide,532.0,full_spectrum,pure
triarachidin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tribehenin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tricaproin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tricaprin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tricaprylin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
trielaidin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tri-11-eicosenoin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
trierucin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
trilaurin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
trimyristin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tripalmitin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tripetroselinin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tripalmitolein,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
tristearin,RamanBioLib,Raman,Metal ring,1064.0,full_spectrum,pure
lactalbumin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
albumin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
carbonic anhydrase,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
collagen,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
α-chymotrypsinogen a (type ii),RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
elastase,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
ferritin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
glutathione transferase,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
horseradish peroxidase,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
hemoglobin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
lectin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
myoglobin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
papain,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
pepsin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
pepsinogen,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
major proteinase,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
superoxide dismutases,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
trypsinogen,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
trypsin inhibitor,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
thaumatin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
triosephosphate isomerase,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
trypsin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
ubiquitin,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
glucose oxidase,RamanBioLib,Raman,Glass microscope slide,532.0,full_spectrum,pure
xylanase,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
cytochrome c,RamanBioLib,Raman,Glass microscope slide,488.0,full_spectrum,pure
a-dna,RamanBioLib,Raman,nan,514.5,full_spectrum,pure
b-dna,RamanBioLib,Raman,nan,514.5,full_spectrum,pure
t-rna,RamanBioLib,Raman,nan,488.0,full_spectrum,pure
ceramide,RamanBioLib,Raman,Glass tube,1064.0,full_spectrum,pure
melanin,RamanBioLib,Raman,nan,785.0,full_spectrum,pure
2-deoxy-d-ribose,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
d-(+)-galactose,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
d-(+)-glucose,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
d-(+)-lactose monohydrate,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
d-(+)-maltose monohydrate,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
d-(+)-raffinose pentahydrate,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
d-(+)-sucrose,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
d-(-)-ribose,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
glycogen,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
l-(+)-arabinose,RamanBioLib,Raman,Metal discs,1064.0,full_spectrum,pure
elastin,RamanBioLib,Raman,nan,1064.0,full_spectrum,pure
keratin,RamanBioLib,Raman," Sample compartment of the
instrument",1064.0,full_spectrum,pure
l-asparagine,RamanBioLib,Raman,nan,488.0,full_spectrum,pure
l-aspartic acid,RamanBioLib,Raman,nan,488.0,full_spectrum,pure
glucosamine,RamanBioLib,Raman,nan,488.0,full_spectrum,pure
tubulin,RamanBioLib,Raman,Coverslip and glass slide,532.0,full_spectrum,pure
insulin,RamanBioLib,Raman,Gold-coated glass sustrate,633.0,full_spectrum,pure
diethylstilbestrol,RamanBioLib,Raman,nan,532.0,full_spectrum,pure
estradiol,RamanBioLib,Raman,nan,532.0,full_spectrum,pure
estriol,RamanBioLib,Raman,nan,532.0,full_spectrum,pure
estrone,RamanBioLib,Raman,nan,532.0,full_spectrum,pure
ethinylestradiol,RamanBioLib,Raman,nan,532.0,full_spectrum,pure
L-Cysteine Intensity,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
Tetrahydrofolate,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
Dihydrofolate,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-Cystine,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-Tryptophan,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
Nicotinamide,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
Cys-Gly,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
BIS(3-AMINOPROPYL)AMINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
HOMOCYSTEINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
CAFFEINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
KYNURENINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-LYSINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
L-ARGININE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
HOMOCYSTINE,sers_metabolite_63,Ag-SERS,Ag citrate colloid,633,full_spectrum,pure
