idx,analyte_name,col_index,n_data_points,substrate,excitation_nm,n_spectra_note
1,L-Cysteine Intensity,1,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
2,Tetrahydrofolate,3,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
3,Dihydrofolate,4,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
4,L-Cystine,5,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
5,L-Tryptophan,6,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
6,Nicotinamide,7,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
7,Cys-Gly,8,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
8,BIS(3-AMINOPROPYL)AMINE,10,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
9,HOMOCYSTEINE,11,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
10,CAFFEINE,12,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
11,KYNURENINE,13,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
12,L-LYSINE,14,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
13,L-ARGININE,15,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
14,HOMOCYSTINE,16,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
15,THIAMINE,17,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
16,OCTOPAMINE,18,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
17,SELENOCYSTAMINE,19,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
18,HISTAMINE,20,716,"Ag colloid (Lee-Meisel, citrate)",633,1 averaged bg-subtracted spectrum (avg of 3 scans)
