source_id,title_or_short_label,condition_scope,sample_type_if_known,evidence_rows,category_primary,explicit_text_directionality_present,tabular_directionality_present,figure_directionality_present,likely_query_conditions,likely_comparator_conditions,extraction_value,confidence_in_classification,notes,recommended_for_pilot
src_001,src_001,,,37,D,no,no,no,,,low,low,,no
src_002,src_002,,,22,D,no,no,no,,,low,low,,no
src_003,src_003,,,17,D,no,no,no,,,low,low,,no
src_004,src_004,,,8,D,no,no,no,,,low,low,,no
src_blocked_H6_0008_phaseJ3_wiley_20260409,src_blocked_H6_0008_phaseJ3_wiley_20260409,,,9,D,no,no,no,,,low,low,,no
src_cca_2024_manuscript,src_cca_2024_manuscript,,,22,D,no,no,no,,,low,low,,no
src_critA_acoustic_bioprinting_raman_bacteria,src_critA_acoustic_bioprinting_raman_bacteria,,,95,D,no,no,no,,,low,low,,no
src_critA_caffeine_ecsers_human_serum,src_critA_caffeine_ecsers_human_serum,,,11,D,no,no,no,,,low,low,,no
src_critA_colloid_sers_serum_blood,src_critA_colloid_sers_serum_blood,,,5,D,no,no,no,,,low,low,,no
src_critA_ctdna_mutation_plasma_sers,src_critA_ctdna_mutation_plasma_sers,,,1,D,no,no,no,,,low,low,,no
src_critA_dopamine_serum_quantitative,src_critA_dopamine_serum_quantitative,,,2,D,no,no,no,,,low,low,,no
src_critA_ergothioneine_sers_serum,src_critA_ergothioneine_sers_serum,,,2,D,no,no,no,,,low,low,,no
src_critA_gold_clusters_sers_direct_serum,src_critA_gold_clusters_sers_direct_serum,,,5,D,no,no,no,,,low,low,,no
src_critA_lipid_foundation_sers_model,src_critA_lipid_foundation_sers_model,,,6,D,no,no,no,,,low,low,,no
src_critA_metasurface_dual_mode_analyte,src_critA_metasurface_dual_mode_analyte,,,1,D,no,no,no,,,low,low,,no
src_critA_mxene_wearable_sers_sweat,src_critA_mxene_wearable_sers_sweat,,,11,D,no,no,no,,,low,low,,no
src_critA_nanographene_amino_acid_detection,src_critA_nanographene_amino_acid_detection,,,4,D,no,no,no,,,low,low,,no
src_critA_pituitary_adenoma_raman_metabolomics,src_critA_pituitary_adenoma_raman_metabolomics,,,6,D,no,no,no,,,low,low,,no
src_critA_plasma_dopamine_depression_sers,src_critA_plasma_dopamine_depression_sers,,,11,D,no,no,no,,,low,low,,no
src_critA_prostate_cancer_sers_prostatic_fluid,src_critA_prostate_cancer_sers_prostatic_fluid,,,25,D,no,no,no,,,low,low,,no
src_critA_raman_database_amino_acids,src_critA_raman_database_amino_acids,,,24,D,no,no,no,,,low,low,,no
src_critA_renewable_sers_sensor_metabolites,src_critA_renewable_sers_sensor_metabolites,,,14,D,no,no,no,,,low,low,,no
src_critA_serrs_bilirubin_detection,src_critA_serrs_bilirubin_detection,,,4,D,no,no,no,,,low,low,,no
