dedup_group_id,base_dataset_id,n_variants,variant_type,callable_ids
DG001,adenine_sers_interlab,4,substrate_material,adenine_colloidal_gold;adenine_colloidal_silver;adenine_solid_gold;adenine_solid_silver
DG002,alzheimer,1,none,alzheimer
DG003,amino_acids_lc_raman,4,analyte,amino_acids_glycine;amino_acids_leucine;amino_acids_phenylalanine;amino_acids_tryptophan
DG004,bacteria_identification,1,none,bacteria_identification
DG005,biomolecules_reference,1,none,biomolecules_reference
DG006,bioprocess_analytes,8,instrument,bioprocess_analytes_anton_532;bioprocess_analytes_anton_785;bioprocess_analytes_kaiser;bioprocess_analytes_metrohm;bioprocess_analytes_mettler_toledo;bioprocess_analytes_tec5;bioprocess_analytes_timegate;bioprocess_analytes_tornado
DG007,bioprocess_substrates,1,none,bioprocess_substrates
DG008,cancer_cell,3,substrate_functionalization,cancer_cell_(cooh)2;cancer_cell_cooh;cancer_cell_nh2
DG009,chembl_molecules,1,none,chembl_molecules
DG010,comfile_stroke,1,none,comfile_stroke
DG011,covid19_salvia,1,none,covid19_salvia
DG012,covid19_serum,1,none,covid19_serum
DG013,deepr,2,task,deepr_denoising;deepr_super_resolution
DG014,diabetes_skin,5,anatomical_position,diabetes_skin_ages;diabetes_skin_ear_lobe;diabetes_skin_inner_arm;diabetes_skin_thumbnail;diabetes_skin_vein
DG015,ecoli_fermentation,1,none,ecoli_fermentation
DG016,ecoli_metabolites,1,none,ecoli_metabolites
DG017,ecoli_metabolites_dig4bio,1,none,ecoli_metabolites_dig4bio
DG018,flow_microgel_synthesis,1,none,flow_microgel_synthesis
DG019,fuel_benchtop,1,none,fuel_benchtop
DG020,fuel_handheld,1,none,fuel_handheld
DG021,hair_dyes_sers,1,none,hair_dyes_sers
DG022,head_neck_cancer,1,none,head_neck_cancer
DG023,ht_raman_bio_catalysis_axp,1,none,ht_raman_bio_catalysis_axp
DG024,illicit_adulterants,2,modality,illicit_adulterants_ft_raman;illicit_adulterants_sers
DG025,kaiser_ecoli_fermentation,2,matrix_supernatant_or_full,kaiser_ecoli_fermentation;kaiser_ecoli_fermentation_supernatant
DG026,microgel_size,14,preprocessing+spectral_range,microgel_size_lf_fingerprint;microgel_size_lf_global;microgel_size_mm_lf_fingerprint;microgel_size_mm_lf_global;microgel_size_mm_rb_fingerprint;microgel_size_mm_rb_global;microgel_size_raw_fingerprint;microgel_size_raw_global;microgel_size_rb_fingerprint;microgel_size_rb_global;microgel_size_snv_lf_fingerprint;microgel_size_snv_lf_global;microgel_size_snv_rb_fingerprint;microgel_size_snv_rb_global
DG027,microgel_synthesis,1,none,microgel_synthesis
DG028,microplastics_weathered,1,none,microplastics_weathered
DG029,mlrod,1,none,mlrod
DG030,organic_compounds,2,preprocessing,organic_compounds_preprocess;organic_compounds_raw
DG031,parkinson,1,none,parkinson
DG032,pharmaceutical_ingredients,1,none,pharmaceutical_ingredients
DG033,ralstonia_fermentations,1,none,ralstonia_fermentations
DG034,rruff_mineral,2,preprocessing,rruff_mineral_preprocess;rruff_mineral_raw
DG035,rwth_acid_species,6,acid_species,acetic_acid_species;citric_acid_species;formic_acid_species;itaconic_acid_species;levulinic_acid_species;succinic_acid_species
DG036,serum_alzheimer_disease,1,none,serum_alzheimer_disease
DG037,serum_prostate_cancer,1,none,serum_prostate_cancer
DG038,streptococcus_thermophilus_fermentation_kaiser,1,none,streptococcus_thermophilus_fermentation_kaiser
DG039,streptococcus_thermophilus_fermentation_timegate,1,none,streptococcus_thermophilus_fermentation_timegate
DG040,sugar_mixtures,2,snr_level,sugar_mixtures_high_snr;sugar_mixtures_low_snr
DG041,synthetic_organic_pigments,2,preprocessing,synthetic_organic_pigments_baseline_corrected;synthetic_organic_pigments_raw
DG042,tg_ecoli_fermentation,2,matrix_supernatant_or_full,tg_ecoli_fermentation;tg_ecoli_fermentation_supernatant
DG043,wheat_lines,1,none,wheat_lines
DG044,yeast_fermentation,1,none,yeast_fermentation
