dataset_id,base_dataset_id,dedup_group_id,variant_type,dataset_name,source,application_type,task_type,modality,experimental_vs_computational,sample_type,biological_matrix,analyte_type,n_spectra,wavenumber_range_min,wavenumber_range_max,axis_uniformity,preprocessing_status,preprocessing_notes,paper_or_doi,source_url,license,download_requirements,full_name,description_excerpt,contains_cohort_labels,contains_disease_labels,contains_computed_spectra,mixed_modality,missing_metadata
chembl_molecules,chembl_molecules,DG009,none,Raman-ChEMBL Molecules,Figshare,Chemical,Regression,DFT,Computational,pure_compound,n/a,small_molecule_drug,,unknown,unknown,unknown,unknown,,https://doi.org/10.1038/s41597-025-05289-x,https://figshare.com/articles/dataset/Raman-ChEMBL-part2/28594295,CC BY-NC-ND 4.0,none,Raman-ChEMBL-part2,"140k DFT-computed Raman spectra for ChEMBL drug-like molecules. Targets: HOMO-LUMO gap, HOMO/LUMO energies, isotropic polarizability, heat capacity, dipole moment.",no,no,yes,no,no
comfile_stroke,comfile_stroke,DG010,none,Stroke SERS Serum,Figshare,Medical,Classification,SERS,Experimental,biofluid,serum,unknown,,unknown,unknown,unknown,unknown,,https://www.nature.com/articles/s42256-025-01027-5,https://figshare.com/articles/dataset/ComFilE_/28107431,CC BY 4.0,none,ComFilE: SERS serum spectra for stroke classification,"SERS serum spectra for binary stroke vs. healthy-control classification. 20 tab-separated files (10 stroke, 10 healthy control), each containing ~201 spectra across 723 wavenumber points (202.985–1999.92 cm⁻¹). ~4,020 spectra total.",yes,yes,no,no,no
pharmaceutical_ingredients,pharmaceutical_ingredients,DG032,none,Pharmaceutical Ingredients,Figshare,Medical,Classification,Raman,Experimental,pure_compound,n/a,small_molecule_drug,,unknown,unknown,unknown,unknown,,https://doi.org/10.1038/s41597-025-04848-6,https://springernature.figshare.com/ndownloader/articles/27931131/versions/1,CC BY 4.0,none,Open-source Raman spectra of chemical compounds for active pharmaceutical ingredient development,"A Raman spectral dataset comprising 3,510 spectra from 32 chemical substances. This dataset includes organic solvents and reagents commonly used in API development, along with information regarding the products in the XLSX, and code to visu",no,no,no,no,no
serum_alzheimer_disease,serum_alzheimer_disease,DG036,none,Alzheimer's SERS Serum,Figshare,Medical,Classification,SERS,Experimental,biofluid,serum,metabolite,,600,1800,unknown,unknown,,,https://figshare.com/articles/dataset/ComFilE_for_AD/28107578,CC BY 4.0,none,ComFilE for AD,"SERS serum metabolite spectra for classifying Alzheimer's disease (AD), mild cognitive impairment (MCI), and healthy controls. 139 serum samples (57 male, 82 female) collected at Rui Jin Hospital, Shanghai Jiao Tong University. Organized as",yes,yes,no,no,yes
serum_prostate_cancer,serum_prostate_cancer,DG037,none,Prostate Cancer SERS Serum,Figshare,Medical,Classification,SERS,Experimental,biofluid,serum,metabolite,,600,1800,unknown,unknown,,https://doi.org/10.1016/j.xcrm.2024.101579,https://figshare.com/articles/dataset/ComFilE_for_PCa/28107395,CC BY 4.0,none,ComFilE for PCa,"SERS serum metabolite spectra for classifying prostate cancer (PCa), benign prostatic hyperplasia (BPH), and healthy controls. 424 serum samples from male participants (ages 41–89) collected at Ren Ji Hospital, Shanghai Jiao Tong University",yes,yes,no,no,no
alzheimer,alzheimer,DG002,none,Saliva Alzheimer,GitHub,Medical,Classification,Raman,Experimental,biofluid,saliva,lipid,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.compbiomed.2024.108028,https://github.com/piazzam/Robust-SVM-Raman,Authors contacted,manual,Saliva Neurodegenerative Disease Raman Dataset (Alzheimer),"Raman spectra from dried saliva drops targeting Alzheimer's Disease (PD) vs. healthy controls. Reveals hidden trends in proteins, lipids, and saccharides for early detection of cognitive and motor impairment.",yes,yes,no,no,no
biomolecules_reference,biomolecules_reference,DG005,none,Biomolecules,GitHub,Biological,Classification,Raman,Experimental,pure_compound,n/a,amino_acid,,450,1800,unknown,unknown,,https://doi.org/10.1016/j.chemolab.2025.105476,https://github.com/mteranm/ramanbiolib,GPL-3.0,none,RamanBioLib — Reference Biomolecules,"Reference Raman spectra (450–1800 cm⁻¹, 1 cm⁻¹ resolution) of ~140 pure biomolecules including amino acids, nucleotides, lipids, and sugars. Each spectrum is labelled by biomolecule name. Useful for spectral assignment and as a reference li",no,no,no,no,no
covid19_salvia,covid19_salvia,DG011,none,Saliva COVID-19,GitHub,Medical,Classification,Raman,Experimental,biofluid,saliva,unknown,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.compbiomed.2024.108028,https://github.com/piazzam/Robust-SVM-Raman,Authors contacted,manual,Saliva COVID-19 Raman Dataset,"Curated for non-invasive SARS-CoV-2 screening. Includes ~25 spectral replicates per subject from 101 patients (positive, negative symptomatic, and healthy controls) acquired from dried saliva drops using a 785 nm spectrometer.",yes,yes,no,no,no
parkinson,parkinson,DG031,none,Saliva Parkinson,GitHub,Medical,Classification,Raman,Experimental,biofluid,saliva,lipid,,unknown,unknown,unknown,unknown,,https://doi.org/10.1016/j.compbiomed.2024.108028,https://github.com/piazzam/Robust-SVM-Raman,Authors contacted,manual,Saliva Neurodegenerative Disease Raman Dataset (Parkinson),"Raman spectra from dried saliva drops targeting Parkinson's Disease (PD) vs. healthy controls. Reveals hidden trends in proteins, lipids, and saccharides for early detection of cognitive and motor impairment.",yes,yes,no,no,no
organic_compounds_preprocess,organic_compounds,DG030,preprocessing,Organic Compounds (Preprocess),GoogleDrive,Chemical,Classification,Raman,Experimental,pure_compound,n/a,small_molecule_drug,,unknown,unknown,unknown,preprocessed_other,,https://doi.org/10.1002/jrs.5750,https://data.dtu.dk/api/files/36144495,unknown,none,Organic Compounds Multi-Excitation Dataset - Preprocess,Preprocess Raman spectra of organic compounds collected with several different excitation sources. Designed to benchmark transfer learning and domain adaptation for chemical identification with limited data.,no,no,no,no,no
