id,component,type,family,sample_substrate,laser_wavelength
1,12-methyltetradecanoic acid,Lipids/FattyAcids,Lipids,CaF2 slide,785.0
2,13-methylmyristicacid,Lipids/FattyAcids,Lipids,CaF2 slide,785.0
3,14-methylhexadecanoic acid,Lipids/FattyAcids,Lipids,CaF2 slide,785.0
4,14-methylpentadecanoic acid,Lipids/FattyAcids,Lipids,CaF2 slide,785.0
5,15-methylpalmiticacid,Lipids/FattyAcids,Lipids,CaF2 slide,785.0
6,acetoacetate,PrimaryMetabolites,PrimaryMetabolites,CaF2 slide,785.0
7,acetyl coenzyme a,PrimaryMetabolites,PrimaryMetabolites,CaF2 slide,785.0
8,adenine,NucleicAcids,NucleicAcids,CaF2 slide,785.0
9,amylopectin,Saccharides/Polysaccharides,Saccharides,CaF2 slide,785.0
10,amylose,Saccharides/Polysaccharides,Saccharides,CaF2 slide,785.0
11,ascorbic acid,Vitamins,Vitamins,CaF2 slide,785.0
12,cellulose,Saccharides/Polysaccharides,Saccharides,CaF2 slide,785.0
13,chitin,Saccharides/Polysaccharides,Saccharides,CaF2 slide,785.0
14,citric acid,PrimaryMetabolites,PrimaryMetabolites,CaF2 slide,785.0
15,coenzyme a,PrimaryMetabolites,PrimaryMetabolites,CaF2 slide,785.0
16,cytosine,NucleicAcids,NucleicAcids,CaF2 slide,785.0
17,d-(+)-dextrose,Saccharides/Monosaccharides/Glucose,Saccharides,CaF2 slide,785.0
18,d-(+)-fucose,Saccharides/Monosaccharides,Saccharides,CaF2 slide,785.0
19,d-(+)-galactosamine,Saccharides,Saccharides,CaF2 slide,785.0
20,d-(+)-mannose,Saccharides/Monosaccharides,Saccharides,CaF2 slide,785.0
21,d-(+)-trehalose,Saccharides/Disaccharides,Saccharides,CaF2 slide,785.0
22,d-(+)-xylose,Saccharides/Monosaccharides,Saccharides,CaF2 slide,785.0
23,d-(-)-arabinose,Saccharides/Monosaccharides,Saccharides,CaF2 slide,785.0
24,d-(-)-fructose,Saccharides/Monosaccharides,Saccharides,CaF2 slide,785.0
25,d-fructose-6-phosphate,PrimaryMetabolites,PrimaryMetabolites,CaF2 slide,785.0
