id,component,family,membrane_lipid,protein_backbone,aromatic_amino_acid,purine_nucleotide,pyrimidine_nucleotide,glycan_carbohydrate,redox_metabolite,nucleic_acid_backbone,dominant_axis,dominant_weight
1,12-methyltetradecanoic acid,Lipids,0.2058122360095473,0.13140294932650112,0.039704493455475616,0.03403379511899947,0.07069685553126799,0.14825795976000586,0.016385212738063377,0.20261347187890838,membrane_lipid,0.2058122360095473
2,13-methylmyristicacid,Lipids,0.11918834163814729,0.15752210617514234,0.03224141376944328,0.02523339457545376,0.02387279783080451,0.07858151281645206,0.016267214004224522,0.10034788222303095,protein_backbone,0.15752210617514234
3,14-methylhexadecanoic acid,Lipids,0.1664211993210808,0.12986136373388435,0.03135511877169991,0.02673552713921115,0.03824139372605781,0.13361191338383815,0.02199539388459625,0.22872113792612644,nucleic_acid_backbone,0.22872113792612644
4,14-methylpentadecanoic acid,Lipids,0.14917733501707126,0.14788308469762929,0.020256313520851662,0.024637655012431953,0.03851388194767305,0.13323918883279423,0.016212505787752053,0.1674366504986476,nucleic_acid_backbone,0.1674366504986476
5,15-methylpalmiticacid,Lipids,0.14458307666286427,0.1463528489140789,0.028367704205975144,0.018389605121158097,0.04422379298615113,0.12392670145020329,0.017838706287469433,0.1409579658545497,protein_backbone,0.1463528489140789
6,acetoacetate,PrimaryMetabolites,0.3988549436210901,0.09360683131171364,0.24235026204788523,0.06541744419425792,0.1424499835567447,0.07933102462651784,0.07561329948235379,0.06956911706810795,membrane_lipid,0.3988549436210901
7,acetyl coenzyme a,PrimaryMetabolites,0.10773212539710364,0.16325078462604053,0.12062789836253941,0.3118251326997164,0.1470005829582901,0.20039880001917248,0.12974807638600955,0.17465195095606395,purine_nucleotide,0.3118251326997164
8,adenine,NucleicAcids,0.017940281515603642,0.06261807750285671,0.021613333248954345,0.13753611134613727,0.008239146322268978,0.0338126108538563,0.0413187059989333,0.022539007724709157,purine_nucleotide,0.13753611134613727
9,amylopectin,Saccharides,0.17392984915226034,0.12266386693543076,0.06873736447564761,0.12413638882624335,0.0343278005357159,0.27804133963455835,0.2670297764430642,0.23886987689880185,glycan_carbohydrate,0.27804133963455835
10,amylose,Saccharides,0.26855510542665645,0.1780380956364062,0.13065169509819616,0.1908405602949542,0.051765872744977987,0.43843369310399144,0.33720472974427795,0.3797800737965258,glycan_carbohydrate,0.43843369310399144
11,ascorbic acid,Vitamins,0.04427155161646874,0.11807000717228859,0.09543583052811681,0.1073216008569176,0.05874304635612637,0.2196562156733908,0.034962396820833304,0.11218593812801793,glycan_carbohydrate,0.2196562156733908
12,cellulose,Saccharides,0.1462327330378701,0.06567369685583645,0.027175777115922204,0.08828841314163939,0.011620086385346617,0.3335687949730558,0.05828374176059732,0.20020963176514112,glycan_carbohydrate,0.3335687949730558
13,chitin,Saccharides,0.2608302439990205,0.1446679374370506,0.058032504183668204,0.18405695716349849,0.02539272465778737,0.4188981168530249,0.16430250664624702,0.31390360731899797,glycan_carbohydrate,0.4188981168530249
