axis,axis_short,engine_pearson_A_vs_B,engine_spearman_A_vs_B,engine_max_abs_A_vs_B,engine_mean_abs_A_vs_B,v3A_vs_hist1322_pearson,v3A_vs_hist1322_max_abs
G01_purine_nucleotide,Purine-nuc,0.9999999999999999,1.0,0.0,0.0,0.20202250421692586,0.014591722833060131
G02_purine_metabolite,Purine-met,1.0,1.0,0.0,0.0,0.4190971166589132,0.042855598092154855
G03_pyrimidine_nucleotide,Pyrimidine,0.9999999999999999,1.0,0.0,0.0,0.1453660968003966,0.03148608619064516
G04_nucleic_acid_phosphate,Nuc-phosphate,1.0,1.0,0.0,0.0,0.3377101042514436,0.03622571800871989
G05_glycan_carbohydrate,Glycan,1.0,1.0,0.0,0.0,0.8215348920538612,0.05321282720749738
G06_protein_peptide_backbone,Protein,0.9999999999999999,1.0,0.0,0.0,0.5475557323906624,0.05758459617877744
G07_aromatic_residue,Aromatic,1.0,1.0,0.0,0.0,0.6560253890611991,0.05802779879864834
G08_lipid_acyl_membrane,Lipid,1.0,1.0,0.0,0.0,0.3312193033444629,0.021422093016414394
G09_sterol_neutral_lipid,Sterol,0.9999999999999998,1.0,0.0,0.0,0.48450922726936946,0.027859554890266546
G10_sulfur_thiol_redox,Redox,0.9999300617673478,0.9996159754224271,0.02727247052315629,0.016174754962510772,0.8020528953210787,0.08789712618937254
G11_metabolic_small_molecule,Metabolite,1.0,1.0,0.0,0.0,0.48233051758751166,0.05376771866811342
