axis,axis_short,mean_OWD,mean_NWD,delta_OWD_minus_NWD,cohens_d,mannwhitney_U,p_value,q_value_fdr_bh
G10_sulfur_thiol_redox,Redox,0.11752075310057655,0.06388878422918513,0.05363196887139142,2.207051978135303,876.0,8.043883799886231e-09,8.848272179874854e-08
G01_purine_nucleotide,Purine-nuc,0.005221191256678724,0.0036102124903808056,0.0016109787662979187,1.452593886401828,815.0,9.382086458584394e-07,5.160147552221417e-06
G07_aromatic_residue,Aromatic,0.04429264573971825,0.018478304424233354,0.025814341315484896,1.3994225842382833,769.0,2.1081666715576868e-05,5.797458346783639e-05
G09_sterol_neutral_lipid,Sterol,0.016117380529370992,0.006782016080560816,0.009335364448810175,1.2228762754757012,777.0,1.2634384502714325e-05,4.6326076509952525e-05
G11_metabolic_small_molecule,Metabolite,0.059765463768590495,0.06842705848743731,-0.008661594718846817,-0.5780952948774137,297.0,0.01581463980466271,0.0289935063085483
G06_protein_peptide_backbone,Protein,0.04724989506143091,0.05627940590136273,-0.009029510839931823,-0.4332255061658505,385.0,0.2429436585781266,0.3817686063370561
G04_nucleic_acid_phosphate,Nuc-phosphate,0.007737783130556299,0.005283837862143626,0.002453945268412673,0.27076969483515667,440.0,0.6971132393063573,0.766824563236993
G03_pyrimidine_nucleotide,Pyrimidine,0.0043352372343310654,0.003671696632875755,0.0006635406014553103,0.2523145770910675,747.0,8.089283143838644e-05,0.00017796422916445016
G08_lipid_acyl_membrane,Lipid,0.012552859008757281,0.0116192071090742,0.0009336518996830804,0.18890814712689274,529.0,0.3918404287602453,0.5387805895453373
G05_glycan_carbohydrate,Glycan,0.0468996122096161,0.05161950402804714,-0.004719891818431035,-0.15379566560612384,421.0,0.5104507282385738,0.6238842234027014
G02_purine_metabolite,Purine-met,0.039602884464100464,0.040167737555794926,-0.0005648530916944616,-0.04714455221030842,467.0,0.994353632352911,0.994353632352911
