axis,axis_label,n_OWD,n_NWD,mean_OWD,mean_NWD,delta_OWD_minus_NWD,cohens_d,cliffs_delta,mannwhitney_U,p_value,q_value_fdr_bh
G09_sterol_neutral_lipid,Sterol / neutral lipid,39,24,0.0276741623659495,0.0121249366273355,0.0155492257386139,2.4498985208033783,0.9102564102564102,894.0,1.7195740842234327e-09,1.8915314926457763e-08
G11_metabolic_small_molecule,Metabolic small molecule,39,24,0.0347810743168767,0.0441764828541678,-0.009395408537291,-1.4491132588218685,-0.7072649572649573,137.0,2.9008298929730925e-06,1.595456441135201e-05
G10_sulfur_thiol_redox,Sulfur / thiol / redox,39,24,0.1084013080481388,0.0728115450581749,0.0355897629899638,1.438742562369858,0.6538461538461539,774.0,1.533066760878743e-05,5.621244789888724e-05
G03_pyrimidine_nucleotide,Pyrimidine nucleotide,39,24,0.0111202325276895,0.0190286846846379,-0.0079084521569484,-1.40618745872663,-0.6282051282051282,174.0,3.2665407888541803e-05,7.186389735479197e-05
G07_aromatic_residue,Aromatic residue,39,24,0.0359920343351334,0.0235280897419783,0.012463944593155,1.3225874083393188,0.6346153846153846,765.0,2.710693590319033e-05,7.186389735479197e-05
G05_glycan_carbohydrate,Glycan / carbohydrate,39,24,0.0417558506246431,0.0450543731639012,-0.003298522539258,-0.2143157222926639,-0.2051282051282051,372.0,0.1764854798297926,0.284520891980126
G08_lipid_acyl_membrane,Lipid acyl / membrane,39,24,0.021657015247964,0.0226158842886225,-0.0009588690406584,-0.2766761765269974,-0.202991452991453,373.0,0.1810587494418983,0.284520891980126
G04_nucleic_acid_phosphate,Nucleic acid phosphate,39,24,0.0149054724207892,0.0124423746454017,0.0024630977753875,0.2760048839880709,0.141025641025641,534.0,0.3538996288233262,0.4600163686836259
G06_protein_peptide_backbone,Protein peptide backbone,39,24,0.0364800253455018,0.0341797866813639,0.0023002386641379,0.266947933866373,0.1346153846153846,531.0,0.3763770289229666,0.4600163686836259
G01_purine_nucleotide,Purine nucleotide,39,24,0.0115344014914792,0.0104928341519807,0.0010415673394984,0.304632098160423,0.0811965811965812,506.0,0.5955886644969063,0.655147530946597
G02_purine_metabolite,Purine metabolite,39,24,0.0296847756301612,0.0298763630487726,-0.0001915874186113,-0.0328869244266991,0.0448717948717948,489.0,0.7717045533628522,0.7717045533628522
