axis,axis_short,max_abs_1304_vs_1322,mean_1304,mean_1322
G01_purine_nucleotide,Purine-nuc,0.0,0.011137613933575003,0.011137613933575003
G02_purine_metabolite,Purine-met,0.0,0.02975776131344175,0.02975776131344175
G03_pyrimidine_nucleotide,Pyrimidine,0.0,0.014132976206526962,0.014132976206526962
G04_nucleic_acid_phosphate,Nuc-phosphate,0.0,0.013967149458736857,0.013967149458736857
G05_glycan_carbohydrate,Glycan,0.0,0.04301243063959858,0.04301243063959858
G06_protein_peptide_backbone,Protein,0.0,0.03560374394963971,0.03560374394963971
G07_aromatic_residue,Aromatic,0.0,0.0312438649663124,0.0312438649663124
G08_lipid_acyl_membrane,Lipid,0.0,0.02202229869202438,0.02202229869202438
G09_sterol_neutral_lipid,Sterol,0.0,0.02175064779885843,0.02175064779885843
G10_sulfur_thiol_redox,Redox,0.05986217718894149,0.10802690473412037,0.09484330309958112
G11_metabolic_small_molecule,Metabolite,0.0,0.038360277569178064,0.038360277569178064
