variant,cohort,axis,axis_short,value
raw,NWD,G01_purine_nucleotide,Purine-nuc,0.0036102124903808056
raw,NWD,G02_purine_metabolite,Purine-met,0.040167737555794926
raw,NWD,G03_pyrimidine_nucleotide,Pyrimidine,0.003671696632875755
raw,NWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.005283837862143626
raw,NWD,G05_glycan_carbohydrate,Glycan,0.05161950402804714
raw,NWD,G06_protein_peptide_backbone,Protein,0.05627940590136273
raw,NWD,G07_aromatic_residue,Aromatic,0.018478304424233354
raw,NWD,G08_lipid_acyl_membrane,Lipid,0.0116192071090742
raw,NWD,G09_sterol_neutral_lipid,Sterol,0.006782016080560816
raw,NWD,G10_sulfur_thiol_redox,Redox,0.06388878422918513
raw,NWD,G11_metabolic_small_molecule,Metabolite,0.06842705848743731
raw,OWD,G01_purine_nucleotide,Purine-nuc,0.005221191256678724
raw,OWD,G02_purine_metabolite,Purine-met,0.039602884464100464
raw,OWD,G03_pyrimidine_nucleotide,Pyrimidine,0.0043352372343310654
raw,OWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.007737783130556299
raw,OWD,G05_glycan_carbohydrate,Glycan,0.0468996122096161
raw,OWD,G06_protein_peptide_backbone,Protein,0.04724989506143091
raw,OWD,G07_aromatic_residue,Aromatic,0.04429264573971825
raw,OWD,G08_lipid_acyl_membrane,Lipid,0.012552859008757281
raw,OWD,G09_sterol_neutral_lipid,Sterol,0.016117380529370992
raw,OWD,G10_sulfur_thiol_redox,Redox,0.11752075310057655
raw,OWD,G11_metabolic_small_molecule,Metabolite,0.059765463768590495
historical_cohort_z,NWD,G01_purine_nucleotide,Purine-nuc,-0.7367972741153467
historical_cohort_z,NWD,G02_purine_metabolite,Purine-met,0.02941500873155428
historical_cohort_z,NWD,G03_pyrimidine_nucleotide,Pyrimidine,-0.15626299842283103
historical_cohort_z,NWD,G04_nucleic_acid_phosphate,Nuc-phosphate,-0.16749879309802929
historical_cohort_z,NWD,G05_glycan_carbohydrate,Glycan,0.09570876171186107
historical_cohort_z,NWD,G06_protein_peptide_backbone,Protein,0.2644008732120356
historical_cohort_z,NWD,G07_aromatic_residue,Aromatic,-0.718647738381541
historical_cohort_z,NWD,G08_lipid_acyl_membrane,Lipid,-0.117388739812678
historical_cohort_z,NWD,G09_sterol_neutral_lipid,Sterol,-0.6534229771800794
historical_cohort_z,NWD,G10_sulfur_thiol_redox,Redox,-0.9315429562463469
historical_cohort_z,NWD,G11_metabolic_small_molecule,Metabolite,0.3469460858430281
historical_cohort_z,OWD,G01_purine_nucleotide,Purine-nuc,0.45341370714790546
historical_cohort_z,OWD,G02_purine_metabolite,Purine-met,-0.01810154383480389
historical_cohort_z,OWD,G03_pyrimidine_nucleotide,Pyrimidine,0.09616184518328087
historical_cohort_z,OWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.1030761803680178
historical_cohort_z,OWD,G05_glycan_carbohydrate,Glycan,-0.05889769951499185
historical_cohort_z,OWD,G06_protein_peptide_backbone,Protein,-0.16270822966894485
historical_cohort_z,OWD,G07_aromatic_residue,Aromatic,0.4422447620809477
historical_cohort_z,OWD,G08_lipid_acyl_membrane,Lipid,0.07223922450010938
historical_cohort_z,OWD,G09_sterol_neutral_lipid,Sterol,0.40210644749543284
historical_cohort_z,OWD,G10_sulfur_thiol_redox,Redox,0.5732572038439071
historical_cohort_z,OWD,G11_metabolic_small_molecule,Metabolite,-0.2135052835957099
robust_cohort_z,NWD,G01_purine_nucleotide,Purine-nuc,-0.6750296530009695
robust_cohort_z,NWD,G02_purine_metabolite,Purine-met,0.03109088701999302
robust_cohort_z,NWD,G03_pyrimidine_nucleotide,Pyrimidine,0.01342465292812893
robust_cohort_z,NWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.44940819530160525
robust_cohort_z,NWD,G05_glycan_carbohydrate,Glycan,0.5387819248564872
robust_cohort_z,NWD,G06_protein_peptide_backbone,Protein,0.467774188955224
robust_cohort_z,NWD,G07_aromatic_residue,Aromatic,-0.35284086548342397
robust_cohort_z,NWD,G08_lipid_acyl_membrane,Lipid,-0.3302417893170598
robust_cohort_z,NWD,G09_sterol_neutral_lipid,Sterol,-0.5581496852872476
robust_cohort_z,NWD,G10_sulfur_thiol_redox,Redox,-0.9083354915821942
robust_cohort_z,NWD,G11_metabolic_small_molecule,Metabolite,0.23506540477425616
robust_cohort_z,OWD,G01_purine_nucleotide,Purine-nuc,0.6513552826940876
robust_cohort_z,OWD,G02_purine_metabolite,Purine-met,-0.021117343905763943
robust_cohort_z,OWD,G03_pyrimidine_nucleotide,Pyrimidine,0.4185585525651854
robust_cohort_z,OWD,G04_nucleic_acid_phosphate,Nuc-phosphate,1.9688746925083176
robust_cohort_z,OWD,G05_glycan_carbohydrate,Glycan,0.35812011998101995
robust_cohort_z,OWD,G06_protein_peptide_backbone,Protein,-0.13357943280956666
robust_cohort_z,OWD,G07_aromatic_residue,Aromatic,1.1091443734880972
robust_cohort_z,OWD,G08_lipid_acyl_membrane,Lipid,-0.08318908933381343
robust_cohort_z,OWD,G09_sterol_neutral_lipid,Sterol,0.7610683037119752
robust_cohort_z,OWD,G10_sulfur_thiol_redox,Redox,0.47682429393043335
robust_cohort_z,OWD,G11_metabolic_small_molecule,Metabolite,-0.3136353726666872
v3_frozen_global,NWD,G01_purine_nucleotide,Purine-nuc,-0.11383166027048523
v3_frozen_global,NWD,G02_purine_metabolite,Purine-met,1.050741407691145
v3_frozen_global,NWD,G03_pyrimidine_nucleotide,Pyrimidine,-0.0423895190126145
v3_frozen_global,NWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.06596707422148305
v3_frozen_global,NWD,G05_glycan_carbohydrate,Glycan,-0.5998851481255398
v3_frozen_global,NWD,G06_protein_peptide_backbone,Protein,0.6447425673913056
v3_frozen_global,NWD,G07_aromatic_residue,Aromatic,-4.099640787453384
v3_frozen_global,NWD,G08_lipid_acyl_membrane,Lipid,-1.9208962213402752
v3_frozen_global,NWD,G09_sterol_neutral_lipid,Sterol,-1.630995518912936
v3_frozen_global,NWD,G10_sulfur_thiol_redox,Redox,0.6155648816033009
v3_frozen_global,NWD,G11_metabolic_small_molecule,Metabolite,-0.11928514456391931
v3_frozen_global,OWD,G01_purine_nucleotide,Purine-nuc,-0.033282721955589296
v3_frozen_global,OWD,G02_purine_metabolite,Purine-met,1.0224987531064218
