condition,total_input_motifs,mapped_motifs,unmapped_motifs,mapped_fraction,nonzero_bsv_components,total_raw_bsv_signal,normalization_status,failure_flag
DILI_hepatotoxicity,95,45,50,0.474,0,0.0,ok,ZERO_BSV
HCC,95,45,50,0.474,8,0.7395,ok,
NAFLD_NASH,95,45,50,0.474,4,0.667,ok,
acetaminophen_induced_hepatotoxicity,95,45,50,0.474,4,1.0,ok,
albumin_detection,95,45,50,0.474,2,0.8574,ok,
bacterial_identification,95,45,50,0.474,7,0.3718,ok,
bacterial_infection,95,45,50,0.474,1,0.6666,ok,
bilirubin_detection,95,45,50,0.474,2,0.4,ok,
breast_cancer,95,45,50,0.474,3,0.5716,ok,
cancer_exosome_diagnosis_context,95,45,50,0.474,1,1.0,ok,
cancer_stem_cell,95,45,50,0.474,6,0.666,ok,
cholangiocarcinoma,95,45,50,0.474,5,0.4614,ok,
covid19,95,45,50,0.474,4,0.6,ok,
creatinine_detection,95,45,50,0.474,0,0.0,ok,ZERO_BSV
depression,95,45,50,0.474,1,1.0,ok,
diabetic_nephropathy,95,45,50,0.474,7,0.909,ok,
environmental_toxicology,95,45,50,0.474,0,0.0,ok,ZERO_BSV
fibrosis,95,45,50,0.474,2,1.0,ok,
glucose_monitoring,95,45,50,0.474,0,0.0,ok,ZERO_BSV
healthy_control,95,45,50,0.474,7,0.6468,ok,
hepatitis,95,45,50,0.474,7,0.7616,ok,
leukemia,95,45,50,0.474,5,0.8335,ok,
liver_cancer_unspecified,95,45,50,0.474,6,0.5994,ok,
lung_cancer,95,45,50,0.474,3,0.4287,ok,
lung_tumor,95,45,50,0.474,2,0.9999,ok,
miRNA_biomarker,95,45,50,0.474,1,0.5,ok,
multicancer_exosome_diagnosis,95,45,50,0.474,1,1.0,ok,
multiclass_ev_ml_cancer_context,95,45,50,0.474,2,0.6666,ok,
oral_cancer,95,45,50,0.474,3,1.0,ok,
ovarian_cancer,95,45,50,0.474,6,0.7923,ok,
primary_sjogrens_syndrome,95,45,50,0.474,7,0.909,ok,
prostate_cancer,95,45,50,0.474,4,0.5555,ok,
reference_method,95,45,50,0.474,7,0.4522,ok,
review_or_method,95,45,50,0.474,6,0.8181,ok,
serotonin,95,45,50,0.474,1,0.25,ok,
type_2_diabetes_subtype_context,95,45,50,0.474,0,0.0,ok,ZERO_BSV
untreated_control,95,45,50,0.474,4,1.0,ok,
