condition,motif_id,motif_subfamily,motif_score,mapped_component,mapping_status,contribution_weight,weighted_contribution
HCC,motif_L3_0006,adenine,0.0435,purine_nucleotide,mapped,1.0,0.0435
HCC,motif_L3_0007,alanine,0.0435,protein_backbone,mapped,1.0,0.0435
HCC,motif_L3_0008,amide,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0009,amide_i,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0011,amine,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0012,amino_acid,0.0,aromatic_amino_acid,mapped,1.0,0.0
HCC,motif_L3_0016,amp_(nucleotide),0.0435,purine_nucleotide,mapped,1.0,0.0435
HCC,motif_L3_0018,arginine,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0019,aromatic_ring,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0021,backbone,0.0,protein_backbone,mapped,1.0,0.0
HCC,motif_L3_0022,benzene,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0023,bilirubin,0.0,redox_metabolite,mapped,1.0,0.0
HCC,motif_L3_0026,c-c,0.0435,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0027,c-h,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0028,c-n,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0029,c-o,0.0435,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0030,c-s,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0031,c4=o,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0032,c4c3,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0033,c=c,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0034,c_=_c,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0035,ca_=_cb,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0037,carbohydrate,0.0435,glycan_carbohydrate,mapped,1.0,0.0435
HCC,motif_L3_0038,carbonyl,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0039,carboxyl,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0042,carotenoid,0.0,membrane_lipid,mapped,1.0,0.0
HCC,motif_L3_0044,carotenoid_(carotene),0.0,redox_metabolite,mapped,1.0,0.0
HCC,motif_L3_0045,cc,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0046,ch_2,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0049,cholesterol,0.0,membrane_lipid,mapped,1.0,0.0
HCC,motif_L3_0051,citrate,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0052,cmh,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0056,collagen,0.0,protein_backbone,mapped,1.0,0.0
HCC,motif_L3_0057,coo-,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0058,cooh,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0059,creatinine,0.0435,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0062,cysteine,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0066,cytosine,0.0,pyrimidine_nucleotide,mapped,1.0,0.0
HCC,motif_L3_0067,cαcm,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0068,cβ-methyl,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0069,cβcacb,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0071,c−c,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0074,disulfide,0.0435,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0077,dopamine,0.0,redox_metabolite,mapped,1.0,0.0
HCC,motif_L3_0081,ergothioneine,0.0,redox_metabolite,mapped,1.0,0.0
HCC,motif_L3_0082,ester,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0084,fe–o-o,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0085,fe–o2,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0086,fe–o–o,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0088,galactosamine,0.0435,glycan_carbohydrate,mapped,1.0,0.0435
HCC,motif_L3_0090,galactose,0.0,glycan_carbohydrate,mapped,1.0,0.0
HCC,motif_L3_0095,glucose,0.0,glycan_carbohydrate,mapped,1.0,0.0
HCC,motif_L3_0097,glutamate,0.0435,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0102,glutathione,0.0,redox_metabolite,mapped,1.0,0.0
HCC,motif_L3_0103,glycine,0.0435,protein_backbone,mapped,1.0,0.0435
HCC,motif_L3_0105,glycogen,0.0,glycan_carbohydrate,mapped,1.0,0.0
HCC,motif_L3_0109,guanine,0.0435,purine_nucleotide,mapped,1.0,0.0435
HCC,motif_L3_0112,histidine,0.0435,aromatic_amino_acid,mapped,1.0,0.0435
HCC,motif_L3_0114,indole,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0116,lipid,0.0435,membrane_lipid,mapped,1.0,0.0435
HCC,motif_L3_0117,lipid_fatty_acid,0.0,membrane_lipid,mapped,1.0,0.0
HCC,motif_L3_0119,lysine,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0121,mannose,0.0,glycan_carbohydrate,mapped,1.0,0.0
HCC,motif_L3_0123,methionine,0.0,aromatic_amino_acid,mapped,1.0,0.0
HCC,motif_L3_0124,methyl,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0125,methylene,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0126,n-h,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0128,nucleic_acid,0.0,purine_nucleotide,mapped,1.0,0.0
HCC,motif_L3_0129,nucleic_acid_dna,0.0,purine_nucleotide,mapped,1.0,0.0
HCC,motif_L3_0130,nucleic_acid_nucleotide,0.0,purine_nucleotide,mapped,1.0,0.0
HCC,motif_L3_0131,nucleic_acid_rna,0.0,purine_nucleotide,mapped,1.0,0.0
HCC,motif_L3_0133,peptide,0.0,protein_backbone,mapped,1.0,0.0
HCC,motif_L3_0134,phenyl,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0139,phenylalanine,0.0435,protein_backbone,mapped,1.0,0.0435
HCC,motif_L3_0140,phosphate,0.0435,nucleic_acid_backbone,mapped,1.0,0.0435
HCC,motif_L3_0143,phosphatidylinositol,0.0,membrane_lipid,mapped,1.0,0.0
HCC,motif_L3_0144,po2-,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0149,proline,0.0435,protein_backbone,mapped,1.0,0.0435
HCC,motif_L3_0150,protein,0.0,protein_backbone,mapped,1.0,0.0
HCC,motif_L3_0151,purine_metabolite,0.0,purine_nucleotide,mapped,1.0,0.0
HCC,motif_L3_0152,pyr_breathe,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0153,pyrimidine,0.0,pyrimidine_nucleotide,mapped,1.0,0.0
HCC,motif_L3_0154,pyrrole,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0156,ribose,0.0,glycan_carbohydrate,mapped,1.0,0.0
HCC,motif_L3_0157,ring,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0159,serine,0.0435,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0160,serotonin,0.0,redox_metabolite,mapped,1.0,0.0
HCC,motif_L3_0164,thymine,0.0435,pyrimidine_nucleotide,mapped,1.0,0.0435
HCC,motif_L3_0165,triple_bond,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0170,tryptophan,0.0435,aromatic_amino_acid,mapped,1.0,0.0435
HCC,motif_L3_0174,tyrosine,0.0435,aromatic_amino_acid,mapped,1.0,0.0435
HCC,motif_L3_0175,unresolved,0.0,UNMAPPED,unmapped,0.0,0.0
HCC,motif_L3_0177,uracil,0.0435,pyrimidine_nucleotide,mapped,1.0,0.0435
HCC,motif_L3_0180,uric_acid,0.0435,redox_metabolite,mapped,1.0,0.0435
HCC,motif_L3_0181,valine,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0006,adenine,0.0667,purine_nucleotide,mapped,1.0,0.0667
NAFLD_NASH,motif_L3_0007,alanine,0.0,protein_backbone,mapped,1.0,0.0
NAFLD_NASH,motif_L3_0008,amide,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0009,amide_i,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0011,amine,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0012,amino_acid,0.0,aromatic_amino_acid,mapped,1.0,0.0
NAFLD_NASH,motif_L3_0016,amp_(nucleotide),0.0667,purine_nucleotide,mapped,1.0,0.0667
NAFLD_NASH,motif_L3_0018,arginine,0.0667,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0019,aromatic_ring,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0021,backbone,0.0,protein_backbone,mapped,1.0,0.0
NAFLD_NASH,motif_L3_0022,benzene,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0023,bilirubin,0.0,redox_metabolite,mapped,1.0,0.0
NAFLD_NASH,motif_L3_0026,c-c,0.0667,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0027,c-h,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0028,c-n,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0029,c-o,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0030,c-s,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0031,c4=o,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0032,c4c3,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0033,c=c,0.0667,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0034,c_=_c,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0035,ca_=_cb,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0037,carbohydrate,0.0,glycan_carbohydrate,mapped,1.0,0.0
NAFLD_NASH,motif_L3_0038,carbonyl,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0039,carboxyl,0.0,UNMAPPED,unmapped,0.0,0.0
NAFLD_NASH,motif_L3_0042,carotenoid,0.0,membrane_lipid,mapped,1.0,0.0
