motif_subfamily,unmapped_count
amide,1
amide_i,1
amine,1
arginine,1
aromatic_ring,1
benzene,1
c-c,1
c-h,1
c-n,1
c-o,1
c-s,1
c4=o,1
c4c3,1
c=c,1
c_=_c,1
ca_=_cb,1
carbonyl,1
carboxyl,1
cc,1
ch_2,1
citrate,1
cmh,1
coo-,1
cooh,1
creatinine,1
cysteine,1
cαcm,1
cβ-methyl,1
cβcacb,1
c−c,1
disulfide,1
ester,1
fe–o-o,1
fe–o2,1
fe–o–o,1
glutamate,1
indole,1
lysine,1
methyl,1
methylene,1
n-h,1
phenyl,1
po2-,1
pyr_breathe,1
pyrrole,1
ring,1
serine,1
triple_bond,1
unresolved,1
valine,1
