condition,ontology_class
DILI; hepatotoxicity,unknown_or_misc
DILI_hepatotoxicity,biological_condition
HCC,biological_condition
NAFLD_NASH,biological_condition
T2D,unknown_or_misc
T2D; obesity,unknown_or_misc
acetaminophen_induced_hepatotoxicity,unknown_or_misc
acute_MI,unknown_or_misc
albumin_detection,context_or_task
bacterial_identification,biological_condition
bacterial_infection,biological_condition
bilirubin_detection,context_or_task
breast_cancer,biological_condition
cancer_EV,unknown_or_misc
cancer_exosome_diagnosis_context,context_or_task
cancer_stem_cell,biological_condition
cholangiocarcinoma,biological_condition
cholangiocarcinoma; HCC,unknown_or_misc
chronic_kidney_disease,biological_condition
covid19,biological_condition
creatinine_detection,context_or_task
crohns_disease,unknown_or_misc
depression,biological_condition
depression; MCI,unknown_or_misc
diabetic_nephropathy,biological_condition
drug_monitoring,context_or_task
endometrial_cancer,unknown_or_misc
environmental_toxicology,context_or_task
fecal_analysis,context_or_task
fibrosis,biological_condition
glucose_monitoring,context_or_task
glycan_analysis,context_or_task
healthy_control,healthy_or_control
hepatic_ischemia,biological_condition
hepatitis,biological_condition
leukemia,biological_condition
liver_cancer_unspecified,biological_condition
lung_cancer,biological_condition
lung_tumor,biological_condition
metabolite_profiling,context_or_task
miRNA_biomarker,context_or_task
multicancer,unknown_or_misc
multicancer_exosome_diagnosis,context_or_task
multiclass_ev_ml_cancer_context,context_or_task
oral_cancer,biological_condition
ovarian_cancer,biological_condition
pathogen_detection,unknown_or_misc
pleural_effusion_malignant,unknown_or_misc
primary_sjogrens_syndrome,biological_condition
prostate_cancer,biological_condition
reference_biomolecule,method_or_review
reference_handbook,method_or_review
reference_method,method_or_review
renal_cell_carcinoma,unknown_or_misc
review_or_method,method_or_review
serotonin,context_or_task
sjogrens_syndrome; diabetic_nephropathy,unknown_or_misc
type_2_diabetes_subtype_context,context_or_task
untreated_control,healthy_or_control
