condition,motif_L3_0006,motif_L3_0007,motif_L3_0008,motif_L3_0009,motif_L3_0011,motif_L3_0012,motif_L3_0016,motif_L3_0018,motif_L3_0019,motif_L3_0021,motif_L3_0022,motif_L3_0023,motif_L3_0026,motif_L3_0027,motif_L3_0028,motif_L3_0029,motif_L3_0030,motif_L3_0031,motif_L3_0032,motif_L3_0033,motif_L3_0034,motif_L3_0035,motif_L3_0037,motif_L3_0038,motif_L3_0039,motif_L3_0042,motif_L3_0044,motif_L3_0045,motif_L3_0046,motif_L3_0049,motif_L3_0051,motif_L3_0052,motif_L3_0056,motif_L3_0057,motif_L3_0058,motif_L3_0059,motif_L3_0062,motif_L3_0066,motif_L3_0067,motif_L3_0068,motif_L3_0069,motif_L3_0071,motif_L3_0074,motif_L3_0077,motif_L3_0081,motif_L3_0082,motif_L3_0084,motif_L3_0085,motif_L3_0086,motif_L3_0088,motif_L3_0090,motif_L3_0095,motif_L3_0097,motif_L3_0102,motif_L3_0103,motif_L3_0105,motif_L3_0109,motif_L3_0112,motif_L3_0114,motif_L3_0116,motif_L3_0117,motif_L3_0119,motif_L3_0121,motif_L3_0123,motif_L3_0124,motif_L3_0125,motif_L3_0126,motif_L3_0128,motif_L3_0129,motif_L3_0130,motif_L3_0131,motif_L3_0133,motif_L3_0134,motif_L3_0139,motif_L3_0140,motif_L3_0143,motif_L3_0144,motif_L3_0149,motif_L3_0150,motif_L3_0151,motif_L3_0152,motif_L3_0153,motif_L3_0154,motif_L3_0156,motif_L3_0157,motif_L3_0159,motif_L3_0160,motif_L3_0164,motif_L3_0165,motif_L3_0170,motif_L3_0174,motif_L3_0175,motif_L3_0177,motif_L3_0180,motif_L3_0181
DILI_hepatotoxicity,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
HCC,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0
NAFLD_NASH,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
acetaminophen_induced_hepatotoxicity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
albumin_detection,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
bacterial_identification,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
bacterial_infection,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bilirubin_detection,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
breast_cancer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cancer_exosome_diagnosis_context,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
