condition,neighbor_1,sim_1,neighbor_2,sim_2,neighbor_3,sim_3
DILI_hepatotoxicity,environmental_toxicology,0.4714,glucose_monitoring,0.4082,serotonin,0.4082
HCC,NAFLD_NASH,0.4307,ovarian_cancer,0.4256,healthy_control,0.3934
NAFLD_NASH,liver_cancer_unspecified,0.4714,cancer_stem_cell,0.4472,HCC,0.4307
acetaminophen_induced_hepatotoxicity,untreated_control,1.0,multiclass_ev_ml_cancer_context,0.5164,cancer_exosome_diagnosis_context,0.4472
albumin_detection,cancer_stem_cell,0.5092,liver_cancer_unspecified,0.483,covid19,0.4781
bacterial_identification,cancer_stem_cell,0.5855,liver_cancer_unspecified,0.4629,reference_method,0.425
bacterial_infection,fibrosis,0.4082,cholangiocarcinoma,0.3203,NAFLD_NASH,0.2981
bilirubin_detection,glucose_monitoring,0.4472,serotonin,0.4472,type_2_diabetes_subtype_context,0.4472
breast_cancer,lung_tumor,0.4364,glucose_monitoring,0.378,type_2_diabetes_subtype_context,0.378
cancer_exosome_diagnosis_context,multicancer_exosome_diagnosis,1.0,multiclass_ev_ml_cancer_context,0.5774,acetaminophen_induced_hepatotoxicity,0.4472
cancer_stem_cell,hepatitis,0.6299,ovarian_cancer,0.6285,liver_cancer_unspecified,0.5973
cholangiocarcinoma,healthy_control,0.5708,covid19,0.4385,cancer_stem_cell,0.427
covid19,ovarian_cancer,0.5164,albumin_detection,0.4781,review_or_method,0.4767
creatinine_detection,DILI_hepatotoxicity,0.2887,reference_method,0.254,prostate_cancer,0.2357
depression,DILI_hepatotoxicity,0.0,HCC,0.0,NAFLD_NASH,0.0
diabetic_nephropathy,primary_sjogrens_syndrome,1.0,healthy_control,0.5688,ovarian_cancer,0.4924
environmental_toxicology,DILI_hepatotoxicity,0.4714,prostate_cancer,0.2887,cancer_stem_cell,0.2778
fibrosis,bacterial_infection,0.4082,bilirubin_detection,0.3162,liver_cancer_unspecified,0.2582
glucose_monitoring,type_2_diabetes_subtype_context,1.0,miRNA_biomarker,0.7071,serotonin,0.5
healthy_control,ovarian_cancer,0.8402,hepatitis,0.5988,cancer_stem_cell,0.5941
hepatitis,cancer_stem_cell,0.6299,ovarian_cancer,0.6236,healthy_control,0.5988
leukemia,NAFLD_NASH,0.4216,albumin_detection,0.3086,covid19,0.2582
liver_cancer_unspecified,cancer_stem_cell,0.5973,reference_method,0.5247,ovarian_cancer,0.5217
lung_cancer,healthy_control,0.4537,multiclass_ev_ml_cancer_context,0.4364,cholangiocarcinoma,0.4193
lung_tumor,breast_cancer,0.4364,covid19,0.3651,ovarian_cancer,0.3536
miRNA_biomarker,glucose_monitoring,0.7071,type_2_diabetes_subtype_context,0.7071,serotonin,0.3536
multicancer_exosome_diagnosis,cancer_exosome_diagnosis_context,1.0,multiclass_ev_ml_cancer_context,0.5774,acetaminophen_induced_hepatotoxicity,0.4472
multiclass_ev_ml_cancer_context,cancer_exosome_diagnosis_context,0.5774,multicancer_exosome_diagnosis,0.5774,acetaminophen_induced_hepatotoxicity,0.5164
oral_cancer,acetaminophen_induced_hepatotoxicity,0.4472,untreated_control,0.4472,hepatitis,0.4364
ovarian_cancer,healthy_control,0.8402,cancer_stem_cell,0.6285,hepatitis,0.6236
primary_sjogrens_syndrome,diabetic_nephropathy,1.0,healthy_control,0.5688,ovarian_cancer,0.4924
prostate_cancer,reference_method,0.4191,bacterial_identification,0.3944,liver_cancer_unspecified,0.3651
reference_method,liver_cancer_unspecified,0.5247,cancer_stem_cell,0.5185,healthy_control,0.462
review_or_method,ovarian_cancer,0.5539,healthy_control,0.5171,covid19,0.4767
serotonin,glucose_monitoring,0.5,type_2_diabetes_subtype_context,0.5,bilirubin_detection,0.4472
type_2_diabetes_subtype_context,glucose_monitoring,1.0,miRNA_biomarker,0.7071,serotonin,0.5
untreated_control,acetaminophen_induced_hepatotoxicity,1.0,multiclass_ev_ml_cancer_context,0.5164,cancer_exosome_diagnosis_context,0.4472
