condition,DILI_hepatotoxicity,HCC,NAFLD_NASH,acetaminophen_induced_hepatotoxicity,albumin_detection,bacterial_identification,bacterial_infection,bilirubin_detection,breast_cancer,cancer_exosome_diagnosis_context,cancer_stem_cell,cholangiocarcinoma,covid19,creatinine_detection,depression,diabetic_nephropathy,environmental_toxicology,fibrosis,glucose_monitoring,healthy_control,hepatitis,leukemia,liver_cancer_unspecified,lung_cancer,lung_tumor,miRNA_biomarker,multicancer_exosome_diagnosis,multiclass_ev_ml_cancer_context,oral_cancer,ovarian_cancer,primary_sjogrens_syndrome,prostate_cancer,reference_method,review_or_method,serotonin,type_2_diabetes_subtype_context,untreated_control
DILI_hepatotoxicity,1.0,0.0851,0.1054,0.0,0.0,0.276,0.0,0.3651,0.1543,0.0,0.2357,0.1132,0.2582,0.2887,0.0,0.0,0.4714,0.0,0.4082,0.07,0.0891,0.0,0.1491,0.0,0.0,0.2887,0.0,0.2357,0.0,0.0833,0.0,0.2722,0.3666,0.1231,0.4082,0.4082,0.0
HCC,0.0851,1.0,0.4307,0.1865,0.3152,0.3525,0.2408,0.0933,0.1576,0.0,0.3612,0.2892,0.3297,0.1474,0.0,0.3772,0.1806,0.1474,0.0,0.3934,0.364,0.1703,0.3807,0.0788,0.2408,0.0,0.0,0.1204,0.3128,0.4256,0.3772,0.278,0.3745,0.3772,0.0,0.0,0.1865
NAFLD_NASH,0.1054,0.4307,1.0,0.3464,0.3904,0.2182,0.2981,0.1155,0.0,0.2582,0.4472,0.3581,0.3266,0.0,0.0,0.1557,0.1491,0.1826,0.0,0.3542,0.2817,0.4216,0.4714,0.0976,0.0,0.0,0.2582,0.1491,0.2582,0.3689,0.1557,0.1721,0.3246,0.2335,0.0,0.0,0.3464
acetaminophen_induced_hepatotoxicity,0.0,0.1865,0.3464,1.0,0.169,0.2268,0.2582,0.0,0.169,0.4472,0.3443,0.2481,0.1414,0.0,0.0,0.1348,0.0,0.0,0.0,0.3068,0.3904,0.0,0.3266,0.3381,0.2582,0.0,0.4472,0.5164,0.4472,0.3651,0.1348,0.1491,0.3213,0.2697,0.0,0.0,1.0
albumin_detection,0.0,0.3152,0.3904,0.169,1.0,0.3194,0.0,0.0,0.1429,0.378,0.5092,0.4193,0.4781,0.0,0.0,0.3419,0.0,0.0,0.0,0.3889,0.3299,0.3086,0.483,0.2857,0.0,0.0,0.378,0.2182,0.189,0.4629,0.3419,0.126,0.2715,0.4558,0.0,0.0,0.169
bacterial_identification,0.276,0.3525,0.2182,0.2268,0.3194,1.0,0.0,0.1512,0.2556,0.169,0.5855,0.2344,0.3207,0.1195,0.0,0.2548,0.244,0.0,0.169,0.3479,0.4057,0.069,0.4629,0.1917,0.2928,0.239,0.169,0.1952,0.2535,0.414,0.2548,0.3944,0.425,0.4077,0.2535,0.169,0.2268
bacterial_infection,0.0,0.2408,0.2981,0.2582,0.0,0.0,1.0,0.2582,0.2182,0.0,0.1111,0.3203,0.0,0.0,0.0,0.0,0.1667,0.4082,0.0,0.099,0.0,0.0,0.2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037,0.0,0.0,0.0,0.2582
bilirubin_detection,0.3651,0.0933,0.1155,0.0,0.0,0.1512,0.2582,1.0,0.169,0.0,0.2582,0.2481,0.1414,0.0,0.0,0.0,0.1291,0.3162,0.4472,0.0767,0.0976,0.0,0.1633,0.0,0.0,0.3162,0.0,0.0,0.0,0.0913,0.0,0.0,0.241,0.1348,0.4472,0.4472,0.0
breast_cancer,0.1543,0.1576,0.0,0.169,0.1429,0.2556,0.2182,0.169,1.0,0.0,0.291,0.3145,0.3586,0.0,0.0,0.114,0.2182,0.0,0.378,0.2593,0.165,0.0,0.276,0.1429,0.4364,0.2673,0.0,0.2182,0.189,0.2315,0.114,0.0,0.2037,0.3419,0.189,0.378,0.169
cancer_exosome_diagnosis_context,0.0,0.0,0.2582,0.4472,0.378,0.169,0.0,0.0,0.0,1.0,0.1925,0.2774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1715,0.2182,0.0,0.1826,0.378,0.0,0.0,1.0,0.5774,0.0,0.2041,0.0,0.3333,0.1796,0.3015,0.0,0.0,0.4472
