path,phase,role,size_bytes,size_mb,modified,kind
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/figures/cluster_cross_class_alignment.png,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_figures,82294,0.082,2026-04-02 16:05,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/figures/cluster_radar_absolute.png,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_figures,312996,0.313,2026-04-02 16:05,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/figures/cluster_radar_delta.png,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_figures,317193,0.317,2026-04-02 16:05,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/figures/cluster_radar_family.png,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_figures,282458,0.282,2026-04-02 16:05,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/figures/pca_bsv_clusters.png,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_figures,160721,0.161,2026-04-02 16:05,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/figures/umap_bsv_clusters.png,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_figures,164244,0.164,2026-04-02 16:05,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/report/._GAIRAv3_Pilot2_1_latent_state_interpretation.pdf,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_report,4096,0.004,2026-04-02 16:25,pdf
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/report/GAIRAv3_Pilot2_1_latent_state_interpretation.md,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_report,3000,0.003,2026-04-02 16:05,md
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/report/GAIRAv3_Pilot2_1_latent_state_interpretation.pdf,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_report,610614,0.611,2026-04-02 16:05,pdf
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/cluster_cross_class_alignment.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,224,0.0,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/cluster_delta_bsv.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,620,0.001,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/cluster_family_composition.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,1469,0.001,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/cluster_mean_bsv.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,602,0.001,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/cluster_metrics.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,468,0.0,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/cluster_selection_summary.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,818,0.001,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/cluster_stability_metrics.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,1422,0.001,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/cluster_variance_bsv.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,637,0.001,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_1_latent_state_interpretation/tables/latent_cluster_assignments.csv,autoresearch::pilot2_1_latent_state_interpretation,autoresearch_tables,6126,0.006,2026-04-02 16:05,csv
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_2_diabetes_temporary_axis_transfer/figures/diabetes_broad_class_extended_radars.png,autoresearch::pilot2_2_diabetes_temporary_axis_transfer,autoresearch_figures,171865,0.172,2026-04-03 09:04,png
/Volumes/SSD_Rad/GAIRA_DATA/processed/gaira_autoresearch/gaira_autoresearch_v1/pilot2_2_diabetes_temporary_axis_transfer/figures/diabetes_broad_label_axes_only_pca.png,autoresearch::pilot2_2_diabetes_temporary_axis_transfer,autoresearch_figures,95963,0.096,2026-04-03 09:04,png
