axis,axis_label,n_OWD,n_NWD,mean_OWD,mean_NWD,delta_OWD_minus_NWD,cohens_d,cliffs_delta,mannwhitney_U,p_value,q_value_fdr_bh
G09_sterol_neutral_lipid,Sterol / neutral lipid,39,24,0.027674162365949516,0.01212493662733554,0.015549225738613975,2.4498985208033783,0.9102564102564102,894.0,1.7195740842234327e-09,1.891531492645776e-08
G11_metabolic_small_molecule,Metabolic small molecule,39,24,0.03478107431687678,0.04417648285416781,-0.009395408537291032,-1.4491132588218685,-0.7072649572649573,137.0,2.9008298929730925e-06,1.595456441135201e-05
G10_sulfur_thiol_redox,Sulfur / thiol / redox,39,24,0.10840130804813881,0.07281154505817498,0.03558976298996383,1.438742562369858,0.6538461538461539,774.0,1.533066760878743e-05,5.621244789888724e-05
G03_pyrimidine_nucleotide,Pyrimidine nucleotide,39,24,0.011120232527689506,0.019028684684637948,-0.007908452156948442,-1.4061874587266299,-0.6282051282051282,174.0,3.2665407888541803e-05,7.186389735479197e-05
G07_aromatic_residue,Aromatic residue,39,24,0.035992034335133434,0.02352808974197836,0.012463944593155075,1.3225874083393188,0.6346153846153846,765.0,2.710693590319033e-05,7.186389735479197e-05
G05_glycan_carbohydrate,Glycan / carbohydrate,39,24,0.041755850624643154,0.04505437316390124,-0.0032985225392580877,-0.21431572229266396,-0.20512820512820512,372.0,0.17648547982979268,0.284520891980126
G08_lipid_acyl_membrane,Lipid acyl / membrane,39,24,0.02165701524796407,0.02261588428862252,-0.0009588690406584499,-0.2766761765269974,-0.202991452991453,373.0,0.18105874944189837,0.284520891980126
G04_nucleic_acid_phosphate,Nucleic acid phosphate,39,24,0.014905472420789295,0.012442374645401768,0.0024630977753875277,0.2760048839880709,0.14102564102564102,534.0,0.35389962882332626,0.4600163686836259
G06_protein_peptide_backbone,Protein peptide backbone,39,24,0.036480025345501814,0.034179786681363906,0.0023002386641379075,0.26694793386637305,0.1346153846153846,531.0,0.37637702892296665,0.4600163686836259
G01_purine_nucleotide,Purine nucleotide,39,24,0.011534401491479215,0.010492834151980795,0.0010415673394984191,0.304632098160423,0.0811965811965812,506.0,0.5955886644969063,0.655147530946597
G02_purine_metabolite,Purine metabolite,39,24,0.02968477563016129,0.029876363048772624,-0.0001915874186113331,-0.03288692442669919,0.04487179487179487,489.0,0.7717045533628522,0.7717045533628522
