axis,axis_label,n_White Strong-D,n_White Impact,n_Asian Strong-D,n_Asian Impact,mean_White Strong-D,mean_White Impact,mean_Asian Strong-D,mean_Asian Impact,kruskal_H,p_value,q_value_fdr_bh
G09_sterol_neutral_lipid,Sterol / neutral lipid,5,20,17,8,0.017489967365272467,0.02835174848313183,0.0105724165029077,0.019855424489747385,34.63114186851209,1.457653200705977e-07,1.6034185207765749e-06
G07_aromatic_residue,Aromatic residue,5,20,17,8,0.02149930366363751,0.038988320970430104,0.02400247106230456,0.02879794152208223,19.250235294117658,0.00024268413603841007,0.0008267381657348478
G10_sulfur_thiol_redox,Sulfur / thiol / redox,5,20,17,8,0.07225724732565204,0.11614012045637798,0.07290374589910542,0.08396843286736044,18.800505190311384,0.0003006320602672174,0.0008267381657348478
G11_metabolic_small_molecule,Metabolic small molecule,5,20,17,8,0.044334230717804915,0.0342907848759405,0.04436866413642405,0.03796278701890222,18.886782006920384,0.00028853802008471695,0.0008267381657348478
G03_pyrimidine_nucleotide,Pyrimidine nucleotide,5,20,17,8,0.022567022308230204,0.010673591500633326,0.017840686238403323,0.012725404426194058,15.112871972318345,0.0017226888685048696,0.0037899155107107133
G05_glycan_carbohydrate,Glycan / carbohydrate,5,20,17,8,0.04699248378298122,0.03815840949732212,0.04403702249358256,0.05022297744512845,4.02613840830449,0.2586554517636924,0.47420166156676946
G08_lipid_acyl_membrane,Lipid acyl / membrane,5,20,17,8,0.020556351877563533,0.0219786571113225,0.02295701370929557,0.02202852749693246,3.5004013840830055,0.32071006636756855,0.5039729614347506
G04_nucleic_acid_phosphate,Nucleic acid phosphate,5,20,17,8,0.017140666749603316,0.01459958781483733,0.010976653664828182,0.01472917561822532,3.1508650519031107,0.3689445400200132,0.5072987425275182
G06_protein_peptide_backbone,Protein peptide backbone,5,20,17,8,0.03410969859659602,0.03862608202195293,0.034518950967720355,0.03544058082580074,2.1381937716263053,0.5442246305030252,0.6651634372814752
G01_purine_nucleotide,Purine nucleotide,5,20,17,8,0.010779627236068333,0.011912267115446299,0.01027093160335932,0.011691193403672789,0.8368442906574387,0.8406355673371807,0.8935812211442156
G02_purine_metabolite,Purine metabolite,5,20,17,8,0.03062088149376077,0.030408889469825357,0.029804458387444773,0.030295737605681987,0.6124290657439246,0.8935812211442156,0.8935812211442156
