molecule_id,molecule_name,biochemical_class,primary_axis,d_median,d_lo,d_hi,p_value,n_owd,n_nwd,owd_mean_gscore,nwd_mean_gscore,q_value_fdr_bh,confidence
lactate,Lactate,Small-molecule metabolism,G11_metabolic_small_molecule,-1.704444924712028,-2.527304707827685,-1.1050240177130075,6.526710513160833e-07,39,24,0.02782933749752032,0.036980600661544766,2.393127188158972e-06,High
tyrosine,Tyrosine,Protein,G07_aromatic_residue,-0.47226718816467517,-1.0731781463810275,0.044541946230742896,0.09630605138171812,39,24,0.041401869631925485,0.046852257507850104,0.11770739613321103,Medium
uric_acid,Uric acid,Nucleic acid,G02_purine_metabolite,-0.262009003317392,-0.8965468828273844,0.2577529324906059,0.2665481882155547,39,24,0.017880401613752206,0.01945964312050438,0.2665481882155547,Low
oleic_acid,Oleic acid,Membrane lipid,G08_lipid_acyl_membrane,0.17606981028070912,-0.2875478330192383,0.7049834483972134,0.2002328696176212,39,24,0.02575595634853116,0.024422218340338458,0.22025615657938333,Low
adenine,Adenine,Nucleic acid,G01_purine_nucleotide,0.4843614391814676,0.0674118450775307,0.8463322203723338,0.029657059335424608,39,24,0.0036999711951259994,0.001073683414356975,0.040778456586208836,Low
ergothioneine,Ergothioneine,Redox,G10_sulfur_thiol_redox,0.7189220380343203,0.2646493975412811,1.3843182429215248,0.0008587156037379154,39,24,0.04759599413387212,0.03974153154410109,0.0013494102344452955,Medium
hypoxanthine,Hypoxanthine,Nucleic acid,G02_purine_metabolite,0.9624218269203154,0.49738204557905363,1.5158742191752743,0.000699552739119355,39,24,0.018963090976468644,0.013670759530860471,0.001282513355052151,Low
cholesterol,Cholesterol,Sterol / neutral lipid,G09_sterol_neutral_lipid,1.1240116917337806,0.6197495177301247,1.7605314163453711,0.00019190771254358035,39,24,0.03235526858058716,0.022320923462629743,0.0004221969675958768,High
phenylalanine,Phenylalanine,Protein,G07_aromatic_residue,1.4835834044138543,0.9529835053544687,2.173188953762882,1.6599580780697152e-06,39,24,0.022278773748047792,0.011225918574161173,4.564884714691717e-06,Medium
glutathione,Glutathione,Redox,G10_sulfur_thiol_redox,1.7637558886529208,1.195051525648517,2.714409397060459,3.112954752166611e-07,39,24,0.03513058503597809,0.02134838130234182,1.712125113691636e-06,High
glucose,Glucose,Glycan,G05_glycan_carbohydrate,2.2094280791185916,1.5395600360928134,3.2474663164783446,1.3265037457151763e-08,39,24,0.046026585287688,0.02885797065816924,1.459154120286694e-07,High
