canonical_analyte,broad_family,subclass_primary,subclass_secondary,expected_mss_primary,expected_mss_secondary,expected_theme_primary,expected_theme_secondary,assignment_source,confidence,notes,min_evidence_tier,subclass_exploratory,subclass_n
glutamate,amino_acid,acidic_amino_acid,aliphatic_amino_acid,protein_amide_backbone,carboxylate_organic_acid,protein_peptide,organic_acid_metabolism,molecular chemistry,medium,dicarboxylic amino acid (multi-label),motif,True,1
alanine,amino_acid,aliphatic_amino_acid,,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,amide backbone dominant,motif,False,8
glycine,amino_acid,aliphatic_amino_acid,,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,amide backbone dominant,motif,False,8
hydroxyproline,amino_acid,aliphatic_amino_acid,,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,amide backbone dominant,motif,False,8
isoleucine,amino_acid,aliphatic_amino_acid,,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,amide backbone dominant,motif,False,8
leucine,amino_acid,aliphatic_amino_acid,,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,amide backbone dominant,motif,False,8
proline,amino_acid,aliphatic_amino_acid,,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,amide backbone dominant,motif,False,8
serine,amino_acid,aliphatic_amino_acid,,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,amide backbone dominant,motif,False,8
valine,amino_acid,aliphatic_amino_acid,,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,amide backbone dominant,motif,False,8
histidine,amino_acid,aromatic_amino_acid,,aromatic_ring_residue,protein_amide_backbone,aromatic_amino_acid,protein_peptide,molecular chemistry,medium,imidazole (aromatic N-heterocycle),motif,False,4
phenylalanine,amino_acid,aromatic_amino_acid,,aromatic_ring_residue,protein_amide_backbone,aromatic_amino_acid,protein_peptide,molecular chemistry,high,benzyl ring,motif,False,4
tryptophan,amino_acid,aromatic_amino_acid,,aromatic_ring_residue,protein_amide_backbone,aromatic_amino_acid,protein_peptide,molecular chemistry,high,indole ring,motif,False,4
tyrosine,amino_acid,aromatic_amino_acid,,aromatic_ring_residue,protein_amide_backbone,aromatic_amino_acid,protein_peptide,molecular chemistry,high,phenol ring,motif,False,4
arginine,amino_acid,basic_amino_acid,aliphatic_amino_acid,protein_amide_backbone,,protein_peptide,,molecular chemistry,medium,guanidino side chain,motif,True,1
cysteine,amino_acid,sulfur_amino_acid,,sulfur_heterocycle_thione,protein_amide_backbone,sulfur_antioxidant,protein_peptide,molecular chemistry,medium,thiol; sulfur MSS is approximate (thione-defined),motif,False,2
methionine,amino_acid,sulfur_amino_acid,,sulfur_heterocycle_thione,protein_amide_backbone,sulfur_antioxidant,protein_peptide,molecular chemistry,medium,thioether; sulfur MSS approximate,motif,False,2
riboflavin,cofactor,flavin,,flavin_redox_cofactor,,redox_broad,,molecular chemistry,high,isoalloxazine flavin; EXPLORATORY singleton,motif,True,1
acetyl-coa,cofactor,purine_cofactor,thiol_cofactor,purine_ring_breathing,sulfur_heterocycle_thione,nucleic_purine,sulfur_antioxidant,molecular chemistry,high,contains adenine + thioester; purine theme is LEGITIMATE chemistry,motif,False,2
coenzyme a,cofactor,purine_cofactor,thiol_cofactor,purine_ring_breathing,sulfur_heterocycle_thione,nucleic_purine,sulfur_antioxidant,molecular chemistry,high,contains adenine + free thiol; purine theme legitimate,motif,False,2
glutathione,cofactor,thiol_peptide,,sulfur_heterocycle_thione,protein_amide_backbone,sulfur_antioxidant,protein_peptide,molecular chemistry,medium,gamma-glutamyl-cys-gly thiol,motif,True,1
ergothioneine,cofactor,thione,,sulfur_heterocycle_thione,,sulfur_antioxidant,,molecular chemistry,high,histidine-derived thione — strong MSS match,motif,True,1
