analyte,broad_family,subclass,subclass_exploratory,latent_identity_recovered,mss_identity_recovered,theme_identity_recovered,comp_top3_overlap,comp_mass_retained,component_recovered,expected_mss,mss_rank_S,mss_enrich_null,mss_motif_recovered,mss_status,subclass_loao_recovered,subclass_classifiable,family_loao_recovered,expected_theme,expected_theme_rank_S,theme_present_top3,theme_enrich_null,theme_recovered,mss_present_top3,nn_same_subclass,nn_same_family,nn_same_theme,nn_nearest_raman,perturbation_status,serum_tier,matrix_recovered,delta_purine,ood_sers,confidence_sers,highest_recovered_level,evidence_profile
acetoacetate,organic_acid,carboxylic_acid,False,False,False,False,0.0,0.108,False,carboxylate_organic_acid,1.0,-0.0027,False,motif present but nonspecific,True,True,True,organic_acid_metabolism,3,True,-0.0095,False,True,False,False,False,phosphatidylinositol,not tested,moderate,False,0.0383,0.2081,0.2019,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
acetyl-coa,cofactor,purine_cofactor,False,False,False,False,0.0,0.147,False,sulfur_heterocycle_thione,2.0,-0.0153,False,motif present but nonspecific,False,True,True,nucleic_purine,1,True,-0.0558,False,True,False,False,False,phosphatidylinositol,not tested,weak,False,-0.0364,0.1539,0.1938,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
adenine,purine,aminopurine,True,False,False,False,0.333,0.127,False,purine_ring_breathing,4.0,0.0009,False,motif not recovered,False,False,False,nucleic_purine,1,True,-0.0106,False,False,False,False,False,phosphatidylinositol,dose-response,strong,True,-0.1157,0.1388,0.2195,perturbation-only,expected motif/theme PRESENT (top-3) but not specific — common-background dominated; perturbation validated; matrix recovered
alanine,amino_acid,aliphatic_amino_acid,False,False,False,False,0.0,0.099,False,protein_amide_backbone,10.0,-0.0122,False,motif not recovered,False,True,False,protein_peptide,4,False,-0.0128,False,False,False,False,False,phosphatidylinositol,not tested,weak,False,0.0645,0.1256,0.1993,none,no specific evidence
albumin,protein,protein,True,False,False,False,0.333,0.125,False,aromatic_ring_residue,7.0,-0.0077,False,motif not recovered,False,False,False,protein_peptide,4,False,-0.0061,False,False,False,False,False,phosphatidylinositol,not tested,strong,True,0.0757,0.1286,0.2398,none,matrix recovered
arginine,amino_acid,basic_amino_acid,True,False,False,False,0.333,0.158,False,protein_amide_backbone,10.0,-0.0036,False,motif not recovered,False,False,False,protein_peptide,4,False,-0.0052,False,False,False,False,False,phosphatidylinositol,not tested,moderate,False,0.1386,0.2065,0.1856,none,no specific evidence
ascorbate,organic_acid,carboxylic_acid,False,False,False,False,0.333,0.132,False,carboxylate_organic_acid,1.0,-0.007,False,motif present but nonspecific,False,True,True,organic_acid_metabolism,3,True,-0.0075,False,True,False,False,False,phosphatidylinositol,not tested,weak,False,0.0798,0.1427,0.2003,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
cholesterol,lipid,sterol,True,False,False,False,0.0,0.152,False,sterol_ring_system,8.0,-0.0208,False,motif not recovered,False,False,False,sterol_membrane,9,False,-0.0054,False,False,False,False,False,phosphate,not tested,weak,False,0.0622,0.3183,0.2197,none,no specific evidence
citrate,organic_acid,carboxylic_acid,False,False,False,False,0.667,0.253,False,carboxylate_organic_acid,1.0,-0.0142,False,motif present but nonspecific,True,True,False,organic_acid_metabolism,3,True,-0.0115,False,True,False,False,False,phosphatidylinositol,not tested,moderate,False,-0.0933,0.1465,0.1899,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
coenzyme a,cofactor,purine_cofactor,False,False,False,False,0.0,0.138,False,sulfur_heterocycle_thione,2.0,-0.015,False,motif present but nonspecific,False,True,True,nucleic_purine,1,True,-0.0441,False,True,False,False,False,phosphatidylinositol,not tested,moderate,False,-0.0229,0.1735,0.1931,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
creatinine,small_nitrogenous,guanidino_small_n,False,True,True,True,0.333,0.228,False,unassigned,,,False,assignment unavailable,False,True,False,organic_acid_metabolism,3,True,-0.0043,False,False,False,False,False,phosphatidylinositol,not tested,weak,False,-0.0662,0.1536,0.1999,exact analyte,exact analyte recovered
cysteine,amino_acid,sulfur_amino_acid,False,False,False,False,0.333,0.221,False,sulfur_heterocycle_thione,2.0,-0.0134,False,motif present but nonspecific,False,True,False,protein_peptide,4,False,-0.0091,False,True,False,False,False,phosphatidylinositol,not tested,moderate,False,-0.1001,0.1228,0.2075,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
ergothioneine,cofactor,thione,True,False,False,False,0.0,0.086,False,sulfur_heterocycle_thione,8.0,-0.0395,False,motif not recovered,False,False,False,sulfur_antioxidant,5,False,0.0135,False,False,False,False,False,cholesterol,dose-response,strong,True,-0.0252,0.307,0.2571,perturbation-only,perturbation validated; matrix recovered
fructose,saccharide,monosaccharide,False,False,False,False,0.0,0.158,False,glycan_co_network,4.0,-0.0008,False,motif not recovered,False,True,False,saccharide_glycan,2,True,-0.0078,False,False,False,False,False,phosphatidylinositol,not tested,moderate,False,0.1196,0.1429,0.1941,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
fructose-6-phosphate,saccharide,phosphorylated_sugar,True,False,False,False,0.0,0.139,False,glycan_co_network,5.0,-0.0037,False,motif not recovered,False,False,False,saccharide_glycan,2,True,-0.0079,False,False,False,False,False,phosphatidylinositol,not tested,weak,False,0.1247,0.1113,0.2071,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
galactose,saccharide,monosaccharide,False,False,False,False,0.333,0.139,False,glycan_co_network,4.0,-0.0018,False,motif not recovered,False,True,False,saccharide_glycan,2,True,-0.0058,False,False,False,False,False,phosphatidylinositol,not tested,moderate,False,0.0381,0.1177,0.2074,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
glucose,saccharide,monosaccharide,False,False,False,False,0.333,0.104,False,glycan_co_network,4.0,-0.0024,False,motif not recovered,False,True,False,saccharide_glycan,2,True,-0.0057,False,False,False,False,False,phosphatidylinositol,not tested,weak,False,0.024,0.124,0.2052,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
glutamate,amino_acid,acidic_amino_acid,True,False,False,False,0.0,0.103,False,carboxylate_organic_acid,2.0,-0.0195,False,motif present but nonspecific,False,False,False,organic_acid_metabolism,3,True,-0.0144,False,True,False,False,False,phosphatidylinositol,not tested,weak,False,0.0577,0.1491,0.2059,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
glutathione,cofactor,thiol_peptide,True,True,False,False,0.667,0.268,True,sulfur_heterocycle_thione,2.0,-0.0063,False,motif present but nonspecific,False,False,True,protein_peptide,4,False,-0.012,False,True,False,False,False,phosphatidylinositol,not tested,moderate,False,0.0419,0.1361,0.2291,exact analyte,exact analyte recovered
glycerol,polyol,polyol,True,False,False,False,0.0,0.11,False,glycan_co_network,6.0,-0.0049,False,motif not recovered,False,False,False,saccharide_glycan,2,True,-0.0091,False,False,False,False,False,phosphatidylinositol,not tested,moderate,False,0.1365,0.096,0.2084,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
glycine,amino_acid,aliphatic_amino_acid,False,False,False,False,0.0,0.125,False,protein_amide_backbone,9.0,-0.0064,False,motif not recovered,False,True,False,protein_peptide,4,False,-0.0068,False,False,False,False,False,phosphatidylinositol,not tested,weak,False,0.1117,0.1254,0.2117,none,no specific evidence
glycogen,polysaccharide,polysaccharide,True,False,False,False,0.333,0.179,False,glycan_co_network,5.0,-0.0053,False,motif not recovered,False,False,False,saccharide_glycan,2,True,-0.0155,False,False,False,False,False,phosphatidylinositol,not tested,moderate,False,0.0454,0.137,0.211,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated
guanine,purine,oxopurine,False,False,False,False,0.333,0.222,False,oxopurine_carbonyl,1.0,0.0497,False,motif present but nonspecific,True,True,True,nucleic_purine,1,True,0.0425,False,True,False,False,False,cysteine,not tested,strong,True,-0.2522,0.159,0.2327,broad presence only (non-specific),expected motif/theme PRESENT (top-3) but not specific — common-background dominated; matrix recovered
