level,tier,n_recovered,denominator,fraction
exact analyte,specific (V4 latent rank-1),7,51,0.137
NMF component,top-3 overlap > null,2,51,0.039
expected MSS motif,present (top-3),19,48,0.396
expected MSS motif,specific (>null & >bg),2,48,0.042
molecular subclass,NN same-subclass retrieval,1,51,0.02
molecular subclass,LOAO centroid (best space),5,36,0.139
broad family,NN same-family retrieval,4,51,0.078
broad family,LOAO centroid (best space),10,48,0.208
broad theme,present (expected top-3),25,51,0.49
broad theme,specific (>null & >bg),1,51,0.02
perturbation,functional (3 analytes),3,51,0.059
matrix (serum),strong tier,9,51,0.176
