analyte,broad_family,rep_pearson,rep_spearman,repro_peaks,peak_snr,var_concentration,blank_snr,n_replicates,detection_confidence,detection_tier,detection_pass,score_rep_pearson,score_rep_spearman,score_peak_snr,score_var_concentration,score_repro_peaks
xanthine,purine,0.9948792887895757,0.9707636208931897,14,159.18205690677246,0.2688784646969573,199.93606405456575,5,0.9948,GOOD,True,0.9949,0.9708,1.0,1.0,1.0
ergothioneine,cofactor,0.9875618742211248,0.943929257144036,13,67.3666194990234,0.2993752991898987,105.97310450432553,5,0.9723,GOOD,True,0.9876,0.9439,0.9174,1.0,1.0
urate,purine,0.9900338966802321,0.9713280866748454,14,67.57434033937739,0.11327299591404838,25.691849599634274,5,0.8942,GOOD,True,0.99,0.9713,0.9181,0.4531,1.0
albumin,protein,0.9086765162329234,0.8578565500590271,9,20.297657870822256,0.25926731854167057,132.13449993055445,5,0.8525,GOOD,True,0.9087,0.8579,0.6642,1.0,0.75
cholesterol,lipid,0.9294281062549412,0.8223429004734875,7,8.29964988198015,0.27217226259496,168.68719032021158,5,0.8057,GOOD,True,0.9294,0.8223,0.4842,1.0,0.5833
guanine,purine,0.8791281082001653,0.7776827920231053,9,7.320716818797191,0.20926190316706703,50.87849630263302,5,0.7659,GOOD,True,0.8791,0.7777,0.4601,0.837,0.75
glutathione,cofactor,0.8472223340013072,0.7855868745604254,7,7.444193568568028,0.20965987503912528,70.64201922761626,5,0.7366,GOOD,True,0.8472,0.7856,0.4633,0.8386,0.5833
urea,small_nitrogenous,0.880003476270716,0.5456971914748847,4,6.571497005777584,0.20742518449952682,141.08290073560508,5,0.6963,GOOD,True,0.88,0.5457,0.4396,0.8297,0.3333
hypoxanthine,purine,0.7875152558935643,0.4905881886108162,5,5.613947890029972,0.21118175142005224,124.47064516274902,5,0.6539,GOOD,True,0.7875,0.4906,0.4102,0.8447,0.4167
acetoacetate,organic_acid,0.7096986888992434,0.6289908320245433,11,12.717858359844689,0.11021126792412941,54.0432126185789,5,0.6538,GOOD,True,0.7097,0.629,0.5686,0.4408,0.9167
stearate,lipid,0.761617386604154,0.7013602747426774,10,5.759100324042699,0.1212984370348969,73.03765241264064,5,0.652,GOOD,True,0.7616,0.7014,0.4149,0.4852,0.8333
tryptophan,amino_acid,0.6658024164310465,0.6461536761295323,11,7.192737608649161,0.14071784325931277,45.934830548314615,5,0.6317,MODERATE,True,0.6658,0.6462,0.4567,0.5629,0.9167
adenine,purine,0.6268539732337693,0.6053373772665185,6,6.897494255149395,0.24708374122254015,67.25659772915893,5,0.6306,MODERATE,True,0.6269,0.6053,0.4487,0.9883,0.5
lactate,organic_acid,0.639338759082828,0.63374356709161,13,8.616807504479018,0.10644998224959035,46.36290877028299,5,0.6132,MODERATE,True,0.6393,0.6337,0.4915,0.4258,1.0
uracil,pyrimidine,0.6324718923732782,0.5929645289524118,13,4.831583653794436,0.1160024273246598,54.86354102870429,5,0.5901,MODERATE,True,0.6325,0.593,0.3829,0.464,1.0
glycine,amino_acid,0.5694916864645895,0.5529034278914193,8,13.29461081832332,0.09748453600828993,46.74490592529031,5,0.5522,MODERATE,True,0.5695,0.5529,0.5776,0.3899,0.6667
riboflavin,cofactor,0.5694935023918364,0.5310646504052017,9,6.912797957225346,0.12669343483449935,47.64301093287782,5,0.5502,MODERATE,True,0.5695,0.5311,0.4492,0.5068,0.75
glycerol,polyol,0.569669779275542,0.535886297611602,9,8.119329487152298,0.10991524814767861,48.73558229696212,5,0.5469,MODERATE,True,0.5697,0.5359,0.48,0.4397,0.75
phosphate,organic_acid,0.49354092106173997,0.4723969881510549,12,10.896649024513687,0.10180059847318976,44.23583841430471,5,0.538,MODERATE,True,0.4935,0.4724,0.5377,0.4072,1.0
acetyl-coa,cofactor,0.5917211172518745,0.5499087098670549,10,4.458809384679844,0.09459545483611123,47.629736789455855,5,0.5351,MODERATE,True,0.5917,0.5499,0.3685,0.3784,0.8333
ascorbate,organic_acid,0.509790811590672,0.49511451195065276,8,8.526359500365569,0.10388840258803261,46.90656882823443,5,0.5058,MODERATE,True,0.5098,0.4951,0.4895,0.4156,0.6667
glutamate,amino_acid,0.5134721407562624,0.48968123260432206,8,8.754474808057687,0.0951567429476089,41.92457740494173,5,0.5027,MODERATE,True,0.5135,0.4897,0.4946,0.3806,0.6667
phosphatidylinositol,lipid,0.5182316288070379,0.49670630467800975,8,8.235783282628768,0.08963675810015492,49.66871917704964,5,0.4999,POOR,False,0.5182,0.4967,0.4827,0.3585,0.6667
leucine,amino_acid,0.5701609226090258,0.541908290178919,5,6.279252929632126,0.09042539255074868,45.03846219616748,5,0.4929,POOR,False,0.5702,0.5419,0.431,0.3617,0.4167
glycogen,polysaccharide,0.47183134464161897,0.4871566010303142,5,3.5233225611725167,0.18904654035538274,45.4203952659499,5,0.4817,POOR,False,0.4718,0.4872,0.3277,0.7562,0.4167
citrate,organic_acid,0.5189540968187235,0.49965950449802243,5,8.225332876627771,0.09733932398782623,44.173039205767886,5,0.4801,POOR,False,0.519,0.4997,0.4825,0.3894,0.4167
mannose,saccharide,0.5002915355613291,0.47944127327103037,4,9.347192107372894,0.11667774140810644,46.89360161421294,5,0.4779,POOR,False,0.5003,0.4794,0.5074,0.4667,0.3333
phosphoenolpyruvate,organic_acid,0.4546796152463811,0.4297511419108579,10,6.143842544846462,0.09709132869626823,44.664397317308534,5,0.4746,POOR,False,0.4547,0.4298,0.427,0.3884,0.8333
arginine,amino_acid,0.465433363117883,0.41638875179080764,8,6.021214082666316,0.0928524822548976,47.38746980224006,5,0.4581,POOR,False,0.4654,0.4164,0.4232,0.3714,0.6667
proline,amino_acid,0.4192443818942461,0.39198497435674023,9,6.849782038483107,0.0919476526468914,42.84405405148402,5,0.4475,POOR,False,0.4192,0.392,0.4474,0.3678,0.75
thymine,pyrimidine,0.5103298994833401,0.4875984739029942,4,4.793702632303251,0.09867438127366246,49.46586374218571,5,0.4472,POOR,False,0.5103,0.4876,0.3815,0.3947,0.3333
histidine,amino_acid,0.4109196057489289,0.386225465564334,8,7.674270526173677,0.09860792482349341,43.1469723792726,5,0.4432,POOR,False,0.4109,0.3862,0.4691,0.3944,0.6667
fructose,saccharide,0.46377321106052716,0.43878819207196146,5,5.710160139794585,0.10411694992626722,45.17518337665819,5,0.4394,POOR,False,0.4638,0.4388,0.4134,0.4165,0.4167
isoleucine,amino_acid,0.43982417100282306,0.4025899038782482,7,6.603283963750371,0.08151551880082902,45.13214983495595,5,0.4335,POOR,False,0.4398,0.4026,0.4405,0.3261,0.5833
cysteine,amino_acid,0.4590191774363908,0.43159420756565553,3,7.77737251290638,0.09594812264188657,42.21330717638396,5,0.4266,POOR,False,0.459,0.4316,0.4717,0.3838,0.25
glucose,saccharide,0.4140270948121388,0.38878560203989265,7,5.626355611608208,0.10100459497557265,46.40712293657509,5,0.4263,POOR,False,0.414,0.3888,0.4106,0.404,0.5833
tyrosine,amino_acid,0.39234301831463875,0.37005304894554614,6,8.149418474296356,0.10498091942167474,42.9305047662814,5,0.4227,POOR,False,0.3923,0.3701,0.4807,0.4199,0.5
creatinine,small_nitrogenous,0.4858410977876007,0.4157517340347249,1,7.4005027289656224,0.10063571917179696,55.53858361136354,5,0.4213,POOR,False,0.4858,0.4158,0.4622,0.4025,0.0833
phenylalanine,amino_acid,0.3716673115324742,0.34168667977097944,5,10.0749089867537,0.11973359493884712,41.21341033318681,5,0.4194,POOR,False,0.3717,0.3417,0.5222,0.4789,0.4167
n-acetylglucosamine,saccharide,0.45107778782433294,0.419993008175897,4,3.9562094950996483,0.09177217923697065,49.717088711063276,5,0.4029,POOR,False,0.4511,0.42,0.3476,0.3671,0.3333
alanine,amino_acid,0.39523895354415817,0.3612264488442251,4,4.659623186817387,0.0936502197089308,45.278642192184925,5,0.3788,UNDETECTABLE,False,0.3952,0.3612,0.3764,0.3746,0.3333
serine,amino_acid,0.3063005353399953,0.2916087913787728,5,7.579773744378569,0.10818182219828285,45.785901531530854,5,0.3669,UNDETECTABLE,False,0.3063,0.2916,0.4667,0.4327,0.4167
valine,amino_acid,0.3769508413724664,0.3435712480918786,4,4.391012050097862,0.08711523163263654,42.07871420249823,5,0.3628,UNDETECTABLE,False,0.377,0.3436,0.3658,0.3485,0.3333
pyruvate,organic_acid,0.3741082336085359,0.3433700704828622,4,3.46618582321599,0.1013323744303689,42.18843539432817,5,0.3618,UNDETECTABLE,False,0.3741,0.3434,0.325,0.4053,0.3333
triolein,lipid,0.2916923133288159,0.25054684831942853,5,8.60307450617321,0.1082007204749571,52.12983410133731,5,0.3611,UNDETECTABLE,False,0.2917,0.2505,0.4912,0.4328,0.4167
galactose,saccharide,0.35660492126369575,0.3342529361805805,4,4.425241552003455,0.09633754120537338,42.65510836636528,5,0.3585,UNDETECTABLE,False,0.3566,0.3343,0.3672,0.3854,0.3333
coenzyme a,cofactor,0.345398919495564,0.3065380197964688,3,4.918543783330492,0.10968485723080905,42.682651003832795,5,0.3541,UNDETECTABLE,False,0.3454,0.3065,0.3861,0.4387,0.25
fructose-6-phosphate,saccharide,0.2941459777714382,0.28238007301773355,6,5.545263984581866,0.10096224918849063,39.9979699067541,5,0.3528,UNDETECTABLE,False,0.2941,0.2824,0.408,0.4038,0.5
oleate,lipid,0.2636083451315864,0.24764915501344847,4,6.7552839555181885,0.11204979303314361,39.42614907964331,5,0.3329,UNDETECTABLE,False,0.2636,0.2476,0.4448,0.4482,0.3333
methionine,amino_acid,0.29884977164935556,0.28077771816484953,1,4.530150510450645,0.1156021303055916,40.77207089511015,5,0.3145,UNDETECTABLE,False,0.2988,0.2808,0.3714,0.4624,0.0833
hydroxyproline,amino_acid,0.26127821934300927,0.23995366183045755,1,3.749943063762023,0.11136378995555947,40.70049898737983,5,0.2844,UNDETECTABLE,False,0.2613,0.24,0.3383,0.4455,0.0833
