analyte,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
(+)-arabinose,0.0,0.0,0.002830539863366085,0.01103167258532369,0.001039544578638428,0.0026705960321711103,0.013219693085836958,0.010950351585328451,0.0,0.0,0.1824586284600987,0.172549665890366,0.0,0.0,0.042197060176384825,0.015045129578003075,0.007861566502060581,0.021463057259373065,0.04211630394797294,0.04205000819403717,0.040032207803714345,0.03584185740157931,0.0,0.0
(+)-dextrose,0.00044224722169419766,0.0,0.0,0.0,0.0,0.007880607696346556,0.0,0.0,0.0,0.0,0.18597662314348398,0.0,0.3082672113977985,0.0,0.0,0.03406930869914897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-fucose,0.0,0.08152211472862614,0.015357146781484648,0.022794246349009374,0.10722549617989834,0.01667708388898711,0.01868533917557595,0.0036353609777139985,0.0006813035205020676,0.0193830502991872,0.0,0.0,0.09090314773626199,0.0,0.0,0.0,0.0,0.0,0.0614015495958599,0.07548513436518518,0.0538589622640114,0.0,0.0,0.005364753056450969
(+)-galactosamine,0.0,0.0,0.0,0.0,0.17769820581013665,0.0,0.013318184525178951,0.0011626769420273217,0.015092704373484344,0.02176753826665812,0.0,0.0,0.14172442401594876,0.010336876155764646,0.06668564936406392,0.02385180651316257,0.0,0.017158676712739355,0.0,0.0,0.0,0.0,0.0,0.0
(+)-galactose,0.0,0.0,0.0,0.03140806003066782,0.07475438818785428,0.04126298700405414,0.007679791391816961,0.0,0.0,0.028135723390358136,0.02780331776298328,0.0,0.0,0.0449774139227786,0.0,0.11593532113178424,0.10354987731197646,0.1070442209137736,0.04165840983279594,0.06181576559042461,0.04340049944120875,0.04024843249364066,0.0,0.0
(+)-glucose,0.04244175489821646,0.0,0.0,0.0,0.0,0.0,0.0,0.00141361744954875,0.0,0.0,0.1701626168760972,0.012717664980897088,0.22018255742610185,0.0,0.0,0.025091471451132153,0.04154284270012784,0.0,0.0777439084992248,0.0,0.0,0.0,0.0,0.0
(+)-lactose,0.03213694431321085,0.00352594591751428,0.0,0.0034427185948773817,0.07883094659035264,0.0,0.011476292500333649,0.00617282906263061,0.0,0.0,0.031283248991833684,0.10534833327999876,0.0,0.0,0.0,0.0179545118159738,0.0,0.0,0.3301615718433396,0.0,0.021062969051498317,0.0,0.005320820184204852,0.008287685149438763
(+)-maltose,0.0,0.019332913000941268,0.0,0.0,0.005763361186057329,0.0,0.011793845765302262,0.0009154156015027662,0.005642892933117984,0.06362355772573862,0.08768921636031798,0.018246228126640375,0.1780587180458833,0.01704643900158755,0.009584854397300314,0.024306066960617028,0.02915849782068799,0.03424872527127996,0.15891466455894054,0.0,0.029179725565218004,0.0,0.0,0.0
(+)-mannose,0.0033439648143440827,0.007326838497313078,0.0022779596687091397,0.0,0.10501845756005641,0.05865142749499654,0.0,0.0,0.0,0.020359799854352167,0.0039022423646454933,0.04022909290585599,0.04347819645175333,0.0,0.011749738487666807,0.0,0.0,0.03981941971561527,0.2142583970721795,0.0937336477086895,0.0,0.029280863571006285,0.0,0.0
(+)-raffinose pentahydrate,0.0,0.03439125473386171,0.01964940968551202,0.0,0.07080127801305781,0.10277004737417507,0.0,0.0027226599991157473,0.0,0.0,0.1253955989365532,0.0,0.056232837469692216,0.02320455703877667,0.020461633595337647,0.02873462544831034,0.04901042612219823,0.0,0.04705772961240966,0.0,0.00024329255191251562,0.0,0.0,0.0
