analyte,axis1_triglyceride,axis2_saccharide,axis3_organic_acid,axis4_protein,axis5_amino_acid,axis6_polysaccharide,axis7_pyrimidine,axis8_unassigned,axis9_fatty_acid,axis10_sterol,axis11_purine,axis12_cofactor,sd_axis1,sd_axis2,sd_axis3,sd_axis4,sd_axis5,sd_axis6,sd_axis7,sd_axis8,sd_axis9,sd_axis10,sd_axis11,sd_axis12
(+)-arabinose,0.01221958525802623,0.40315389788502004,0.06558878237921752,0.024947596624993483,0.2682016813110487,0.06546325935299405,0.03336099211398453,0.0695112400294988,0.01702062238705369,0.01714702326306858,0.02338531939509428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-dextrose,0.0,0.9210038764401505,0.0,0.0,0.0,0.0,0.0,0.014685201371860556,0.0,0.0,0.06348681194713304,0.0008241102408556629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-fucose,0.14227873640014435,0.43978837294836026,0.009362984369474778,0.060602658632424124,0.03382880723014914,0.10716276090961224,0.0,0.16084867278882642,0.00634471478063751,0.03978229194037142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-galactosamine,0.0,0.6534876400265772,0.13642817871197416,0.05812413712689484,0.04453290369192548,0.0,0.05625150592820434,0.0,0.002378651166238391,0.0,0.04879698334818563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-galactose,0.1345372836728063,0.24192916412165305,0.0,0.009977976795819472,0.036555367300955946,0.05412473144847143,0.19751426405643335,0.1339251744032579,0.0,0.040806954017218934,0.15062908418338367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-glucose,0.07025721836225592,0.6601514091263199,0.0,0.0,0.021508103623783845,0.13148042841441065,0.0,0.0,0.002390708564422246,0.0,0.042434674042348984,0.07177745786645848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-lactose,0.005383083947495847,0.20026900744848075,0.020776191219232416,0.017520928392136304,0.1608359671536871,0.5040597612804083,0.0,0.0,0.009424097196904353,0.0052560202672918156,0.027411266821083233,0.04906367627327983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-maltose,0.06992221003261012,0.4335815432063083,0.013820884790612937,0.025142912629196153,0.11805217181145565,0.22914706675425794,0.0739650834894841,0.0,0.0013199839078894004,0.0,0.03504814337818532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-mannose,0.010879880603803859,0.26978267599060807,0.01744760061500115,0.0033826225629137144,0.0899705813618636,0.31815984197858077,0.059129259144653355,0.22628196658432942,0.0,0.0,0.0,0.004965571158246065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-raffinose pentahydrate,0.14362876049865755,0.43513644365726806,0.035237647981557416,0.033838890639760366,0.0,0.08103965419805177,0.03996132609307873,0.1769836575142427,0.0046887817717627825,0.0,0.04948483764562068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-sucrose,0.04794415185945959,0.39819582356274597,0.0441974701471453,0.060549402755905465,0.22868734130437476,0.06038935280259533,0.09794507205181767,0.0,0.0,0.0,0.062091385515955784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(+)-trehalose,0.012010682534565482,0.49045619634557247,0.000893889323153273,0.024765074817077452,0.08202266799455063,0.17001755171208235,0.05167862061142885,0.16815531666156955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
