analyte,n_spectra,bsv_c0,bsv_c1,bsv_c2,bsv_c3,bsv_c4,bsv_c5,bsv_c6,bsv_c7,bsv_c8,bsv_c9,bsv_c10,bsv_c11,bsv_c12,bsv_c13,bsv_c14,bsv_c15,bsv_c16,bsv_c17,bsv_c18,bsv_c19,bsv_c20,bsv_c21,bsv_c22,bsv_c23,sd_c0,sd_c1,sd_c2,sd_c3,sd_c4,sd_c5,sd_c6,sd_c7,sd_c8,sd_c9,sd_c10,sd_c11,sd_c12,sd_c13,sd_c14,sd_c15,sd_c16,sd_c17,sd_c18,sd_c19,sd_c20,sd_c21,sd_c22,sd_c23,top_components,top_component_weights,mean_uncertainty,max_uncertainty,concentration
(+)-arabinose,1,0.0,0.0,0.004399635006277438,0.01714702326306858,0.001615810742663274,0.004151027138968794,0.020547961618716047,0.01702062238705369,0.0,0.0,0.28360362606438794,0.2682016813110487,0.0,0.0,0.06558878237921752,0.02338531939509428,0.01221958525802623,0.03336099211398453,0.06546325935299405,0.06536021289053,0.06222385528333229,0.05571060579463656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[10, 11, 14, 18, 19]","[0.28360362606438794, 0.2682016813110487, 0.06558878237921752, 0.06546325935299405, 0.06536021289053]",0.0,0.0,0.6173940897546542
(+)-dextrose,1,0.0008241102408556629,0.0,0.0,0.0,0.0,0.014685201371860556,0.0,0.0,0.0,0.0,0.34656009619497014,0.0,0.5744437802451804,0.0,0.0,0.06348681194713304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[12, 10, 15, 5, 0]","[0.5744437802451804, 0.34656009619497014, 0.06348681194713304, 0.014685201371860556, 0.0008241102408556629]",0.0,0.0,0.9844906883872835
(+)-fucose,1,0.0,0.14227873640014435,0.02680248722760289,0.03978229194037142,0.1871382772286867,0.02910614414828342,0.03261110750081574,0.00634471478063751,0.0011890639040054946,0.03382880723014914,0.0,0.0,0.15865124497524138,0.0,0.0,0.0,0.0,0.0,0.10716276090961224,0.131742528640543,0.09399885074443212,0.0,0.0,0.009362984369474778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[4, 12, 1, 19, 18]","[0.1871382772286867, 0.15865124497524138, 0.14227873640014435, 0.131742528640543, 0.10716276090961224]",0.0,0.0,0.48806825860407244
(+)-galactosamine,1,0.0,0.0,0.0,0.0,0.3635421235341043,0.0,0.02724687658960263,0.002378651166238391,0.03087726053729221,0.04453290369192548,0.0,0.0,0.2899455164924729,0.02114759623623258,0.13642817871197416,0.04879698334818563,0.0,0.03510390969197176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[4, 12, 14, 15, 9]","[0.3635421235341043, 0.2899455164924729, 0.13642817871197416, 0.04879698334818563, 0.04453290369192548]",0.0,0.0,0.7899158187385513
(+)-galactose,1,0.0,0.0,0.0,0.040806954017218934,0.09712471506958725,0.0536109779350717,0.009977976795819472,0.0,0.0,0.036555367300955946,0.03612348895068198,0.0,0.0,0.05843695089630226,0.0,0.15062908418338367,0.1345372836728063,0.13907731316013108,0.05412473144847143,0.0803141964681862,0.056388143148365114,0.05229281695301869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[15, 17, 16, 4, 19]","[0.15062908418338367, 0.13907731316013108, 0.1345372836728063, 0.09712471506958725, 0.0803141964681862]",0.0,0.0,0.42424368101632104
(+)-glucose,1,0.07177745786645848,0.0,0.0,0.0,0.0,0.0,0.0,0.002390708564422246,0.0,0.0,0.2877788652368767,0.021508103623783845,0.37237254388944324,0.0,0.0,0.042434674042348984,0.07025721836225592,0.0,0.13148042841441065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[12, 10, 18, 0, 16]","[0.37237254388944324, 0.2877788652368767, 0.13148042841441065, 0.07177745786645848, 0.07025721836225592]",0.0,0.0,0.7916318375407305
(+)-lactose,1,0.04906367627327983,0.005383083947495847,0.0,0.0052560202672918156,0.12035170506971088,0.0,0.017520928392136304,0.009424097196904353,0.0,0.0,0.04776033422321303,0.1608359671536871,0.0,0.0,0.0,0.027411266821083233,0.0,0.0,0.5040597612804083,0.0,0.03215696815555686,0.0,0.008123329849964733,0.012652861369267682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[18, 11, 4, 0, 10]","[0.5040597612804083, 0.1608359671536871, 0.12035170506971088, 0.04906367627327983, 0.04776033422321303]",0.0,0.0,0.7852474335038062
(+)-maltose,1,0.0,0.027877101954538994,0.0,0.0,0.008310481062876069,0.0,0.017006140813825198,0.0013199839078894004,0.008136771815370956,0.09174201556405694,0.1264435020563738,0.026310156247398717,0.2567518426539202,0.02458011981877483,0.013820884790612937,0.03504814337818532,0.04204510807807113,0.04938496367070928,0.22914706675425794,0.0,0.04207571743313828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[12, 18, 10, 9, 17]","[0.2567518426539202, 0.22914706675425794, 0.1264435020563738, 0.09174201556405694, 0.04938496367070928]",0.0,0.0,0.6123424114645519
(+)-mannose,1,0.004965571158246065,0.010879880603803859,0.0033826225629137144,0.0,0.1559456073541228,0.08709357093407134,0.0,0.0,0.0,0.030232984064535944,0.00579457716039705,0.05973759729732766,0.06456230561616429,0.0,0.01744760061500115,0.0,0.0,0.059129259144653355,0.31815984197858077,0.13918839565025806,0.0,0.043480185859923914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[18, 4, 19, 5, 12]","[0.31815984197858077, 0.1559456073541228, 0.13918839565025806, 0.08709357093407134, 0.06456230561616429]",0.0,0.0,0.6132938449829617
(+)-raffinose pentahydrate,1,0.0,0.05922630381926216,0.033838890639760366,0.0,0.12192919493177656,0.1769836575142427,0.0,0.0046887817717627825,0.0,0.0,0.21594785935222896,0.0,0.09684040731785219,0.03996132609307873,0.035237647981557416,0.04948483764562068,0.0844024566793954,0.0,0.08103965419805177,0.0,0.00041898205541034865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[10, 5, 4, 12, 16]","[0.21594785935222896, 0.1769836575142427, 0.12192919493177656, 0.09684040731785219, 0.0844024566793954]",0.0,0.0,0.5148607117982482
