analyte,n_components_used,components,component_weights,latent_energy_captured,signature_bands_cm,observed_bands_cm,axis_contributions,sparsity
(+)-arabinose,6,"[10, 11, 14, 18, 19, 20]","[0.2836, 0.2682, 0.0656, 0.0655, 0.0654, 0.0622]",0.8104414172807001,"[468.0, 478.0, 606.0, 626.0, 674.0, 818.0, 838.0, 842.0, 852.0, 904.0, 916.0, 940.0, 1022.0, 1038.0]","[700.0, 844.0, 928.0, 994.0, 1052.0, 1258.0, 1312.0, 1476.0]","{'axis2:saccharide': 0.3458, 'axis5:amino_acid': 0.2682, 'axis3:organic_acid': 0.0656, 'axis6:polysaccharide': 0.0655, 'axis8:unassigned': 0.0654}",0.75
(+)-dextrose,2,"[12, 10]","[0.5744, 0.3466]",0.9210038764392295,"[540.0, 774.0, 842.0, 916.0, 1020.0, 1054.0, 1122.0, 1266.0, 1354.0, 1374.0, 1458.0]","[540.0, 840.0, 914.0, 1074.0, 1108.0, 1274.0, 1346.0, 1458.0]",{'axis2:saccharide': 0.921},0.9166666666666666
(+)-fucose,6,"[4, 12, 1, 19, 18, 20]","[0.1871, 0.1587, 0.1423, 0.1317, 0.1072, 0.094]",0.8209723988978384,"[464.0, 468.0, 478.0, 528.0, 540.0, 606.0, 626.0, 674.0, 774.0, 818.0, 838.0, 872.0, 904.0, 1020.0]","[670.0, 816.0, 878.0, 998.0, 1114.0, 1274.0, 1330.0, 1450.0]","{'axis2:saccharide': 0.4398, 'axis1:triglyceride': 0.1423, 'axis8:unassigned': 0.1317, 'axis6:polysaccharide': 0.1072}",0.75
(+)-galactosamine,6,"[4, 12, 14, 15, 9, 17]","[0.3635, 0.2899, 0.1364, 0.0488, 0.0445, 0.0351]",0.9183496154697158,"[464.0, 506.0, 528.0, 540.0, 556.0, 578.0, 650.0, 774.0, 790.0, 872.0, 896.0, 940.0, 1020.0, 1034.0]","[530.0, 872.0, 948.0, 1020.0, 1062.0, 1142.0, 1268.0, 1386.0]","{'axis2:saccharide': 0.6535, 'axis3:organic_acid': 0.1364, 'axis11:purine': 0.0488, 'axis5:amino_acid': 0.0445, 'axis7:pyrimidine': 0.0351}",0.75
(+)-galactose,6,"[15, 17, 16, 4, 19, 13]","[0.1506, 0.1391, 0.1345, 0.0971, 0.0803, 0.0584]",0.6601195434497367,"[464.0, 528.0, 556.0, 578.0, 606.0, 616.0, 650.0, 674.0, 742.0, 790.0, 806.0, 838.0, 872.0, 892.0]","[654.0, 696.0, 822.0, 882.0, 992.0, 1062.0, 1244.0, 1328.0]","{'axis7:pyrimidine': 0.1975, 'axis11:purine': 0.1506, 'axis1:triglyceride': 0.1345, 'axis2:saccharide': 0.0971, 'axis8:unassigned': 0.0803}",0.75
(+)-glucose,5,"[12, 10, 18, 0, 16]","[0.3724, 0.2878, 0.1315, 0.0718, 0.0703]",0.9336665137685113,"[478.0, 540.0, 754.0, 774.0, 842.0, 892.0, 916.0, 1020.0, 1022.0, 1054.0, 1062.0, 1120.0, 1122.0, 1130.0]","[542.0, 842.0, 916.0, 1074.0, 1122.0, 1274.0, 1348.0, 1462.0]","{'axis2:saccharide': 0.6602, 'axis6:polysaccharide': 0.1315, 'axis12:cofactor': 0.0718, 'axis1:triglyceride': 0.0703}",0.7916666666666666
(+)-lactose,6,"[18, 11, 4, 0, 10, 20]","[0.5041, 0.1608, 0.1204, 0.0491, 0.0478, 0.0322]",0.9142284121549418,"[464.0, 468.0, 478.0, 528.0, 626.0, 754.0, 818.0, 842.0, 852.0, 872.0, 916.0, 1022.0, 1038.0, 1054.0]","[478.0, 850.0, 876.0, 1020.0, 1088.0, 1144.0, 1264.0, 1336.0]","{'axis6:polysaccharide': 0.5041, 'axis2:saccharide': 0.2003, 'axis5:amino_acid': 0.1608, 'axis12:cofactor': 0.0491}",0.75
(+)-maltose,6,"[12, 18, 10, 9, 17, 20]","[0.2568, 0.2291, 0.1264, 0.0917, 0.0494, 0.0421]",0.7955451081316609,"[468.0, 478.0, 506.0, 540.0, 556.0, 578.0, 626.0, 774.0, 790.0, 818.0, 842.0, 896.0, 916.0, 1020.0]","[462.0, 552.0, 900.0, 1064.0, 1116.0, 1150.0, 1386.0, 1458.0]","{'axis2:saccharide': 0.4253, 'axis6:polysaccharide': 0.2291, 'axis5:amino_acid': 0.0917, 'axis7:pyrimidine': 0.0494}",0.75
(+)-mannose,6,"[18, 4, 19, 5, 12, 11]","[0.3182, 0.1559, 0.1392, 0.0871, 0.0646, 0.0597]",0.8246873188297001,"[464.0, 478.0, 528.0, 540.0, 606.0, 640.0, 674.0, 774.0, 828.0, 838.0, 852.0, 872.0, 904.0, 1020.0]","[496.0, 530.0, 830.0, 862.0, 882.0, 914.0, 1088.0, 1240.0]","{'axis6:polysaccharide': 0.3182, 'axis8:unassigned': 0.2263, 'axis2:saccharide': 0.2205, 'axis5:amino_acid': 0.0597}",0.75
(+)-raffinose pentahydrate,6,"[10, 5, 4, 12, 16, 18]","[0.2159, 0.177, 0.1219, 0.0968, 0.0844, 0.081]",0.7771432299927703,"[464.0, 478.0, 528.0, 540.0, 640.0, 774.0, 828.0, 842.0, 872.0, 892.0, 916.0, 1020.0, 1022.0, 1054.0]","[506.0, 834.0, 876.0, 1052.0, 1154.0, 1270.0, 1388.0, 1464.0]","{'axis2:saccharide': 0.4347, 'axis8:unassigned': 0.177, 'axis1:triglyceride': 0.0844, 'axis6:polysaccharide': 0.081}",0.75
