analyte,n_levels,cross_level_cos
(+)-xylose,2,0.9623685274828678
(-)-fructose,2,0.9799926894210264
albumin,4,0.714102282259244
amylopectin,2,0.9962505525131596
amylose,2,0.9941765590589354
carbonic anhydrase,3,0.9447275701880468
ceramide,2,0.9914534758497112
cholesterol,2,0.9403328035907625
collagen,3,0.9758103868948353
cytochrome c,2,0.7279646678841056
elastase,3,0.928639010762928
ferritin,3,0.6278888702383582
glucose oxidase,2,0.8079091578053859
glutathione transferase,2,0.9841338230728189
glycogen,2,0.8509011805021524
hemoglobin,2,0.6780139276366223
horseradish peroxidase,2,0.8429062716990581
lactalbumin,3,0.9326051260200359
lectin,3,0.9361987183747377
major proteinase,3,0.9579102535145859
melanin,4,0.9933510961432721
myoglobin,2,0.8792987540313979
myristic acid,2,0.9946405069608361
oleate,2,0.9825485869395667
palmitic acid,2,0.973417109331326
papain,3,0.9480504834967874
pepsin,3,0.8530926560632336
pepsinogen,3,0.9102330087207084
stearate,2,0.932815316918696
superoxide dismutases,3,0.8912508083364151
thaumatin,3,0.9418062712131464
trilinolein,2,0.9851249695079625
trilinolenin,2,0.9804793384377397
triolein,2,0.9696413505365711
triosephosphate isomerase,3,0.9265223259444227
trypsin,3,0.970605355728297
trypsin inhibitor,3,0.9803649034405476
trypsinogen,3,0.9044645375097895
ubiquitin,3,0.9375741575121789
xylanase,3,0.9910251843912293
α-chymotrypsinogen a (type ii),3,0.9276822804572001
