analyte,n_levels,cross_level_cos
acetoacetate,2,0.9885113147131745
adenine,2,0.963660102457997
alanine,3,0.9301637923825604
albumin,2,0.6500964873732253
arginine,3,0.8010449985055903
ascorbate,2,0.99409141091293
cholesterol,2,0.9403328035907625
citrate,2,0.980785980963638
coenzyme a,2,0.7781074087981508
fructose-6-phosphate,2,0.9892037507350091
glucose,2,0.7135545621844465
glutamate,3,0.7839213534594116
glutathione,2,0.3645717794077861
glycerol,2,0.9945606567192874
glycine,3,0.9496981501691073
glycogen,2,0.8509011805021524
guanine,2,0.9991022123700478
histidine,3,0.8278999328812706
leucine,2,0.8602122430247858
malic acid,2,0.13659973988701016
methionine,2,0.9131951007289921
oleate,2,0.9847727615792419
phenylalanine,3,0.9741565670861184
phosphoenolpyruvate,2,0.7548964498058037
proline,3,0.7793768629199952
pyruvate,2,0.3651293269097508
serine,3,0.8530484150727398
stearate,2,0.9241375424362652
thymine,2,0.9990476976051023
triolein,2,0.9752002811019272
tryptophan,3,0.9441828896173032
tyrosine,2,0.9603235162545887
uracil,2,0.9997263649618606
valine,3,0.8875887009260277
