spectrum_id,group,nearest_references,similarities
covid_serum_raman::COVID::000,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8563, 0.8326, 0.8268, 0.7971, 0.7854]"
covid_serum_raman::COVID::001,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.864, 0.8075, 0.8056, 0.7958, 0.7917]"
covid_serum_raman::COVID::002,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8575, 0.8313, 0.8245, 0.7928, 0.7827]"
covid_serum_raman::COVID::003,COVID,"['cholesterol', 'alb', 'isoleucine', 'arginine', 'albumin']","[0.8143, 0.8116, 0.8099, 0.8051, 0.7675]"
covid_serum_raman::COVID::004,COVID,"['cholesterol', 'alb', 'isoleucine', 'arginine', 'albumin']","[0.8169, 0.8158, 0.8067, 0.7988, 0.7771]"
covid_serum_raman::COVID::005,COVID,"['isoleucine', 'cholesterol', 'alb', 'arginine', 'albumin']","[0.8158, 0.8151, 0.805, 0.8049, 0.7713]"
covid_serum_raman::COVID::006,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate', 'cholesteryl palmitate']","[0.8598, 0.8225, 0.8216, 0.8073, 0.8055]"
covid_serum_raman::COVID::007,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8639, 0.8481, 0.8272, 0.8226, 0.813]"
covid_serum_raman::COVID::008,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8621, 0.8334, 0.8243, 0.8174, 0.8107]"
covid_serum_raman::COVID::009,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'albumin', 'cholesteryl oleate']","[0.8601, 0.8077, 0.8019, 0.8001, 0.7916]"
covid_serum_raman::COVID::010,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8623, 0.8225, 0.8077, 0.8072, 0.7951]"
covid_serum_raman::COVID::011,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl oleate', 'cholesteryl palmitate']","[0.861, 0.8119, 0.8095, 0.7972, 0.7967]"
covid_serum_raman::COVID::012,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8621, 0.8355, 0.821, 0.8145, 0.8134]"
covid_serum_raman::COVID::013,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8614, 0.8302, 0.8207, 0.8119, 0.8018]"
covid_serum_raman::COVID::014,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8604, 0.823, 0.8136, 0.8061, 0.7972]"
covid_serum_raman::COVID::015,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8641, 0.85, 0.825, 0.8249, 0.8154]"
covid_serum_raman::COVID::016,COVID,"['cholesterol', '13-methylmyristicacid', 'cholesteryl stearate', 'tricaprylin', 'cholesteryl palmitate']","[0.8591, 0.8354, 0.8353, 0.8188, 0.8187]"
covid_serum_raman::COVID::017,COVID,"['cholesterol', 'cholesteryl stearate', '13-methylmyristicacid', 'cholesteryl palmitate', 'cholesteryl oleate']","[0.8603, 0.8317, 0.8297, 0.8149, 0.8143]"
covid_serum_raman::COVID::018,COVID,"['cholesterol', 'arginine', 'cholesteryl stearate', '14-methylhexadecanoic acid', '13-methylmyristicacid']","[0.8651, 0.79, 0.7879, 0.7767, 0.7743]"
covid_serum_raman::COVID::019,COVID,"['cholesterol', 'alb', 'arginine', 'isoleucine', 'albumin']","[0.8503, 0.8034, 0.7763, 0.7698, 0.7693]"
covid_serum_raman::COVID::020,COVID,"['cholesterol', 'alb', 'arginine', 'isoleucine', 'albumin']","[0.8325, 0.7969, 0.7772, 0.7716, 0.7449]"
covid_serum_raman::COVID::021,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8566, 0.8181, 0.8059, 0.792, 0.778]"
covid_serum_raman::COVID::022,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'ferritin']","[0.8559, 0.8192, 0.8173, 0.7866, 0.778]"
covid_serum_raman::COVID::023,COVID,"['cholesterol', 'alb', 'albumin', 'ferritin', 'cholesteryl stearate']","[0.8472, 0.8231, 0.8219, 0.7796, 0.7745]"
covid_serum_raman::COVID::024,COVID,"['cholesterol', 'alb', 'arginine', 'albumin', 'isoleucine']","[0.839, 0.8252, 0.8008, 0.7875, 0.7845]"
covid_serum_raman::COVID::025,COVID,"['cholesterol', 'alb', 'arginine', 'albumin', 'isoleucine']","[0.8466, 0.8042, 0.8032, 0.7879, 0.7825]"
covid_serum_raman::COVID::026,COVID,"['alb', 'cholesterol', 'arginine', 'albumin', 'isoleucine']","[0.8394, 0.8335, 0.7964, 0.794, 0.7811]"
covid_serum_raman::COVID::027,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate', 'cholesteryl palmitate']","[0.8718, 0.8316, 0.8218, 0.8136, 0.8081]"
covid_serum_raman::COVID::028,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'cholesteryl oleate', 'alb']","[0.8747, 0.8313, 0.8215, 0.8143, 0.8133]"
covid_serum_raman::COVID::029,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8753, 0.8398, 0.8284, 0.822, 0.8166]"
covid_serum_raman::COVID::030,COVID,"['cholesterol', 'albumin', 'cholesteryl stearate', 'alb', '13-methylmyristicacid']","[0.8605, 0.8188, 0.8055, 0.8033, 0.7926]"
covid_serum_raman::COVID::031,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', 'cholesteryl oleate']","[0.8569, 0.8313, 0.8211, 0.8085, 0.7923]"
covid_serum_raman::COVID::032,COVID,"['cholesterol', 'albumin', 'alb', 'cholesteryl stearate', '13-methylmyristicacid']","[0.8576, 0.823, 0.8139, 0.8055, 0.7937]"
covid_serum_raman::COVID::033,COVID,"['cholesterol', 'alb', 'arginine', 'isoleucine', 'albumin']","[0.8292, 0.8283, 0.8055, 0.7979, 0.7679]"
covid_serum_raman::COVID::034,COVID,"['cholesterol', 'alb', 'arginine', 'isoleucine', 'albumin']","[0.8351, 0.8317, 0.8009, 0.7888, 0.7742]"
covid_serum_raman::COVID::035,COVID,"['cholesterol', 'alb', 'arginine', 'isoleucine', 'albumin']","[0.8427, 0.8178, 0.8042, 0.7936, 0.7762]"
covid_serum_raman::COVID::036,COVID,"['cholesterol', 'cholesteryl stearate', 'albumin', '13-methylmyristicacid', 'cholesteryl oleate']","[0.8635, 0.8203, 0.82, 0.8135, 0.8064]"
