analyte,n_spectra,family,report_class,sources,n_sources,excitations
(+)-arabinose,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
(+)-dextrose,1,saccharide,Saccharide,['RamanBioLib'],1,[785.0]
(+)-fucose,1,saccharide,Saccharide,['RamanBioLib'],1,[785.0]
(+)-galactosamine,1,saccharide,Saccharide,['RamanBioLib'],1,[785.0]
(+)-galactose,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
(+)-glucose,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
(+)-lactose,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
(+)-maltose,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
(+)-mannose,1,saccharide,Saccharide,['RamanBioLib'],1,[785.0]
(+)-raffinose pentahydrate,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
(+)-sucrose,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
(+)-trehalose,1,saccharide,Saccharide,['RamanBioLib'],1,[785.0]
(+)-xylose,2,saccharide,Saccharide,['RamanBioLib'],1,"[785.0, 1064.0]"
(-)-arabinose,1,saccharide,Saccharide,['RamanBioLib'],1,[785.0]
(-)-fructose,2,saccharide,Saccharide,['RamanBioLib'],1,"[785.0, 1064.0]"
(-)-ribose,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
12-methyltetradecanoic acid,1,fatty_acid,Lipid (fatty acid),['RamanBioLib'],1,[785.0]
13-methylmyristicacid,1,fatty_acid,Lipid (fatty acid),['RamanBioLib'],1,[785.0]
14-methylhexadecanoic acid,1,fatty_acid,Lipid (fatty acid),['RamanBioLib'],1,[785.0]
14-methylpentadecanoic acid,1,fatty_acid,Lipid (fatty acid),['RamanBioLib'],1,[785.0]
15-methylpalmiticacid,1,fatty_acid,Lipid (fatty acid),['RamanBioLib'],1,[785.0]
2-deoxy-d-ribose,1,saccharide,Saccharide,['RamanBioLib'],1,[1064.0]
a-dna,1,nucleic_acid,Nucleic acid,['RamanBioLib'],1,[514.5]
acetoacetate,4,organic_acid,Organic acid,"['RamanBioLib', 'gobbato_raman_metabolites']",2,[785.0]
acetyl coenzyme a,1,protein,Protein,['RamanBioLib'],1,[785.0]
acetyl-coa,3,cofactor,Cofactor / vitamin,['gobbato_raman_metabolites'],1,[785.0]
adenine,4,purine,Purine,"['RamanBioLib', 'gobbato_raman_metabolites']",2,[785.0]
alanine,5,amino_acid,Amino acid,"['RamanBioLib', 'amino_acid_raman_grounding', 'gobbato_raman_metabolites']",3,[785.0]
alb,1,protein,Protein,['amino_acid_raman_grounding'],1,[785.0]
albumin,6,protein,Protein,"['RamanBioLib', 'gobbato_raman_metabolites']",2,"[488.0, 532.0, 785.0, 1064.0]"
amylopectin,2,polysaccharide,Polysaccharide,['RamanBioLib'],1,"[785.0, 1064.0]"
amylose,2,polysaccharide,Polysaccharide,['RamanBioLib'],1,"[785.0, 1064.0]"
arachidic acid,1,fatty_acid,Lipid (fatty acid),['RamanBioLib'],1,[532.0]
arachidonic acid,1,fatty_acid,Lipid (fatty acid),['RamanBioLib'],1,[532.0]
arginine,5,amino_acid,Amino acid,"['RamanBioLib', 'amino_acid_raman_grounding', 'gobbato_raman_metabolites']",3,[785.0]
ascorbate,4,organic_acid,Organic acid,"['RamanBioLib', 'gobbato_raman_metabolites']",2,[785.0]
asparagine,1,amino_acid,Amino acid,['RamanBioLib'],1,[488.0]
aspartate,1,organic_acid,Organic acid,['amino_acid_raman_grounding'],1,[785.0]
aspartic acid,1,organic_acid,Organic acid,['RamanBioLib'],1,[488.0]
b-dna,1,nucleic_acid,Nucleic acid,['RamanBioLib'],1,[514.5]
carbonic anhydrase,3,protein,Protein,['RamanBioLib'],1,"[488.0, 532.0, 1064.0]"
carotene,1,carotenoid,Carotenoid,['amino_acid_raman_grounding'],1,[785.0]
