analyte,family,coord_cosine,recoverability_tier,theme_preserved,raman_theme,sers_theme,sers_ood,sers_confidence,self_is_nearest,self_rank,matched_cosine,mean_mismatched_cosine,separation
hypoxanthine,purine,0.8443,Excellent,True,nucleic_purine,nucleic_purine,0.1461,0.2463,False,3,0.844,0.351,0.493
phosphatidylinositol,lipid,0.8339,Excellent,True,nucleic_purine,nucleic_purine,0.1799,0.1853,True,1,0.834,0.43,0.404
xanthine,purine,0.8145,Excellent,True,nucleic_purine,nucleic_purine,0.1756,0.2908,False,2,0.814,0.258,0.556
glutathione,cofactor,0.7271,Good,True,nucleic_purine,nucleic_purine,0.1478,0.2291,False,2,0.727,0.381,0.346
creatinine,small_nitrogenous,0.6877,Good,True,nucleic_purine,nucleic_purine,0.1627,0.1999,False,6,0.688,0.397,0.291
glycogen,polysaccharide,0.6837,Good,False,saccharide_glycan,nucleic_purine,0.1472,0.211,False,8,0.684,0.415,0.269
urea,small_nitrogenous,0.6674,Good,False,sulfur_antioxidant,saccharide_glycan,0.2728,0.1807,False,4,0.667,0.345,0.323
acetyl-coa,cofactor,0.6495,Moderate,True,nucleic_purine,nucleic_purine,0.1642,0.1938,False,10,0.649,0.433,0.216
coenzyme a,cofactor,0.6495,Moderate,True,nucleic_purine,nucleic_purine,0.1863,0.1931,False,9,0.65,0.414,0.236
urate,purine,0.644,Moderate,False,saccharide_glycan,nucleic_purine,0.2948,0.2378,False,2,0.644,0.281,0.363
guanine,purine,0.631,Moderate,True,nucleic_purine,nucleic_purine,0.1605,0.2327,False,6,0.631,0.39,0.241
citrate,organic_acid,0.6183,Moderate,False,organic_acid_metabolism,nucleic_purine,0.1579,0.1899,False,16,0.618,0.44,0.178
phosphoenolpyruvate,organic_acid,0.6177,Moderate,True,nucleic_purine,nucleic_purine,0.1514,0.1983,False,12,0.618,0.422,0.195
pyruvate,organic_acid,0.6083,Moderate,True,nucleic_purine,nucleic_purine,0.1254,0.2097,False,12,0.608,0.416,0.192
albumin,protein,0.6025,Moderate,False,lipid_acyl,nucleic_purine,0.137,0.2398,False,7,0.602,0.376,0.226
mannose,saccharide,0.6013,Moderate,False,saccharide_glycan,nucleic_purine,0.1254,0.2056,False,14,0.601,0.424,0.177
n-acetylglucosamine,saccharide,0.5987,Moderate,False,saccharide_glycan,nucleic_purine,0.1602,0.1942,False,18,0.599,0.429,0.169
isoleucine,amino_acid,0.5932,Moderate,False,saccharide_glycan,nucleic_purine,0.182,0.1963,False,17,0.593,0.428,0.166
cysteine,amino_acid,0.58,Moderate,True,nucleic_purine,nucleic_purine,0.133,0.2075,False,14,0.58,0.419,0.161
methionine,amino_acid,0.5575,Moderate,True,nucleic_purine,nucleic_purine,0.1457,0.1989,False,25,0.558,0.43,0.128
arginine,amino_acid,0.4943,Moderate,False,saccharide_glycan,nucleic_purine,0.2108,0.1856,False,30,0.494,0.414,0.081
histidine,amino_acid,0.4868,Moderate,False,saccharide_glycan,nucleic_purine,0.1638,0.1969,False,34,0.487,0.427,0.06
glycerol,polyol,0.47,Moderate,False,saccharide_glycan,nucleic_purine,0.1096,0.2084,False,40,0.47,0.424,0.046
galactose,saccharide,0.4462,Weak,False,saccharide_glycan,nucleic_purine,0.1347,0.2074,False,46,0.446,0.421,0.025
leucine,amino_acid,0.4373,Weak,False,saccharide_glycan,nucleic_purine,0.1383,0.2031,False,52,0.437,0.428,0.01
valine,amino_acid,0.4249,Weak,False,saccharide_glycan,nucleic_purine,0.1675,0.199,False,53,0.425,0.429,-0.004
acetoacetate,organic_acid,0.423,Weak,False,organic_acid_metabolism,nucleic_purine,0.2033,0.2019,False,45,0.423,0.407,0.016
lactate,organic_acid,0.402,Weak,False,saccharide_glycan,nucleic_purine,0.1309,0.2115,False,59,0.402,0.411,-0.009
ascorbate,organic_acid,0.3917,Weak,False,lipid_acyl,nucleic_purine,0.1544,0.2003,False,54,0.392,0.416,-0.025
phosphate,organic_acid,0.361,Weak,False,organic_acid_metabolism,nucleic_purine,0.1353,0.2017,False,81,0.361,0.429,-0.068
adenine,purine,0.3592,Weak,True,nucleic_purine,nucleic_purine,0.1554,0.2195,False,78,0.359,0.417,-0.058
serine,amino_acid,0.3536,Weak,False,saccharide_glycan,nucleic_purine,0.1811,0.1917,False,79,0.354,0.429,-0.075
fructose-6-phosphate,saccharide,0.3473,Weak,False,saccharide_glycan,nucleic_purine,0.1305,0.2071,False,78,0.347,0.434,-0.086
fructose,saccharide,0.3411,Weak,False,saccharide_glycan,nucleic_purine,0.1479,0.1941,False,88,0.341,0.438,-0.097
riboflavin,cofactor,0.3394,Weak,True,nucleic_purine,nucleic_purine,0.1429,0.2067,False,78,0.339,0.42,-0.081
tryptophan,amino_acid,0.3394,Weak,True,nucleic_purine,nucleic_purine,0.1245,0.2177,False,79,0.339,0.411,-0.072
cholesterol,lipid,0.3357,Weak,False,lipid_acyl,nucleic_purine,0.2982,0.2197,False,66,0.336,0.322,0.013
