analyte,family,C_MSS,MSS_null95,MSS_rank,MSS_q,MSS_recovered,mss_specificity
xanthine,purine,0.9303,0.7379,1,0.3333,True,0.1924
urea,small_nitrogenous,0.5222,0.3598,1,0.3333,True,0.1624
guanine,purine,0.8745,0.7635,3,0.4,False,0.111
creatinine,small_nitrogenous,0.6521,0.5739,1,0.3333,True,0.0782
albumin,protein,0.879,0.8555,2,0.4,False,0.0235
hypoxanthine,purine,0.9642,0.9584,2,0.4,False,0.0058
acetyl-coa,cofactor,0.9006,0.9007,4,0.4,False,-0.0001
stearate,lipid,0.3722,0.3735,4,0.4,False,-0.0013
thymine,pyrimidine,0.5425,0.5447,4,0.4,False,-0.0022
tryptophan,amino_acid,0.6793,0.6857,4,0.4,False,-0.0064
glycogen,polysaccharide,0.9023,0.9093,9,0.6429,False,-0.007
coenzyme a,cofactor,0.9011,0.9126,12,0.6667,False,-0.0115
valine,amino_acid,0.8199,0.8322,10,0.6667,False,-0.0123
glutathione,cofactor,0.9554,0.9706,38,0.8261,False,-0.0152
n-acetylglucosamine,saccharide,0.8527,0.8688,22,0.7,False,-0.0161
phosphatidylinositol,lipid,0.9558,0.972,24,0.7,False,-0.0162
fructose,saccharide,0.5823,0.601,9,0.6429,False,-0.0187
proline,amino_acid,0.8426,0.8623,28,0.7,False,-0.0197
galactose,saccharide,0.7966,0.8186,23,0.7,False,-0.022
leucine,amino_acid,0.7764,0.7994,16,0.7,False,-0.023
acetoacetate,organic_acid,0.7716,0.7972,25,0.7,False,-0.0256
fructose-6-phosphate,saccharide,0.6931,0.7196,12,0.6667,False,-0.0265
phosphoenolpyruvate,organic_acid,0.8211,0.8492,15,0.7,False,-0.0281
alanine,amino_acid,0.6624,0.6908,21,0.7,False,-0.0284
serine,amino_acid,0.6897,0.7191,7,0.5833,False,-0.0294
glycine,amino_acid,0.8973,0.9267,26,0.7,False,-0.0294
glucose,saccharide,0.5358,0.5668,11,0.6667,False,-0.031
hydroxyproline,amino_acid,0.6319,0.6638,23,0.7,False,-0.0319
lactate,organic_acid,0.5653,0.5983,22,0.7,False,-0.033
isoleucine,amino_acid,0.8301,0.8638,32,0.7619,False,-0.0337
arginine,amino_acid,0.7433,0.7777,28,0.7,False,-0.0344
glycerol,polyol,0.5963,0.6308,20,0.7,False,-0.0345
mannose,saccharide,0.7375,0.775,30,0.7317,False,-0.0375
oleate,lipid,0.3648,0.4028,6,0.5455,False,-0.038
triolein,lipid,0.3694,0.4113,14,0.7,False,-0.0419
histidine,amino_acid,0.8677,0.9106,42,0.8936,False,-0.0429
methionine,amino_acid,0.8735,0.9195,18,0.7,False,-0.046
phenylalanine,amino_acid,0.5299,0.5788,17,0.7,False,-0.0489
riboflavin,cofactor,0.6387,0.6876,36,0.8,False,-0.0489
citrate,organic_acid,0.6956,0.7499,22,0.7,False,-0.0543
tyrosine,amino_acid,0.6292,0.685,33,0.7674,False,-0.0558
uracil,pyrimidine,0.4858,0.5426,23,0.7,False,-0.0568
phosphate,organic_acid,0.6495,0.7071,26,0.7,False,-0.0576
ascorbate,organic_acid,0.674,0.734,25,0.7,False,-0.06
adenine,purine,0.7405,0.8011,19,0.7,False,-0.0606
pyruvate,organic_acid,0.8026,0.8717,35,0.7955,False,-0.0691
cholesterol,lipid,0.814,0.8991,50,0.9804,False,-0.0851
cysteine,amino_acid,0.8088,0.9067,28,0.7,False,-0.0979
glutamate,amino_acid,0.6553,0.7582,47,0.9792,False,-0.1029
ergothioneine,cofactor,0.7263,0.8607,50,0.9804,False,-0.1344
urate,purine,0.7488,0.9054,49,0.9804,False,-0.1566
