analyte,family,expected_theme,C_latent,latent_null95,latent_rank,latent_q,latent_recovered,latent_supporting,C_MSS,MSS_null95,MSS_rank,MSS_q,MSS_recovered,MSS_supporting,C_theme_raw,theme_raw_null_med,theme_identity,theme_id_null95,theme_id_rank,theme_id_q,expected_theme_top3,theme_recovered,rank_rho,top2,top3,top3_null,top3_over_null,argmax_agree,argmax_robust,margin_R,margin_S,perturbation_validated,perturbation_status,serum_tested,serum_tier,matrix_recovered,delta_purine,purine_R,purine_S,ood_sers,confidence_sers,evidence_profile
acetoacetate,organic_acid,organic_acid_metabolism,0.423,0.5203,23,0.6389,False,False,0.7716,0.7972,25,0.7,False,False,0.9169,0.915,0.446,0.5477,26,0.8919,True,False,0.7636,0.5,0.667,0.647,True,False,False,0.0487,0.061,False,not tested,True,moderate,False,0.0383,0.1624,0.2007,0.2081,0.2019,broad-theme only
acetyl-coa,cofactor,sulfur_antioxidant|redox_broad,0.6495,0.6463,4,0.3077,False,True,0.9006,0.9007,4,0.4,False,False,0.9795,0.9798,0.5083,0.674,33,0.8919,False,False,0.8727,1.0,0.667,0.673,False,True,True,0.0866,0.0289,False,not tested,True,weak,False,-0.0364,0.2308,0.1944,0.1539,0.1938,no analyte-specific evidence
adenine,purine,nucleic_purine,0.3592,0.3949,17,0.5862,False,False,0.7405,0.8011,19,0.7,False,False,0.9466,0.9445,0.733,0.8834,29,0.8919,True,False,0.8636,1.0,0.667,0.68,False,True,True,0.1799,0.0541,True,dose-response,True,strong,True,-0.1157,0.3206,0.205,0.1388,0.2195,perturbation-validated; matrix-recovered
alanine,amino_acid,aromatic_amino_acid|protein_peptide,0.2553,0.2916,23,0.6389,False,False,0.6624,0.6908,21,0.7,False,False,0.8867,0.8772,-0.4841,-0.2362,28,0.8919,False,False,0.8364,1.0,0.667,0.667,True,False,False,0.1368,0.0384,False,not tested,True,weak,False,0.0645,0.136,0.2005,0.1256,0.1993,broad-theme only
albumin,protein,protein_peptide,0.6025,0.6618,38,0.8444,False,False,0.879,0.8555,2,0.4,False,True,0.9286,0.9271,-0.1934,0.1138,37,0.9024,False,False,0.8182,0.0,0.333,0.353,False,False,False,0.0025,0.0283,False,not tested,True,strong,True,0.0757,0.1352,0.2109,0.1286,0.2398,matrix-recovered
arginine,amino_acid,aromatic_amino_acid|protein_peptide,0.4943,0.4513,2,0.2222,False,True,0.7433,0.7777,28,0.7,False,False,0.8175,0.8365,-0.9317,-0.4291,46,0.9388,False,False,0.7545,0.5,0.667,0.653,True,False,False,0.0762,0.0595,False,not tested,True,moderate,False,0.1386,0.0708,0.2094,0.2065,0.1856,broad-theme only
ascorbate,organic_acid,organic_acid_metabolism,0.3917,0.4068,9,0.4286,False,False,0.674,0.734,25,0.7,False,False,0.8605,0.8731,-0.5823,-0.1441,23,0.8919,True,False,0.7636,0.5,0.667,0.673,False,False,False,0.0014,0.0616,False,not tested,True,weak,False,0.0798,0.1359,0.2157,0.1427,0.2003,no analyte-specific evidence
cholesterol,lipid,lipid_acyl|sterol_membrane,0.3357,0.6315,51,1.0,False,False,0.814,0.8991,50,0.9804,False,False,0.9181,0.901,0.1114,0.0925,4,0.5714,False,False,0.8818,0.5,0.667,0.673,False,False,False,0.0293,0.043,False,not tested,True,weak,False,0.0622,0.1533,0.2155,0.3183,0.2197,no analyte-specific evidence
citrate,organic_acid,organic_acid_metabolism,0.6183,0.6761,31,0.7561,False,False,0.6956,0.7499,22,0.7,False,False,0.8426,0.8542,0.8517,0.9058,18,0.8919,True,False,0.8091,0.5,0.667,0.647,True,False,False,0.0146,0.0243,False,not tested,True,moderate,False,-0.0933,0.2798,0.1865,0.1465,0.1899,broad-theme only
coenzyme a,cofactor,sulfur_antioxidant|redox_broad,0.6495,0.6835,8,0.4,False,False,0.9011,0.9126,12,0.6667,False,False,0.9852,0.9851,0.7183,0.826,28,0.8919,False,False,0.9818,1.0,1.0,0.98,True,True,True,0.0983,0.0588,False,not tested,True,moderate,False,-0.0229,0.2291,0.2061,0.1735,0.1931,broad-theme only
creatinine,small_nitrogenous,organic_acid_metabolism,0.6877,0.5362,1,0.1429,True,False,0.6521,0.5739,1,0.3333,True,False,0.9659,0.9615,0.8747,0.8434,1,0.25,True,True,0.9545,0.5,0.667,0.66,True,True,True,0.094,0.0365,False,not tested,True,weak,False,-0.0662,0.2676,0.2014,0.1536,0.1999,spectral+motif preserved; theme-specific
cysteine,amino_acid,sulfur_antioxidant,0.58,0.6821,15,0.5556,False,False,0.8088,0.9067,28,0.7,False,False,0.9608,0.962,0.6942,0.8634,34,0.8947,False,False,0.9455,1.0,1.0,0.98,True,True,True,0.1504,0.0493,False,not tested,True,moderate,False,-0.1001,0.3034,0.2033,0.1228,0.2075,broad-theme only
ergothioneine,cofactor,sulfur_antioxidant,0.2852,0.6473,50,1.0,False,False,0.7263,0.8607,50,0.9804,False,False,0.9582,0.9802,0.2507,0.5009,45,0.9375,False,False,0.8545,1.0,0.667,0.68,False,True,False,0.0269,0.0086,True,dose-response,True,strong,True,-0.0252,0.1709,0.1456,0.307,0.2571,perturbation-validated; matrix-recovered
