analyte,family,response_cluster
acetoacetate,organic_acid,7
acetyl-coa,cofactor,4
adenine,purine,6
alanine,amino_acid,1
albumin,protein,11
arginine,amino_acid,7
ascorbate,organic_acid,1
cholesterol,lipid,1
citrate,organic_acid,5
coenzyme a,cofactor,7
creatinine,small_nitrogenous,2
cysteine,amino_acid,7
dna,nucleic_acid,5
ergothioneine,cofactor,8
fructose,saccharide,5
fructose-6-phosphate,saccharide,5
galactose,saccharide,7
glucose,saccharide,2
glutamate,amino_acid,1
glutathione,cofactor,7
glycerol,polyol,3
glycine,amino_acid,1
glycogen,polysaccharide,7
guanine,purine,10
histidine,amino_acid,7
hydroxyproline,amino_acid,7
hypoxanthine,purine,6
isoleucine,amino_acid,7
lactate,organic_acid,7
leucine,amino_acid,3
mannose,saccharide,7
methionine,amino_acid,1
n-acetylglucosamine,saccharide,1
oleate,lipid,11
phenylalanine,amino_acid,7
phosphate,organic_acid,5
phosphatidylinositol,lipid,5
phosphoenolpyruvate,organic_acid,5
proline,amino_acid,7
pyruvate,organic_acid,1
riboflavin,cofactor,7
rna,nucleic_acid,5
serine,amino_acid,12
stearate,lipid,7
thymine,pyrimidine,5
triolein,lipid,1
tryptophan,amino_acid,7
tyrosine,amino_acid,7
uracil,pyrimidine,7
urate,purine,9
urea,small_nitrogenous,3
valine,amino_acid,7
xanthine,purine,10
