component,theme,confidence,math_stability,control_replicate_std,mean_abs_spike_response,n_dose_experiments_responsive,responsiveness_ratio,anchor_score
2,protein,high,0.964576736422927,0.002072053512198318,0.003205383314893706,5,1.5469589704437836,1.0
1,triglyceride,high,0.9547696084348872,0.0,0.0,4,0.0,0.9833333333333334
11,amino_acid,high,0.8861475674549741,0.0,0.0003363237884247079,5,336323.7884247079,0.9333333333333333
18,saccharide,high,0.8815820186902398,0.0022248642956572075,0.00580623417964631,6,2.609701446186294,0.9166666666666667
16,triglyceride,high,0.847159849131768,0.0026250569191139635,0.003631181731652002,5,1.3832768051371742,0.8833333333333333
17,pyrimidine,high,0.8191225449706104,0.0,0.0,5,0.0,0.8333333333333333
12,saccharide,high,0.7882346352756271,0.0030588500269865793,0.0029444402044401484,5,0.9625967980993365,0.8
15,purine,high,0.7870593910176347,0.0035326070015540647,0.009925086986476095,4,2.8095636374343975,0.7833333333333333
23,organic_acid,high,0.7808560619022411,0.002209448118795394,0.0030470263020565677,5,1.3790886950670431,0.7666666666666666
14,organic_acid,high,0.7692793335831107,0.0,0.000797817142937085,6,797817.1429370849,0.75
4,saccharide,high,0.768965074300029,0.0,0.00043249502156952224,5,432495.0215695222,0.7166666666666667
20,saccharide,high,0.7683940058713824,0.004498294822251906,0.016408558750583432,4,3.647727806031461,0.7
7,protein,moderate,0.9507620720279168,0.007090415619356317,0.015067040316055524,3,2.1249866016227608,0.6666666666666667
8,protein,moderate,0.9271861826524386,0.002615080660269665,0.005567674566057427,6,2.129063367559732,0.65
10,saccharide,high,0.6532960989378461,0.0,1.9814979132758494e-05,4,19814.979132758494,0.6166666666666667
6,protein,moderate,0.8723247155029927,0.002004820192151175,0.0033263963751446143,5,1.659198530107011,0.6000000000000001
19,protein,moderate,0.8250537575865076,0.002403217660221192,0.008292093447170565,5,3.450411560306111,0.5666666666666667
3,sterol,moderate,0.8229795579100498,0.0027824765006017873,0.011449506721147045,7,4.114860486264767,0.55
0,protein,moderate,0.8104774984025667,0.0010451925140926351,0.0019180542572988812,7,1.8351187903840025,0.5166666666666666
21,saccharide,moderate,0.7692501032918309,0.0,0.00010587711271186227,6,105877.11271186225,0.43333333333333335
5,amino_acid,moderate,0.7366471434983277,0.0006323390275054291,0.001174331106787956,7,1.857119675660376,0.3833333333333333
22,protein,moderate,0.7351590822288581,0.002678555657926448,0.007060297890403769,6,2.635859080863856,0.36666666666666664
9,amino_acid,moderate,0.7090347240491198,0.0051376207037768665,0.0044365540139278715,6,0.8635423683815386,0.35
13,pyrimidine,moderate,0.6640775233854204,0.0018886970453799662,0.0023319342108929003,7,1.2346781512254725,0.3333333333333333
