analyte,family,component,theme,weight
acetoacetate,organic_acid,3,sterol,0.023823375788258907
acetoacetate,organic_acid,7,protein,-0.02190136637971015
acetoacetate,organic_acid,20,saccharide,0.021184123447412995
acetoacetate,organic_acid,19,protein,-0.014097336243822804
acetyl-coa,cofactor,20,saccharide,0.010311183643586519
acetyl-coa,cofactor,3,sterol,0.005666993161697265
acetyl-coa,cofactor,9,amino_acid,-0.005481344626298693
acetyl-coa,cofactor,19,protein,0.0053032657695630744
adenine,purine,3,sterol,0.046759476400122416
adenine,purine,7,protein,-0.03313291160717154
adenine,purine,15,purine,-0.02614812664045782
adenine,purine,19,protein,-0.02564682653167251
alanine,amino_acid,20,saccharide,0.00980257626951625
alanine,amino_acid,22,protein,0.006176365955305343
alanine,amino_acid,18,saccharide,0.004454018951181332
alanine,amino_acid,13,pyrimidine,-0.004415221417983652
albumin,protein,15,purine,-0.044820610867839755
albumin,protein,7,protein,-0.037172193400537026
albumin,protein,23,organic_acid,0.029805249683929953
albumin,protein,20,saccharide,-0.025024930056382205
arginine,amino_acid,7,protein,-0.025009868346646105
arginine,amino_acid,20,saccharide,0.024549227658882677
arginine,amino_acid,3,sterol,0.015928070827587234
arginine,amino_acid,8,protein,-0.009852621274394506
ascorbate,organic_acid,20,saccharide,0.010167737989322856
ascorbate,organic_acid,8,protein,0.004376821098868652
ascorbate,organic_acid,6,protein,-0.004205105838633417
ascorbate,organic_acid,9,amino_acid,-0.003965547427174809
cholesterol,lipid,20,saccharide,0.008972776435583196
cholesterol,lipid,22,protein,0.005814560989053502
cholesterol,lipid,9,amino_acid,-0.00493704867100013
cholesterol,lipid,15,purine,0.004924697468443789
citrate,organic_acid,7,protein,-0.010771997894206103
citrate,organic_acid,20,saccharide,0.010753035550366608
citrate,organic_acid,22,protein,0.007796475729447342
citrate,organic_acid,19,protein,-0.005880646525030647
coenzyme a,cofactor,20,saccharide,0.02273620387821007
coenzyme a,cofactor,3,sterol,0.013205280144149008
coenzyme a,cofactor,7,protein,-0.012654471560855224
coenzyme a,cofactor,9,amino_acid,-0.008101421408877721
creatinine,small_nitrogenous,22,protein,0.008700044142116822
creatinine,small_nitrogenous,19,protein,0.008548789330999312
creatinine,small_nitrogenous,20,saccharide,0.00805131988807889
creatinine,small_nitrogenous,9,amino_acid,-0.007702631840170254
cysteine,amino_acid,20,saccharide,0.016336906062393797
cysteine,amino_acid,7,protein,-0.016125914910117625
cysteine,amino_acid,3,sterol,0.006704898474215969
cysteine,amino_acid,8,protein,-0.003717409821626265
dna,nucleic_acid,7,protein,-0.013102624432889481
dna,nucleic_acid,20,saccharide,0.011085560412536166
dna,nucleic_acid,22,protein,0.009941328417327484
dna,nucleic_acid,19,protein,-0.007221624794990632
ergothioneine,cofactor,18,saccharide,0.06939282135168895
ergothioneine,cofactor,22,protein,0.03812073149246456
ergothioneine,cofactor,7,protein,-0.03720568322699633
ergothioneine,cofactor,15,purine,-0.020728506458433743
fructose,saccharide,7,protein,-0.01699484151280336
fructose,saccharide,20,saccharide,0.012841134664516418
fructose,saccharide,22,protein,0.011152628031604921
fructose,saccharide,19,protein,-0.009343741777533963
fructose-6-phosphate,saccharide,20,saccharide,0.008630602286889832
fructose-6-phosphate,saccharide,7,protein,-0.007235949860576532
fructose-6-phosphate,saccharide,22,protein,0.007164530021125182
fructose-6-phosphate,saccharide,18,saccharide,0.005322722846152872
galactose,saccharide,20,saccharide,0.02602774563667931
galactose,saccharide,7,protein,-0.02033264942814452
galactose,saccharide,3,sterol,0.01536571459166489
galactose,saccharide,8,protein,-0.009691093108023019
glucose,saccharide,20,saccharide,0.0068922763067314485
glucose,saccharide,22,protein,0.006165116730498984
glucose,saccharide,9,amino_acid,-0.0056688196264944035
glucose,saccharide,7,protein,0.0037880736800725845
glutamate,amino_acid,20,saccharide,0.012569619505259755
glutamate,amino_acid,22,protein,0.005429565248447763
glutamate,amino_acid,16,triglyceride,-0.0035221462442564903
glutamate,amino_acid,6,protein,-0.0035032759114498567
glutathione,cofactor,20,saccharide,0.022764261105521988
glutathione,cofactor,3,sterol,0.009613247325245811
glutathione,cofactor,9,amino_acid,-0.007353299715197742
glutathione,cofactor,7,protein,-0.0071931750339870315
glycerol,polyol,7,protein,0.014759949627192903
glycerol,polyol,9,amino_acid,-0.00901501427540094
glycerol,polyol,19,protein,0.007966202909021572
glycerol,polyol,12,saccharide,-0.0044000016011965125
glycine,amino_acid,20,saccharide,0.00908243730735897
glycine,amino_acid,9,amino_acid,-0.0053715959162088656
glycine,amino_acid,19,protein,0.004621470011061529
glycine,amino_acid,6,protein,-0.0044780344194796755
glycogen,polysaccharide,20,saccharide,0.023449241473457172
glycogen,polysaccharide,7,protein,-0.008613701394653589
glycogen,polysaccharide,3,sterol,0.007806290270009227
glycogen,polysaccharide,18,saccharide,0.006430560890557838
guanine,purine,15,purine,0.05085105738820356
guanine,purine,19,protein,0.030201580594295875
guanine,purine,7,protein,-0.026697680406258986
guanine,purine,3,sterol,0.023167099485140345
histidine,amino_acid,7,protein,-0.027123965324344843
histidine,amino_acid,20,saccharide,0.022620134935717795
histidine,amino_acid,3,sterol,0.020868551648530406
histidine,amino_acid,15,purine,-0.014513445851298212
hydroxyproline,amino_acid,7,protein,-0.031010343293912626
hydroxyproline,amino_acid,20,saccharide,0.02534300052707883
hydroxyproline,amino_acid,3,sterol,0.020434102303383588
hydroxyproline,amino_acid,19,protein,-0.015553432182607067
hypoxanthine,purine,3,sterol,0.09413574422720211
hypoxanthine,purine,19,protein,-0.04536764437117061
hypoxanthine,purine,15,purine,-0.030007539253032123
hypoxanthine,purine,13,pyrimidine,0.018393190715487263
isoleucine,amino_acid,7,protein,-0.026986004350164405
isoleucine,amino_acid,20,saccharide,0.024207143718905144
isoleucine,amino_acid,3,sterol,0.01901202856207297
isoleucine,amino_acid,8,protein,-0.00852225539247222
lactate,organic_acid,7,protein,-0.020819566957712664
lactate,organic_acid,20,saccharide,0.017564751164141745
lactate,organic_acid,3,sterol,0.011255606927284691
lactate,organic_acid,8,protein,-0.00659048942235832
leucine,amino_acid,7,protein,0.008030432812685048
leucine,amino_acid,9,amino_acid,-0.005612654666581979
leucine,amino_acid,20,saccharide,0.0049603834993704465
leucine,amino_acid,19,protein,0.004792497687403009
mannose,saccharide,7,protein,-0.023251184957226147
mannose,saccharide,20,saccharide,0.02320563073159737
mannose,saccharide,3,sterol,0.019224284961273447
mannose,saccharide,19,protein,-0.012448294043737165
methionine,amino_acid,20,saccharide,0.010814772369967696
methionine,amino_acid,22,protein,0.007960127759073763
methionine,amino_acid,15,purine,0.0067516278227434945
methionine,amino_acid,7,protein,-0.005894133889436409
n-acetylglucosamine,saccharide,20,saccharide,0.008455492377516194
n-acetylglucosamine,saccharide,22,protein,0.007208861142453844
n-acetylglucosamine,saccharide,3,sterol,-0.004539882456048611
n-acetylglucosamine,saccharide,2,protein,-0.0030094695326584532
oleate,lipid,15,purine,-0.06666898863435405
oleate,lipid,20,saccharide,-0.05209853977565915
oleate,lipid,23,organic_acid,0.03722532689562947
oleate,lipid,14,organic_acid,0.021890098872094803
phenylalanine,amino_acid,3,sterol,0.022202045555995916
phenylalanine,amino_acid,20,saccharide,0.02056293307824336
phenylalanine,amino_acid,7,protein,-0.015730020587422303
phenylalanine,amino_acid,8,protein,-0.010671760113587898
phosphate,organic_acid,7,protein,-0.007510618573217789
phosphate,organic_acid,22,protein,0.005688094391562263
phosphate,organic_acid,20,saccharide,0.0037674799011860327
phosphate,organic_acid,19,protein,-0.00327883038921567
phosphatidylinositol,lipid,20,saccharide,0.011257914997939045
phosphatidylinositol,lipid,7,protein,-0.008533513212496374
phosphatidylinositol,lipid,22,protein,0.0051960222008485425
phosphatidylinositol,lipid,0,protein,-0.002914597767221992
phosphoenolpyruvate,organic_acid,20,saccharide,0.014128196059529474
phosphoenolpyruvate,organic_acid,7,protein,-0.013888583448445499
phosphoenolpyruvate,organic_acid,22,protein,0.007857539471337183
phosphoenolpyruvate,organic_acid,19,protein,-0.005270692212162469
