component,levels,mean,sem,delta_final,effect_size,spearman_rho,spearman_p,direction,linear_r2,saturating_r2,saturating_K,responsive,experiment
0,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.00722388124773165, 0.024765965996884874, 0.038640740510572036, 0.04457808416147268, 0.053750717090197096, 0.061191577676398524, 0.0577236511172095, 0.07303314029889789, 0.07772418790082626, 0.07443409198801, 0.06903072020503206, 0.0724243699623975, 0.07267588835203671, 0.08312788026610968]","[0.002051586497212712, 0.004897026662827274, 0.006906556666120155, 0.006634564643927687, 0.006669529462306974, 0.00917094778101879, 0.00692431402749846, 0.007627974470527572, 0.009473304244000573, 0.007043339992880622, 0.005808537827920665, 0.008008812307691992, 0.006494788289365377, 0.008873029118663864]",0.07590399901837802,11.002364776513753,0.8725274725274725,4.680621207250763e-05,up,0.7569494669181372,0.9438258768741898,0.509463934905284,True,adenine::cAg@532nm
1,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.07692455197971831, 0.09787053974515923, 0.08144561030409482, 0.10910673581388987, 0.11405774830087217, 0.10795627549715661, 0.12352547775273548, 0.11230320445995254, 0.11020030108900117, 0.10295584759144755, 0.11411394295441218, 0.10929954960987301, 0.10921324223389833, 0.10700794746464286]","[0.024808068094089378, 0.028090860097264695, 0.027535294816087002, 0.02866150834700395, 0.027663335707485786, 0.02782492217795723, 0.027717799742360452, 0.022738620493733142, 0.026768812268323693, 0.022744484970584344, 0.019326478205720858, 0.025159837782684248, 0.023331084737370392, 0.02840913885360303]",0.030083395484924544,1.1673796577601583,0.39780219780219783,0.1589507745108346,up,0.2865382467581634,0.6517379067922366,0.19563318705174337,False,adenine::cAg@532nm
2,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.06524179102466142, 0.055978291477943656, 0.041463051881258164, 0.040498683305871946, 0.02291316681422236, 0.018189138519192734, 0.016561007039112334, 0.00315053889139285, 0.00833651182477359, 0.005619030885027221, 0.008050034589580412, 0.007757159021157367, 0.007437455005027238, 0.0066577755732356615]","[0.008359017841026673, 0.00795723042503725, 0.00724595401330974, 0.005022288044046204, 0.0047443647532647865, 0.0049095755660675065, 0.004807535777414896, 0.0016315930719588707, 0.0037550857582310444, 0.002861195916909603, 0.003053630594405133, 0.0033282114778333998, 0.0038831906019281344, 0.0035410604106948162]",-0.05858401545142576,-12.598723015008693,-0.8637362637362638,6.846377605646036e-05,down,0.7271316036691311,0.9269780823730129,0.5577807466201148,True,adenine::cAg@532nm
3,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.041265834409975555, 0.10342027064785823, 0.13183564752337762, 0.1397624150785296, 0.1924076395529637, 0.19208795148201643, 0.19481675730644463, 0.21153281501952972, 0.23072186848414555, 0.24910750654284675, 0.2320308321146987, 0.2322235851237543, 0.24362926435235036, 0.2585729222498751]","[0.0056134896669136364, 0.013097743957303174, 0.012287612791710912, 0.015898657073703422, 0.01622998631268285, 0.01755007205891286, 0.01684683924684974, 0.019875462417795895, 0.021199847081569776, 0.019155989000888357, 0.015849615199158822, 0.02248066458146241, 0.021699717789210416, 0.02265256876394999]",0.21730708783989955,12.653140051122703,0.9692307692307693,1.1465229425475094e-08,up,0.8023529145796181,0.970414722261838,0.5466309920340162,True,adenine::cAg@532nm
4,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.00643420509252565, 0.003218453970119534, 0.0007230745030356223, 0.0034052893690248442, 0.0021287681044087504, 0.0011302070387010277, 0.0014995843498574056, 0.0021461061527006443, 0.001246677358417, 0.0014736120109607334, 0.0023588235298065223, 0.0019345493553141612, 0.0019134280617590723, 0.0011774220903379721]","[0.002656431946815717, 0.001286394049916818, 0.0004139235187428078, 0.0017137910686081796, 0.0013719528714211545, 0.0007192318203757739, 0.0008200926889287592, 0.0015303877607249227, 0.0008311910648612788, 0.0010533519023620892, 0.001073658992178583, 0.0012136951965574354, 0.0011024292332971405, 0.0011442485947814858]",-0.005256783002187677,-4.346810843381095,-0.3494505494505495,0.22068999774644735,down,0.2297540557682372,0.7376581915494933,0.036132142239657314,False,adenine::cAg@532nm
5,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.016441982827126802, 0.014578807143207036, 0.011636897964742857, 0.010011604295407504, 0.0058904342339055555, 0.003768500364264628, 0.004952796754336839, 0.004058350794957114, 0.000668905642088, 0.0012149656670473001, 0.001083390725888347, 0.00023622266532328888, 0.00021153596542599444, 0.0005649052844870615]","[0.0020849295689224475, 0.002143385519695197, 0.001844801206366923, 0.0017010753622039069, 0.0013262218389598491, 0.0008738879544011262, 0.0012216166369466532, 0.0010705429227913829, 0.00024672148278658207, 0.0004034359053642845, 0.00028687949711263993, 0.00014407960815923993, 0.0001726512232285342, 0.00022134430194190702]",-0.015877077542639742,-16.175648790040977,-0.9604395604395607,5.08105389232908e-08,down,0.8115800374262347,0.9451143523103537,0.7617257271992336,True,adenine::cAg@532nm
6,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.022279677145739897, 0.023245607746038326, 0.022721753105760224, 0.021062747641433902, 0.025666679413755396, 0.025723529821688337, 0.02591738560836518, 0.026235207526589494, 0.029890457177582194, 0.031745713000817584, 0.028032333658206107, 0.029195383334411414, 0.02923134213918763, 0.031602075470411856]","[0.004763391001449002, 0.004076406838400924, 0.00432643977663743, 0.0037556370178166926, 0.0034204659467394426, 0.0024543966938335537, 0.0029848585718991135, 0.003166527046861011, 0.0023146457838259314, 0.0019237281428064145, 0.0015542827090737447, 0.0017791918249988746, 0.002031357953000495, 0.002179584640887602]",0.009322398324671959,3.204286843434861,0.8857142857142857,2.5040044989174716e-05,up,0.7636108819797125,0.7805728273957118,3.285641153506727,True,adenine::cAg@532nm
7,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.07770844719855602, 0.07651200269889981, 0.0807386850420627, 0.0743045059921614, 0.0651780040814705, 0.060751051629756546, 0.06019050342406402, 0.04798495348857267, 0.0433701505960324, 0.04263318094685343, 0.04147560189136304, 0.04209649679274267, 0.038819122608926754, 0.036417150453311974]","[0.013705377389669893, 0.013467993330469313, 0.01062271735040233, 0.009726104032807768, 0.00881902917762512, 0.008146331336428161, 0.006728132353044282, 0.005621617778097502, 0.005165125767291896, 0.005278392028514586, 0.0040044891168821775, 0.0055682859424501545, 0.0056383898674852145, 0.004477132155512597]",-0.041291296745244045,-5.404158617000759,-0.9824175824175824,4.1071830416421485e-10,down,0.9063026481846965,0.9300467556801242,2.956182601581636,True,adenine::cAg@532nm
8,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.1876659375119307, 0.16505641009284552, 0.16398750648997035, 0.1443998857686463, 0.12091403524935711, 0.1111223396340994, 0.10788305173580347, 0.08724809445381657, 0.06931206313253245, 0.07224453440574768, 0.07259159901601929, 0.07016806750759158, 0.06482845678263115, 0.054344286130945746]","[0.028233092270869037, 0.026673484873602892, 0.021384588575228416, 0.021216169456615936, 0.018505924493063115, 0.015937133373781946, 0.011469477830283053, 0.009238365263947713, 0.010308653375188825, 0.010790234560883856, 0.008178013307330536, 0.012568961976335707, 0.011958096382113934, 0.008632750706977077]",-0.13332165138098495,-8.677577175502687,-0.9692307692307693,1.1465229425475094e-08,down,0.8900557926719378,0.9688872653701331,1.1863657980319195,True,adenine::cAg@532nm
9,"[0.0, 0.2, 0.23, 0.4, 0.6, 0.61, 0.8, 1.0, 1.03, 1.2, 1.4, 1.6, 1.8, 1.82]","[0.029875113546931294, 0.0427385528733527, 0.05054712507679325, 0.05679206713075348, 0.061121067143402215, 0.06104761291698177, 0.06060218461876764, 0.07245874100398057, 0.07267904609824845, 0.07119463455220515, 0.06709323156241122, 0.06842834518995503, 0.06871589389339854, 0.07697392578961186]","[0.006751175822637323, 0.007843888134502753, 0.008104314945554426, 0.006969955737684936, 0.007248549439022185, 0.006809403550511293, 0.00663874490928369, 0.006268856989288507, 0.005715472121764239, 0.004721863929602459, 0.004285219608420516, 0.00553672412501077, 0.005363183875145173, 0.005275371319873929]",0.04709881224268057,7.532991457076228,0.8505494505494505,0.00011565615890988969,up,0.7053205508272966,0.9299185982008288,0.40076495810844487,True,adenine::cAg@532nm
