experiment,analyte,component,effect_rank,theme,theme_class,theme_confidence,rho,effect_size,direction,theme_matches_analyte,analyte_loads_this_component
adenine::cAg@532nm,adenine,12,0,saccharide,carbohydrate,high,-0.7299897433679042,-34.88659466175698,down,False,False
adenine::cAg@532nm,adenine,5,1,amino_acid,protein/peptide,moderate,-0.9604395604395607,-16.175648790040977,down,False,False
adenine::cAg@532nm,adenine,19,2,protein,cofactor/small-molecule,moderate,-0.7538461538461538,-15.919780703980692,down,False,False
adenine::cAg@532nm,adenine,3,3,sterol,lipid,moderate,0.9692307692307693,12.653140051122703,up,False,True
adenine::cAg@532nm,adenine,2,4,protein,protein/peptide,high,-0.8637362637362638,-12.598723015008693,down,False,False
adenine::cAg@532nm,adenine,13,5,pyrimidine,nucleic,moderate,0.9252747252747253,11.417386033608128,up,True,False
adenine::cAg@532nm,adenine,0,6,protein,protein/peptide,moderate,0.8725274725274725,11.002364776513753,up,False,False
adenine::cAg@532nm,adenine,18,7,saccharide,carbohydrate,high,-0.8373626373626375,-9.846889753199365,down,False,False
adenine::cAg@532nm,adenine,8,8,protein,protein/peptide,moderate,-0.9692307692307693,-8.677577175502687,down,False,False
adenine::cAg@532nm,adenine,22,9,protein,protein/peptide,moderate,-0.745054945054945,-8.283394742966149,down,False,False
adenine::cAg@532nm,adenine,23,10,organic_acid,cofactor/small-molecule,high,-0.8857142857142857,-8.104909550251234,down,False,False
adenine::cAg@532nm,adenine,9,11,amino_acid,protein/peptide,moderate,0.8505494505494505,7.532991457076228,up,False,False
adenine::cAg@532nm,adenine,20,12,saccharide,carbohydrate,high,-0.9252747252747253,-6.098081347005408,down,False,False
adenine::cAg@532nm,adenine,21,13,saccharide,carbohydrate,moderate,-0.9780219780219781,-5.609603213902882,down,False,False
adenine::cAg@532nm,adenine,7,14,protein,lipid,moderate,-0.9824175824175824,-5.404158617000759,down,False,False
adenine::cAg@532nm,adenine,14,15,organic_acid,protein/peptide,high,-0.956043956043956,-4.271090422571033,down,False,False
adenine::cAg@532nm,adenine,6,16,protein,protein/peptide,moderate,0.8857142857142857,3.204286843434861,up,False,False
adenine::cAg@532nm,adenine,16,17,triglyceride,lipid,high,0.8109890109890111,1.2713459624743622,up,False,False
adenine::cAg@785nm,adenine,3,0,sterol,lipid,moderate,0.9956043956043955,26.233550309895115,up,False,True
adenine::cAg@785nm,adenine,2,1,protein,protein/peptide,high,-0.7983499466791725,-22.0778125124397,down,False,False
adenine::cAg@785nm,adenine,13,2,pyrimidine,nucleic,moderate,0.9956043956043955,19.128808635878347,up,True,False
adenine::cAg@785nm,adenine,4,3,saccharide,carbohydrate,high,-0.832967032967033,-18.65523816880132,down,False,False
adenine::cAg@785nm,adenine,5,4,amino_acid,protein/peptide,moderate,-0.9956043956043955,-15.078060419222123,down,False,False
adenine::cAg@785nm,adenine,22,5,protein,protein/peptide,moderate,-0.9736263736263736,-13.17021699162206,down,False,False
adenine::cAg@785nm,adenine,19,6,protein,cofactor/small-molecule,moderate,-0.860053091335668,-12.20598886424049,down,False,False
adenine::cAg@785nm,adenine,18,7,saccharide,carbohydrate,high,-0.9912087912087912,-10.875819874291045,down,False,False
