analyte,family,consistency_cosine,spike_norm,pure_norm
acetoacetate,organic_acid,0.3477974748424875,0.04653680368586352,0.08729708194907061
acetyl-coa,cofactor,-0.17570598248524702,0.015752979762956348,0.03895722246979884
adenine,purine,0.07959940003995117,0.07447013812871686,0.06228517841696929
alanine,amino_acid,-0.2113020291244053,0.015611719250958039,0.025582849865764475
albumin,protein,0.04841293274549852,0.0792111281500245,0.10746803397163447
arginine,amino_acid,-0.11942770235040664,0.04324134092943025,0.06277351721023235
ascorbate,organic_acid,0.4810128171902249,0.014575054307182797,0.050630040393755335
cholesterol,lipid,-0.15960991153430854,0.015862131579978372,0.2345846452241046
citrate,organic_acid,0.04029517723929733,0.020317593251661974,0.03866581801481298
coenzyme a,cofactor,-0.22853213100392333,0.032953546822418474,0.05041602437228336
creatinine,small_nitrogenous,0.5842931221425854,0.018195726744573534,0.08708148162238244
cysteine,amino_acid,-0.02101876281986017,0.025203271264963203,0.04591342988380184
dna,nucleic_acid,-0.05047264754483468,0.023970362864302847,0.03318805950058654
ergothioneine,cofactor,0.5341947369407104,0.09792415776576074,0.29246210118837374
fructose,saccharide,0.11971304980402676,0.027777671511952203,0.036848902792075394
fructose-6-phosphate,saccharide,-0.27285527317878094,0.016186314137763117,0.03357319221603841
galactose,saccharide,-0.012350636607394215,0.04078743255290703,0.03535084455261843
glucose,saccharide,-0.2570637447167497,0.014323136852422846,0.03404027950272837
glutamate,amino_acid,-0.28012113081419454,0.015637923477676185,0.055651611093387655
glutathione,cofactor,-0.10481145091230704,0.02872636339570623,0.10226967612260775
glycerol,polyol,0.2557177169016629,0.0205620483343403,0.039963268589874965
glycine,amino_acid,-0.0332559191656419,0.015389040876664886,0.04821318563645922
glycogen,polysaccharide,0.05805194374530537,0.02938495683180624,0.0424026704258297
guanine,purine,0.4020835316285442,0.08034864644692132,0.15277994235199718
histidine,amino_acid,-0.1346657170354481,0.048883055705889494,0.03317484226524115
hydroxyproline,amino_acid,-0.14837158089534894,0.053087448034400804,0.027690694892134597
hypoxanthine,purine,0.8887682273459605,0.11371206515706445,0.17519751134586717
isoleucine,amino_acid,-0.028994510623372192,0.04521679692011292,0.04524478028312379
lactate,organic_acid,-0.3064566878397528,0.03160731813326142,0.0426291264846786
leucine,amino_acid,0.13212876526752465,0.014948390955432555,0.03715544971953484
mannose,saccharide,-0.07802822774088995,0.04465280024736771,0.03029692223559379
methionine,amino_acid,-0.23414417824436384,0.018635911657296295,0.029511769436377382
n-acetylglucosamine,saccharide,-0.13249187644482924,0.013515075806527492,0.03923589760683376
oleate,lipid,-0.12394797465706901,0.10751972607960036,0.03029379724019429
phenylalanine,amino_acid,0.05883390721617052,0.038877268974990505,0.039854978701289866
phosphate,organic_acid,0.0436825001948737,0.012726929182476738,0.03021261059628321
phosphatidylinositol,lipid,0.05616473428049143,0.0169092719159597,0.04578240475281459
phosphoenolpyruvate,organic_acid,-0.1622846350560124,0.023917979266097854,0.030266157641976862
proline,amino_acid,0.1724959595360088,0.03985723451904418,0.04861980877385464
pyruvate,organic_acid,0.045178383076346584,0.016158921874694913,0.03675594574808251
riboflavin,cofactor,-0.036890499332126694,0.029772137273046926,0.04174176757687121
rna,nucleic_acid,-0.24724011618602407,0.02565683110664334,0.04812289410721658
serine,amino_acid,0.0184324191490813,0.028506607647393344,0.04363783878775713
stearate,lipid,0.11139592784691923,0.04226620322149918,0.07525047060158918
thymine,pyrimidine,-0.06860665475540509,0.017763513575251782,0.05899221331100866
triolein,lipid,0.10265758389989899,0.015361439537782883,0.033688757026779176
tryptophan,amino_acid,-0.19422292412071882,0.038026992181487536,0.08005141841365807
tyrosine,amino_acid,0.008781958148799762,0.03265987871942721,0.04141438934392408
uracil,pyrimidine,0.11800023998927572,0.03531573579596341,0.0634063440331419
urate,purine,0.06914729900799219,0.05242540269653838,0.2674692603656162
urea,small_nitrogenous,-0.14987385511285803,0.01111098819372063,0.19992407541365112
valine,amino_acid,0.03269618116070222,0.03364942887709816,0.0396247835720624
xanthine,purine,0.7355725406899487,0.12017291355547569,0.294439576534262
