analyte,family,responder,activation_norm,n_significant,response_entropy,consistency_with_pure
acetoacetate,organic_acid,False,0.04653680368586352,13,0.8336545393590397,0.3477974748424875
acetyl-coa,cofactor,False,0.015752979762956348,11,0.8382753282710571,-0.17570598248524702
adenine,purine,False,0.07447013812871686,13,0.8045829511117703,0.07959940003995117
alanine,amino_acid,False,0.015611719250958039,13,0.8950947953988396,-0.2113020291244053
albumin,protein,False,0.0792111281500245,10,0.82339057916158,0.04841293274549852
arginine,amino_acid,False,0.04324134092943025,14,0.8396870881478611,-0.11942770235040664
ascorbate,organic_acid,True,0.014575054307182797,12,0.9014194270689059,0.4810128171902249
cholesterol,lipid,False,0.015862131579978372,14,0.9223485112818031,-0.15960991153430854
citrate,organic_acid,False,0.020317593251661974,13,0.8944135779255067,0.04029517723929733
coenzyme a,cofactor,False,0.032953546822418474,13,0.8223254966267414,-0.22853213100392333
creatinine,small_nitrogenous,True,0.018195726744573534,14,0.8661299652524435,0.5842931221425854
cysteine,amino_acid,False,0.025203271264963203,10,0.7647948056120044,-0.02101876281986017
dna,nucleic_acid,False,0.023970362864302847,12,0.8924555277041432,-0.05047264754483468
ergothioneine,cofactor,True,0.09792415776576074,16,0.8445615787969908,0.5341947369407104
fructose,saccharide,False,0.027777671511952203,14,0.8536734840857412,0.11971304980402676
fructose-6-phosphate,saccharide,False,0.016186314137763117,11,0.8725901325740232,-0.27285527317878094
galactose,saccharide,False,0.04078743255290703,15,0.8543784253875158,-0.012350636607394215
glucose,saccharide,False,0.014323136852422846,14,0.9353956019521134,-0.2570637447167497
glutamate,amino_acid,False,0.015637923477676185,10,0.7981022556684245,-0.28012113081419454
glutathione,cofactor,False,0.02872636339570623,13,0.8371954603897994,-0.10481145091230704
glycerol,polyol,False,0.0205620483343403,9,0.835403397476489,0.2557177169016629
glycine,amino_acid,False,0.015389040876664886,16,0.9334144322675165,-0.0332559191656419
glycogen,polysaccharide,False,0.02938495683180624,14,0.8449231557789375,0.05805194374530537
guanine,purine,True,0.08034864644692132,17,0.8722961871510992,0.4020835316285442
histidine,amino_acid,False,0.048883055705889494,15,0.8582506304706774,-0.1346657170354481
hydroxyproline,amino_acid,False,0.053087448034400804,15,0.8469583517477653,-0.14837158089534894
hypoxanthine,purine,True,0.11371206515706445,16,0.7572389857333822,0.8887682273459605
isoleucine,amino_acid,False,0.04521679692011292,15,0.8544091523305137,-0.028994510623372192
lactate,organic_acid,False,0.03160731813326142,12,0.7796428597605108,-0.3064566878397528
leucine,amino_acid,False,0.014948390955432555,13,0.9025674981012487,0.13212876526752465
mannose,saccharide,False,0.04465280024736771,14,0.8467565037707745,-0.07802822774088995
methionine,amino_acid,False,0.018635911657296295,11,0.9142870067890436,-0.23414417824436384
n-acetylglucosamine,saccharide,False,0.013515075806527492,9,0.8530245955457236,-0.13249187644482924
oleate,lipid,False,0.10751972607960036,17,0.8941178026905321,-0.12394797465706901
phenylalanine,amino_acid,False,0.038877268974990505,14,0.8189120292197039,0.05883390721617052
phosphate,organic_acid,False,0.012726929182476738,12,0.8959069822635342,0.0436825001948737
phosphatidylinositol,lipid,False,0.0169092719159597,10,0.8616979348863449,0.05616473428049143
phosphoenolpyruvate,organic_acid,False,0.023917979266097854,15,0.8774680149748251,-0.1622846350560124
proline,amino_acid,False,0.03985723451904418,12,0.7954416194734295,0.1724959595360088
pyruvate,organic_acid,False,0.016158921874694913,13,0.8838788606955958,0.045178383076346584
riboflavin,cofactor,False,0.029772137273046926,14,0.8613328379039609,-0.036890499332126694
rna,nucleic_acid,False,0.02565683110664334,15,0.8833610493660479,-0.24724011618602407
serine,amino_acid,False,0.028506607647393344,9,0.8750234118938435,0.0184324191490813
stearate,lipid,False,0.04226620322149918,12,0.8559612617303008,0.11139592784691923
thymine,pyrimidine,False,0.017763513575251782,13,0.886202291089782,-0.06860665475540509
triolein,lipid,False,0.015361439537782883,10,0.8894602256481144,0.10265758389989899
tryptophan,amino_acid,False,0.038026992181487536,15,0.8381509397256222,-0.19422292412071882
tyrosine,amino_acid,False,0.03265987871942721,12,0.8686681730714814,0.008781958148799762
uracil,pyrimidine,False,0.03531573579596341,14,0.8292442929809242,0.11800023998927572
urate,purine,False,0.05242540269653838,14,0.8403649407407493,0.06914729900799219
urea,small_nitrogenous,False,0.01111098819372063,13,0.899324628426713,-0.14987385511285803
valine,amino_acid,False,0.03364942887709816,10,0.8248598108419793,0.03269618116070222
xanthine,purine,True,0.12017291355547569,17,0.7863796371894871,0.7355725406899487
