canonical_analyte_name,modality,source_dataset,substrate_geometry,n_observations,excitations
1-Hydroxy-2-naphthoic acid,sers,ag_flakes_metabolites_24,orc_roughened,1,[]
1-METHYLNICOTINAMIDE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
1-NAPHTHYLAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
12-methyltetradecanoic acid,raman,RamanBioLib,none,1,[785.0]
13-methylmyristicacid,raman,RamanBioLib,none,1,[785.0]
14-methylhexadecanoic acid,raman,RamanBioLib,none,1,[785.0]
14-methylpentadecanoic acid,raman,RamanBioLib,none,1,[785.0]
15-methylpalmiticacid,raman,RamanBioLib,none,1,[785.0]
2-(Methylamino)isobutyric acid,sers,ag_flakes_metabolites_24,orc_roughened,1,[]
2-QUINOLINECARBOXYLIC ACID,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
2-deoxy-d-ribose,raman,RamanBioLib,none,1,[1064.0]
"3',5'-CYCLIC AMP",sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
3-METHOXYTYRAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
3-METHYLADENINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
4-IMIDAZOLEACETIC ACID,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
5-OXO-L-PROLINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
AGMATINE SULFATE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
Adenine,sers,adenine_sers_control,colloid,6,[785.0]
BILIVERDIN,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
BIS(3-AMINOPROPYL)AMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
CAFFEINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
CARBAMOYL PHOSPHATE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
CYSTEAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
CYTOCHROME C,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
Cer(d18:1/24:1(15Z)),sers,ag_flakes_metabolites_24,orc_roughened,1,[]
Cys-Gly,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
DETHIOBIOTIN,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
DOPAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
Dihydrofolate,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
GLUTATHIONE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
HISTAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
