spectrum_id,analyte_id,canonical_analyte_name,source_dataset,raw_path,modality,sers_or_raman,substrate_material,substrate_geometry,colloid_or_planar,excitation_nm,instrument,matrix,concentration,replicate,independent_measurement,raw_or_processed,wavenumber_min,wavenumber_max,point_count,quality_flags,intended_role,allowed_for_representation_learning,allowed_for_evaluation_only,acquisition_domain,admitted_to_joint_analysis,admission_reason,has_full_spectrum
ramanbiolib::1,rbl::12-methyltetradecanoic acid,12-methyltetradecanoic acid,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::2,rbl::13-methylmyristicacid,13-methylmyristicacid,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::3,rbl::14-methylhexadecanoic acid,14-methylhexadecanoic acid,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::4,rbl::14-methylpentadecanoic acid,14-methylpentadecanoic acid,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::5,rbl::15-methylpalmiticacid,15-methylpalmiticacid,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::6,rbl::acetoacetate,acetoacetate,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::7,rbl::acetyl coenzyme a,acetyl coenzyme a,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::8,rbl::adenine,adenine,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::9,rbl::amylopectin,amylopectin,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::10,rbl::amylose,amylose,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::11,rbl::ascorbic acid,ascorbic acid,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
ramanbiolib::12,rbl::cellulose,cellulose,RamanBioLib,/Users/surajpg/projects/GAIRA/streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,raman,raman,CaF2 slide,none,none,785.0,digitized(literature),powder/standard,n/a,1,True,"processed(digitized,norm)",450.0,1800.0,1351,,grounding,True,False,raman|none|785.0,True,ok,True
