spectrum_id,canonical_analyte,raw_name,modality,source,excitation_nm,replicate,concentration,intended_role,raw_or_processed,admission_gate_ok,admission_gate_reason,is_785,entered_representation,exclude_reason,non_small_molecule_flag,wavenumber_min,wavenumber_max,point_count
ramanbiolib::1,12-methyltetradecanoic acid,12-methyltetradecanoic acid,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::2,13-methylmyristicacid,13-methylmyristicacid,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::3,14-methylhexadecanoic acid,14-methylhexadecanoic acid,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::4,14-methylpentadecanoic acid,14-methylpentadecanoic acid,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::5,15-methylpalmiticacid,15-methylpalmiticacid,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::6,acetoacetate,acetoacetate,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::7,acetyl coenzyme a,acetyl coenzyme a,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::8,adenine,adenine,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::9,amylopectin,amylopectin,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::10,amylose,amylose,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::11,ascorbate,ascorbic acid,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
ramanbiolib::12,cellulose,cellulose,raman,RamanBioLib,785.0,1,n/a,grounding,"processed(digitized,norm)",True,ok,True,True,,False,450.0,1800.0,1351
