cid,cfg_background,cfg_bg_params,bg_variance_explained,cm_mrr,cm_top1,pk_effect_vs_mismatched,rep_sers_replicate_cos,chem_sers_1nn,rejected,reject_reasons
D_none0,none,{},0.0,0.3853018332677423,0.1956818181818182,-0.0017047397592299,0.9235669760974664,0.9125454545454544,False,
D_mean1,mean,{},0.014951372398139,0.3565423225764134,0.1713636363636363,-5.234460855827114e-05,0.7822364095531565,0.8932727272727272,True,sers_replicate_drop
D_scaled_mean2,scaled_mean,"{""alpha"": ""ls""}",0.3934598145044314,0.4450357880755607,0.2643181818181818,0.0086414294299609,0.5974180873896753,0.9052727272727272,True,sers_replicate_drop
D_scaled_mean3,scaled_mean,"{""alpha"": ""nnls""}",0.3934598145044313,0.4450357880755607,0.2643181818181818,0.0086414294299609,0.5974180873896752,0.9052727272727272,True,sers_replicate_drop
D_scaled_mean4,scaled_mean,"{""alpha"": ""robust""}",0.2963252822109346,0.3999365735274826,0.2052272727272726,0.0108653709760587,0.5982001206638685,0.9022727272727272,True,sers_replicate_drop
D_scaled_mean5,scaled_mean,"{""alpha"": ""percentile"", ""pct"": 40}",0.0541783870537193,0.3940812508198871,0.1981818181818181,0.0023771619858593,0.7517730565743282,0.8994545454545454,True,sers_replicate_drop
D_lowrank6,lowrank,"{""k"": 1}",0.4923877696698577,0.380255526039617,0.1938636363636363,-0.0028059451130301,0.5540013437856697,0.8963636363636363,True,sers_replicate_drop
D_lowrank7,lowrank,"{""k"": 2}",0.6322989792206689,0.3971976256067165,0.2161363636363636,0.0073760044778591,0.4866020172349644,0.8922727272727272,True,sers_replicate_drop
D_lowrank8,lowrank,"{""k"": 3}",0.6746256289786241,0.412188196904106,0.2375,0.0080898363408717,0.440605390689238,0.8972727272727272,True,sers_replicate_drop
D_lowrank9,lowrank,"{""k"": 5}",0.7000999424387293,0.4195175291879837,0.2370454545454545,0.013237076220632,0.4189101096946105,0.9002727272727272,True,sers_replicate_drop
D_robust_lowrank10,robust_lowrank,"{""k"": 2}",0.1860264992899522,0.4159336547291092,0.2181818181818181,0.0148656232969848,0.4015598505101737,0.8852727272727272,True,sers_replicate_drop
