background,params,variance_explained,sers_analyte_1nn_heldout,raman_analyte_1nn_heldout
none,{},0.0,0.8963636363636363,0.9670190779014309
mean,{},0.02008184145426519,0.8963636363636363,0.9670190779014309
scaled_mean,"{""alpha"": ""ls""}",0.38145943457489123,0.9163636363636364,0.9670190779014309
scaled_mean,"{""alpha"": ""nnls""}",0.38145943457489123,0.9163636363636364,0.9670190779014309
scaled_mean,"{""alpha"": ""robust""}",0.2714411600910108,0.9123636363636363,0.9670190779014309
scaled_mean,"{""alpha"": ""percentile"", ""pct"": 40}",0.060397432845311336,0.9083636363636364,0.9670190779014309
lowrank,"{""k"": 1}",0.5313454584475675,0.9047272727272727,0.9670190779014309
lowrank,"{""k"": 2}",0.7385667000189604,0.8967272727272727,0.9670190779014309
lowrank,"{""k"": 3}",0.8088573666282155,0.8967272727272727,0.9670190779014309
lowrank,"{""k"": 5}",0.838715847704459,0.8767272727272728,0.9670190779014309
robust_lowrank,"{""k"": 2}",0.20191560442414272,0.8807272727272728,0.9670190779014309
