cid,arm,cm_mrr,cm_top1,cm_top3,cm_top5,cm_median_rank,cm_top1_r2s,cm_top1_s2r,cm_matched_cos,cm_mismatched_cos,cm_matched_minus_mismatched,cm_mrr_fold_std
BASE_raw_l2,baseline,0.3527638150990423,0.1709090909090909,0.3743181818181818,0.5518181818181819,5.0,0.224090909090909,0.1177272727272727,0.853045465811441,0.8508779866630389,0.0021674791484018,0.0070895810104031
BASE_asls_sg_l2,baseline,0.3808526908697363,0.1865909090909091,0.41,0.6479545454545454,4.25,0.2545454545454545,0.1186363636363636,0.5725749609313436,0.5381683116309948,0.034406649300349,0.0356818498065068
BASE_asls_sg_snv,baseline,0.4365620244654336,0.2468181818181818,0.4863636363636363,0.6545454545454545,3.825,0.2595454545454546,0.2340909090909091,0.154252965765814,0.0772808884570267,0.0769720773087872,0.0230824774341315
BASE_asls_sg_area,baseline,0.3808526908697363,0.1865909090909091,0.41,0.6479545454545454,4.25,0.2545454545454545,0.1186363636363636,0.5725749609108083,0.538168311611485,0.0344066492993231,0.0356818498065068
BASE_asls_sg_l2_d1,baseline,0.3502551816869999,0.1506818181818182,0.3929545454545454,0.5711363636363636,5.0,0.1727272727272727,0.1286363636363636,0.1306831455841005,0.1081115887176533,0.0225715568664472,0.0255291351801356
BASE_asls_sg_l2_bgmean,baseline,0.3500197756788666,0.1613636363636363,0.3809090909090909,0.5647727272727272,4.925,0.1468181818181818,0.1759090909090909,-0.2055845140747305,-0.2554995489260361,0.0499150348513055,0.0173610739518772
A_none0_l2,A_baseline_norm,0.3527638150990423,0.1709090909090909,0.3743181818181818,0.5518181818181819,5.0,0.224090909090909,0.1177272727272727,0.853045465811441,0.8508779866630389,0.0021674791484018,0.0070895810104031
A_none0_area,A_baseline_norm,0.3527638150990423,0.1709090909090909,0.3743181818181818,0.5518181818181819,5.0,0.224090909090909,0.1177272727272727,0.8530454657737774,0.8508779866254604,0.0021674791483168,0.0070895810104031
A_none0_robust,A_baseline_norm,0.3384347369801915,0.1586363636363636,0.3336363636363636,0.5420454545454546,4.925,0.2,0.1172727272727272,0.6627972277020924,0.6471486524466898,0.0156485752554024,0.0084197897383874
A_none0_p95,A_baseline_norm,0.3527638150990423,0.1709090909090909,0.3743181818181818,0.5518181818181819,5.0,0.224090909090909,0.1177272727272727,0.8530454658130532,0.8508779866646476,0.0021674791484057,0.0070895810104031
