family,n,rank_baseline,rank_best_candidate,matched_cos_baseline,matched_cos_best,rank_improvement
protein,1,9.0,4.0,0.8633486657128479,0.4843575362727484,5.0
purine,5,3.6,1.2,0.5535014773089237,0.36431308981086163,2.4000000000000004
polysaccharide,1,3.0,1.0,0.8885106858040915,0.3206544163263307,2.0
pyrimidine,2,4.0,2.0,0.3542385286138754,0.043093711311825,2.0
cofactor,5,3.4,1.8,0.6617127118967048,0.27684057937005624,1.5999999999999999
polyol,1,3.0,2.0,0.643072404597099,0.3932316634049292,1.0
lipid,5,5.0,4.4,0.6200859226452662,0.2719388824098141,0.5999999999999996
organic_acid,7,5.142857142857143,4.714285714285714,0.549534926714821,0.061947846922384135,0.4285714285714288
saccharide,6,4.166666666666667,4.166666666666667,0.6176876200048276,0.17881611011336562,0.0
small_nitrogenous,2,1.0,1.0,0.5252555491465212,0.6431351341701788,0.0
amino_acid,16,4.5,4.75,0.5200447522445977,0.15456688560295706,-0.25
