analyte,outer_fold,rank,matched_cos,mismatched_cos
alanine,0,7,0.46420983125129783,0.45376920750529165
ergothioneine,0,5,0.49867637980234225,0.4851993021855381
fructose-6-phosphate,0,7,0.6031079444631273,0.563582600309197
glutamate,0,3,0.5635751533650345,0.5287609809655993
guanine,0,1,0.4942972737687225,0.35274851204079816
lactate,0,7,0.5690082483984316,0.5407233217265076
n-acetylglucosamine,0,5,0.6814293489056844,0.6285661338500299
phosphate,0,3,0.5131149796581358,0.4659287900183918
proline,0,8,0.4881489951625296,0.47586543691860805
tyrosine,0,7,0.4526030361176702,0.44445100920727054
uracil,0,5,0.3116730143249978,0.2973012933604135
acetyl-coa,1,1,0.8143186276377822,0.7531885455154183
albumin,1,9,0.8633486657128479,0.8711145672875391
cholesterol,1,10,0.5494992997733189,0.7242286108854699
coenzyme a,1,2,0.8538351208478918,0.8195478182697867
cysteine,1,2,0.4675972591327194,0.431300915857546
hydroxyproline,1,8,0.45226985063706865,0.45725809426096004
mannose,1,5,0.7160912707537315,0.6988329297876825
phosphoenolpyruvate,1,3,0.6258094784787965,0.5724956759442826
serine,1,8,0.4562665290342199,0.45538057653089253
thymine,1,3,0.396804042902753,0.34707800772730546
glutathione,2,3,0.6691674613213767,0.6282078351142933
glycerol,2,3,0.643072404597099,0.556123829570675
glycogen,2,3,0.8885106858040915,0.8227669792610963
methionine,2,1,0.6816964977024522,0.6227961603820368
phosphatidylinositol,2,8,0.8614007893958421,0.8500043808160711
riboflavin,2,6,0.472565969874131,0.46393476501002606
stearate,2,1,0.48784322544261216,0.42255106555412486
urate,2,10,0.4103345216130909,0.4923488212203002
urea,2,1,0.5030138468216134,0.2134237200688631
valine,2,3,0.5773265386261796,0.5215161356879939
acetoacetate,3,5,0.5627224584594596,0.5328098970375864
adenine,3,5,0.4906887717711995,0.4604195735820611
creatinine,3,1,0.5474972514714289,0.4043536964550143
leucine,3,5,0.6273125063204102,0.599052944538922
oleate,3,5,0.5792602610332255,0.5454930318664615
phenylalanine,3,6,0.37895153974940904,0.3593058575158996
pyruvate,3,5,0.592524728882191,0.5549172558773647
triolein,3,1,0.6224260375813325,0.557236415172201
tryptophan,3,1,0.5672649899579097,0.49866681912114785
xanthine,3,1,0.5454312363000963,0.4062701528915262
arginine,4,1,0.5344232148685062,0.510723085011369
ascorbate,4,5,0.4680702083588161,0.46091543809816105
citrate,4,8,0.5154943847679158,0.5156607854117606
fructose,4,4,0.48298407205932165,0.46901068278436114
galactose,4,1,0.6526250746985076,0.607217239849309
glucose,4,3,0.5698880091485929,0.5482653788043136
glycine,4,4,0.36044313886683865,0.35442619104615974
histidine,4,5,0.5449260868125204,0.5418083203430413
hypoxanthine,4,1,0.8267555830915093,0.7957861459720885
isoleucine,4,3,0.7037008683087973,0.68508677242945
